{'eval_loss': 4.030233860015869, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.15812533191715347, 'eval_runtime': 86.4891, 'eval_samples_per_second': 87.086, 'eval_steps_per_second': 5.446}
{'eval_loss': 3.8930952548980713, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.16821561338289961, 'eval_runtime': 85.5234, 'eval_samples_per_second': 88.069, 'eval_steps_per_second': 5.507}
{'eval_loss': 3.5484910011291504, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.20419543281996813, 'eval_runtime': 87.5824, 'eval_samples_per_second': 85.999, 'eval_steps_per_second': 5.378}
{'eval_loss': 2.900486946105957, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.282129580456718, 'eval_runtime': 87.5928, 'eval_samples_per_second': 85.989, 'eval_steps_per_second': 5.377}
{'eval_loss': 2.340118169784546, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.3832979288369623, 'eval_runtime': 86.6105, 'eval_samples_per_second': 86.964, 'eval_steps_per_second': 5.438}
{'eval_loss': 1.9783753156661987, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.46508231545406264, 'eval_runtime': 86.5548, 'eval_samples_per_second': 87.02, 'eval_steps_per_second': 5.442}
{'eval_loss': 1.6968607902526855, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.5447424322889007, 'eval_runtime': 86.4732, 'eval_samples_per_second': 87.102, 'eval_steps_per_second': 5.447}
{'eval_loss': 1.6398334503173828, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5605416887944769, 'eval_runtime': 87.0671, 'eval_samples_per_second': 86.508, 'eval_steps_per_second': 5.41}
{'eval_loss': 1.5975199937820435, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5722251725969199, 'eval_runtime': 86.938, 'eval_samples_per_second': 86.636, 'eval_steps_per_second': 5.418}
{'eval_loss': 1.5369346141815186, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.599707912904939, 'eval_runtime': 87.4624, 'eval_samples_per_second': 86.117, 'eval_steps_per_second': 5.385}
{'eval_loss': 1.5072463750839233, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6113913967073819, 'eval_runtime': 86.87, 'eval_samples_per_second': 86.704, 'eval_steps_per_second': 5.422}
{'eval_loss': 1.5231503248214722, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6068773234200744, 'eval_runtime': 88.2307, 'eval_samples_per_second': 85.367, 'eval_steps_per_second': 5.338}
{'eval_loss': 1.4718503952026367, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6193574083908656, 'eval_runtime': 86.803, 'eval_samples_per_second': 86.771, 'eval_steps_per_second': 5.426}
{'eval_loss': 1.4524941444396973, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6237387148167818, 'eval_runtime': 86.5145, 'eval_samples_per_second': 87.061, 'eval_steps_per_second': 5.444}
{'eval_loss': 1.4136883020401, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6307753584705258, 'eval_runtime': 86.0671, 'eval_samples_per_second': 87.513, 'eval_steps_per_second': 5.472}
{'eval_loss': 1.4442684650421143, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6204195432819968, 'eval_runtime': 86.4798, 'eval_samples_per_second': 87.095, 'eval_steps_per_second': 5.446}
{'eval_loss': 1.4271798133850098, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6328996282527881, 'eval_runtime': 86.5351, 'eval_samples_per_second': 87.04, 'eval_steps_per_second': 5.443}
{'eval_loss': 1.4173222780227661, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6354221986192247, 'eval_runtime': 86.3127, 'eval_samples_per_second': 87.264, 'eval_steps_per_second': 5.457}
{'eval_loss': 1.417728066444397, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.637546468401487, 'eval_runtime': 88.0711, 'eval_samples_per_second': 85.522, 'eval_steps_per_second': 5.348}
{'eval_loss': 1.4250134229660034, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.634891131173659, 'eval_runtime': 88.4326, 'eval_samples_per_second': 85.172, 'eval_steps_per_second': 5.326}
