{'eval_loss': 4.09418249130249, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.15122145512480084, 'eval_runtime': 83.9021, 'eval_samples_per_second': 89.771, 'eval_steps_per_second': 5.614}
{'eval_loss': 4.088813304901123, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.15175252257036645, 'eval_runtime': 83.8567, 'eval_samples_per_second': 89.82, 'eval_steps_per_second': 5.617}
{'eval_loss': 4.056342601776123, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.1533457249070632, 'eval_runtime': 83.8164, 'eval_samples_per_second': 89.863, 'eval_steps_per_second': 5.619}
{'eval_loss': 3.9667677879333496, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.1611789697291556, 'eval_runtime': 84.1892, 'eval_samples_per_second': 89.465, 'eval_steps_per_second': 5.595}
{'eval_loss': 3.7993218898773193, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.1727296866702071, 'eval_runtime': 84.3176, 'eval_samples_per_second': 89.329, 'eval_steps_per_second': 5.586}
{'eval_loss': 3.5617377758026123, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.19503451938396177, 'eval_runtime': 84.2764, 'eval_samples_per_second': 89.373, 'eval_steps_per_second': 5.589}
{'eval_loss': 3.1656250953674316, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.2419012214551248, 'eval_runtime': 83.9582, 'eval_samples_per_second': 89.711, 'eval_steps_per_second': 5.61}
{'eval_loss': 2.8712985515594482, 'eval_model_preparation_time': 0.0068, 'eval_acc': 0.2830589484864578, 'eval_runtime': 83.9341, 'eval_samples_per_second': 89.737, 'eval_steps_per_second': 5.612}
{'eval_loss': 2.6262757778167725, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.3216941051513542, 'eval_runtime': 84.1763, 'eval_samples_per_second': 89.479, 'eval_steps_per_second': 5.595}
{'eval_loss': 2.2362239360809326, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.4045406266595858, 'eval_runtime': 83.9772, 'eval_samples_per_second': 89.691, 'eval_steps_per_second': 5.609}
{'eval_loss': 1.975224494934082, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.46521508231545405, 'eval_runtime': 84.3051, 'eval_samples_per_second': 89.342, 'eval_steps_per_second': 5.587}
{'eval_loss': 1.8225773572921753, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.5063728093467871, 'eval_runtime': 84.7175, 'eval_samples_per_second': 88.907, 'eval_steps_per_second': 5.56}
{'eval_loss': 1.713044285774231, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.5341210833775889, 'eval_runtime': 83.9516, 'eval_samples_per_second': 89.718, 'eval_steps_per_second': 5.61}
{'eval_loss': 1.6393370628356934, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.561603823685608, 'eval_runtime': 83.7443, 'eval_samples_per_second': 89.94, 'eval_steps_per_second': 5.624}
{'eval_loss': 1.5680887699127197, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.5811205523101434, 'eval_runtime': 83.973, 'eval_samples_per_second': 89.695, 'eval_steps_per_second': 5.609}
{'eval_loss': 1.5180442333221436, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.5986457780138078, 'eval_runtime': 83.9065, 'eval_samples_per_second': 89.767, 'eval_steps_per_second': 5.613}
{'eval_loss': 1.489363193511963, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.6107275624004248, 'eval_runtime': 83.9771, 'eval_samples_per_second': 89.691, 'eval_steps_per_second': 5.609}
{'eval_loss': 1.476791262626648, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6176314391927775, 'eval_runtime': 84.3382, 'eval_samples_per_second': 89.307, 'eval_steps_per_second': 5.585}
{'eval_loss': 1.4534454345703125, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6242697822623473, 'eval_runtime': 83.8836, 'eval_samples_per_second': 89.791, 'eval_steps_per_second': 5.615}
{'eval_loss': 1.4418424367904663, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.629182156133829, 'eval_runtime': 83.4558, 'eval_samples_per_second': 90.251, 'eval_steps_per_second': 5.644}
