{'eval_loss': 2.439828395843506, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.3628518321826872, 'eval_runtime': 84.9447, 'eval_samples_per_second': 88.669, 'eval_steps_per_second': 5.545}
{'eval_loss': 2.036458730697632, 'eval_model_preparation_time': 0.007, 'eval_acc': 0.44636218799787575, 'eval_runtime': 84.0085, 'eval_samples_per_second': 89.658, 'eval_steps_per_second': 5.607}
{'eval_loss': 1.8422895669937134, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.4966808284652151, 'eval_runtime': 84.0305, 'eval_samples_per_second': 89.634, 'eval_steps_per_second': 5.605}
{'eval_loss': 1.7286888360977173, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5286776420605417, 'eval_runtime': 83.8404, 'eval_samples_per_second': 89.837, 'eval_steps_per_second': 5.618}
{'eval_loss': 1.654388666152954, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.5517790759426447, 'eval_runtime': 83.954, 'eval_samples_per_second': 89.716, 'eval_steps_per_second': 5.61}
{'eval_loss': 1.5754766464233398, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.5751460435475305, 'eval_runtime': 84.0919, 'eval_samples_per_second': 89.569, 'eval_steps_per_second': 5.601}
{'eval_loss': 1.5364359617233276, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.5878916622411047, 'eval_runtime': 84.1083, 'eval_samples_per_second': 89.551, 'eval_steps_per_second': 5.6}
{'eval_loss': 1.5146703720092773, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.5994423791821561, 'eval_runtime': 84.4568, 'eval_samples_per_second': 89.182, 'eval_steps_per_second': 5.577}
{'eval_loss': 1.4785118103027344, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6032926181625067, 'eval_runtime': 84.4093, 'eval_samples_per_second': 89.232, 'eval_steps_per_second': 5.58}
{'eval_loss': 1.463584303855896, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6145778013807753, 'eval_runtime': 84.1947, 'eval_samples_per_second': 89.459, 'eval_steps_per_second': 5.594}
{'eval_loss': 1.4363958835601807, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6250663834306956, 'eval_runtime': 84.4191, 'eval_samples_per_second': 89.222, 'eval_steps_per_second': 5.579}
{'eval_loss': 1.4310442209243774, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6248008497079129, 'eval_runtime': 85.2449, 'eval_samples_per_second': 88.357, 'eval_steps_per_second': 5.525}
{'eval_loss': 1.4063920974731445, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6386086032926181, 'eval_runtime': 84.268, 'eval_samples_per_second': 89.381, 'eval_steps_per_second': 5.589}
{'eval_loss': 1.3905166387557983, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6436537440254912, 'eval_runtime': 84.0573, 'eval_samples_per_second': 89.606, 'eval_steps_per_second': 5.603}
{'eval_loss': 1.3717693090438843, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6473712161444504, 'eval_runtime': 83.9028, 'eval_samples_per_second': 89.771, 'eval_steps_per_second': 5.614}
{'eval_loss': 1.362701654434204, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6473712161444504, 'eval_runtime': 83.9581, 'eval_samples_per_second': 89.711, 'eval_steps_per_second': 5.61}
{'eval_loss': 1.3550881147384644, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6538767923526287, 'eval_runtime': 84.1614, 'eval_samples_per_second': 89.495, 'eval_steps_per_second': 5.596}
{'eval_loss': 1.3540672063827515, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.657328730748805, 'eval_runtime': 84.0768, 'eval_samples_per_second': 89.585, 'eval_steps_per_second': 5.602}
{'eval_loss': 1.3555303812026978, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6585236325013276, 'eval_runtime': 85.1684, 'eval_samples_per_second': 88.437, 'eval_steps_per_second': 5.53}
{'eval_loss': 1.3568726778030396, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.661975570897504, 'eval_runtime': 85.8172, 'eval_samples_per_second': 87.768, 'eval_steps_per_second': 5.488}
