{'eval_loss': 3.687512159347534, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.18135953266064792, 'eval_runtime': 91.0451, 'eval_samples_per_second': 82.728, 'eval_steps_per_second': 5.173}
{'eval_loss': 3.3582730293273926, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.20870950610727562, 'eval_runtime': 86.3664, 'eval_samples_per_second': 87.21, 'eval_steps_per_second': 5.454}
{'eval_loss': 3.0840306282043457, 'eval_model_preparation_time': 0.0075, 'eval_acc': 0.23526287838555496, 'eval_runtime': 85.3718, 'eval_samples_per_second': 88.226, 'eval_steps_per_second': 5.517}
{'eval_loss': 2.8480348587036133, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.2614179500796601, 'eval_runtime': 83.2485, 'eval_samples_per_second': 90.476, 'eval_steps_per_second': 5.658}
{'eval_loss': 2.6130616664886475, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.2915560276155072, 'eval_runtime': 83.5705, 'eval_samples_per_second': 90.128, 'eval_steps_per_second': 5.636}
{'eval_loss': 2.4155161380767822, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.3252788104089219, 'eval_runtime': 83.8204, 'eval_samples_per_second': 89.859, 'eval_steps_per_second': 5.619}
{'eval_loss': 2.278911828994751, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.356744556558683, 'eval_runtime': 83.4404, 'eval_samples_per_second': 90.268, 'eval_steps_per_second': 5.645}
{'eval_loss': 2.172288656234741, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.3793149229952204, 'eval_runtime': 83.3432, 'eval_samples_per_second': 90.373, 'eval_steps_per_second': 5.651}
{'eval_loss': 2.168564558029175, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.3826340945300053, 'eval_runtime': 82.9574, 'eval_samples_per_second': 90.794, 'eval_steps_per_second': 5.678}
{'eval_loss': 2.034651517868042, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.4123738714816782, 'eval_runtime': 82.7066, 'eval_samples_per_second': 91.069, 'eval_steps_per_second': 5.695}
{'eval_loss': 1.9827064275741577, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.419012214551248, 'eval_runtime': 82.9479, 'eval_samples_per_second': 90.804, 'eval_steps_per_second': 5.678}
{'eval_loss': 2.0438337326049805, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.4123738714816782, 'eval_runtime': 151.8206, 'eval_samples_per_second': 49.611, 'eval_steps_per_second': 3.102}
{'eval_loss': 1.9207459688186646, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.4348114710568242, 'eval_runtime': 145.9967, 'eval_samples_per_second': 51.59, 'eval_steps_per_second': 3.226}
{'eval_loss': 1.87415611743927, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.4423791821561338, 'eval_runtime': 158.8155, 'eval_samples_per_second': 47.426, 'eval_steps_per_second': 2.966}
{'eval_loss': 1.8473666906356812, 'eval_model_preparation_time': 0.0075, 'eval_acc': 0.45061072756240045, 'eval_runtime': 176.2366, 'eval_samples_per_second': 42.738, 'eval_steps_per_second': 2.673}
{'eval_loss': 1.953545331954956, 'eval_model_preparation_time': 0.0065, 'eval_acc': 0.4352097716409984, 'eval_runtime': 155.3911, 'eval_samples_per_second': 48.471, 'eval_steps_per_second': 3.031}
{'eval_loss': 1.8106189966201782, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.45778013807753587, 'eval_runtime': 142.3424, 'eval_samples_per_second': 52.915, 'eval_steps_per_second': 3.309}
{'eval_loss': 1.791324257850647, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.4662772172065852, 'eval_runtime': 147.5945, 'eval_samples_per_second': 51.032, 'eval_steps_per_second': 3.191}
{'eval_loss': 1.7628669738769531, 'eval_model_preparation_time': 0.0064, 'eval_acc': 0.4733138608603293, 'eval_runtime': 164.8847, 'eval_samples_per_second': 45.68, 'eval_steps_per_second': 2.857}
{'eval_loss': 1.7482120990753174, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.47875730217737655, 'eval_runtime': 172.1871, 'eval_samples_per_second': 43.743, 'eval_steps_per_second': 2.735}
