{'eval_loss': 4.094720840454102, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.15135422198619225, 'eval_runtime': 86.1245, 'eval_samples_per_second': 87.455, 'eval_steps_per_second': 5.469}
{'eval_loss': 4.092768669128418, 'eval_model_preparation_time': 0.0066, 'eval_acc': 0.15122145512480084, 'eval_runtime': 83.5946, 'eval_samples_per_second': 90.102, 'eval_steps_per_second': 5.634}
{'eval_loss': 4.081641674041748, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.15201805629314924, 'eval_runtime': 84.9367, 'eval_samples_per_second': 88.678, 'eval_steps_per_second': 5.545}
{'eval_loss': 4.045680999755859, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.15480616038236855, 'eval_runtime': 84.409, 'eval_samples_per_second': 89.232, 'eval_steps_per_second': 5.58}
{'eval_loss': 3.9502151012420654, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.16250663834306958, 'eval_runtime': 85.231, 'eval_samples_per_second': 88.372, 'eval_steps_per_second': 5.526}
{'eval_loss': 3.7936723232269287, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.17286245353159851, 'eval_runtime': 84.7221, 'eval_samples_per_second': 88.902, 'eval_steps_per_second': 5.559}
{'eval_loss': 3.465161085128784, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.20631970260223048, 'eval_runtime': 84.0607, 'eval_samples_per_second': 89.602, 'eval_steps_per_second': 5.603}
{'eval_loss': 3.1411964893341064, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.24761019649495486, 'eval_runtime': 84.8652, 'eval_samples_per_second': 88.752, 'eval_steps_per_second': 5.55}
{'eval_loss': 2.874058246612549, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.28066914498141265, 'eval_runtime': 85.2124, 'eval_samples_per_second': 88.391, 'eval_steps_per_second': 5.527}
{'eval_loss': 2.342883348464966, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.38011152416356875, 'eval_runtime': 84.8183, 'eval_samples_per_second': 88.802, 'eval_steps_per_second': 5.553}
{'eval_loss': 2.029296636581421, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.45034519383961763, 'eval_runtime': 84.2172, 'eval_samples_per_second': 89.435, 'eval_steps_per_second': 5.593}
{'eval_loss': 1.8459112644195557, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5002655337227828, 'eval_runtime': 83.6036, 'eval_samples_per_second': 90.092, 'eval_steps_per_second': 5.634}
{'eval_loss': 1.7141190767288208, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5341210833775889, 'eval_runtime': 83.5296, 'eval_samples_per_second': 90.172, 'eval_steps_per_second': 5.639}
{'eval_loss': 1.6198965311050415, 'eval_model_preparation_time': 0.0069, 'eval_acc': 0.5627987254381307, 'eval_runtime': 83.9128, 'eval_samples_per_second': 89.76, 'eval_steps_per_second': 5.613}
{'eval_loss': 1.5349472761154175, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.590015932023367, 'eval_runtime': 84.1311, 'eval_samples_per_second': 89.527, 'eval_steps_per_second': 5.598}
{'eval_loss': 1.4947221279144287, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6024960169941582, 'eval_runtime': 84.7169, 'eval_samples_per_second': 88.908, 'eval_steps_per_second': 5.56}
{'eval_loss': 1.4666252136230469, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6182952734997345, 'eval_runtime': 83.9111, 'eval_samples_per_second': 89.762, 'eval_steps_per_second': 5.613}
{'eval_loss': 1.4616209268569946, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6236059479553904, 'eval_runtime': 83.6862, 'eval_samples_per_second': 90.003, 'eval_steps_per_second': 5.628}
{'eval_loss': 1.433990478515625, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6282527881040892, 'eval_runtime': 83.8084, 'eval_samples_per_second': 89.872, 'eval_steps_per_second': 5.62}
{'eval_loss': 1.4365103244781494, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.6275889537971322, 'eval_runtime': 83.5722, 'eval_samples_per_second': 90.126, 'eval_steps_per_second': 5.636}
