{'eval_loss': 2.726548910140991, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.3108072225172597, 'eval_runtime': 83.3807, 'eval_samples_per_second': 90.333, 'eval_steps_per_second': 5.649}
{'eval_loss': 2.227735996246338, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.4073287307488051, 'eval_runtime': 82.0735, 'eval_samples_per_second': 91.771, 'eval_steps_per_second': 5.739}
{'eval_loss': 1.9801907539367676, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.4592405735528412, 'eval_runtime': 82.2595, 'eval_samples_per_second': 91.564, 'eval_steps_per_second': 5.726}
{'eval_loss': 1.852868914604187, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.4917684545937334, 'eval_runtime': 82.0578, 'eval_samples_per_second': 91.789, 'eval_steps_per_second': 5.74}
{'eval_loss': 1.7408775091171265, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5216409984067977, 'eval_runtime': 82.2107, 'eval_samples_per_second': 91.618, 'eval_steps_per_second': 5.729}
{'eval_loss': 1.6557456254959106, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.5484599044078597, 'eval_runtime': 82.0096, 'eval_samples_per_second': 91.843, 'eval_steps_per_second': 5.743}
{'eval_loss': 1.597753882408142, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.5687732342007435, 'eval_runtime': 82.6158, 'eval_samples_per_second': 91.169, 'eval_steps_per_second': 5.701}
{'eval_loss': 1.5562382936477661, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.5811205523101434, 'eval_runtime': 82.8076, 'eval_samples_per_second': 90.958, 'eval_steps_per_second': 5.688}
{'eval_loss': 1.534916639328003, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5841741901221456, 'eval_runtime': 82.6695, 'eval_samples_per_second': 91.11, 'eval_steps_per_second': 5.697}
{'eval_loss': 1.5055235624313354, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.6018321826872013, 'eval_runtime': 82.5762, 'eval_samples_per_second': 91.213, 'eval_steps_per_second': 5.704}
{'eval_loss': 1.46885085105896, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6112586298459904, 'eval_runtime': 82.3725, 'eval_samples_per_second': 91.438, 'eval_steps_per_second': 5.718}
{'eval_loss': 1.47373628616333, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6082049920339884, 'eval_runtime': 82.3722, 'eval_samples_per_second': 91.439, 'eval_steps_per_second': 5.718}
{'eval_loss': 1.4414145946502686, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6218799787573022, 'eval_runtime': 82.0056, 'eval_samples_per_second': 91.847, 'eval_steps_per_second': 5.744}
{'eval_loss': 1.4251497983932495, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6290493892724376, 'eval_runtime': 82.1549, 'eval_samples_per_second': 91.68, 'eval_steps_per_second': 5.733}
{'eval_loss': 1.398653507232666, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.640201805629315, 'eval_runtime': 82.1577, 'eval_samples_per_second': 91.677, 'eval_steps_per_second': 5.733}
{'eval_loss': 1.3993580341339111, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6364843335103558, 'eval_runtime': 82.1071, 'eval_samples_per_second': 91.734, 'eval_steps_per_second': 5.736}
{'eval_loss': 1.40018630027771, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6406001062134891, 'eval_runtime': 82.3169, 'eval_samples_per_second': 91.5, 'eval_steps_per_second': 5.722}
{'eval_loss': 1.407649278640747, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6451141795007966, 'eval_runtime': 82.1106, 'eval_samples_per_second': 91.73, 'eval_steps_per_second': 5.736}
{'eval_loss': 1.3995392322540283, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6476367498672332, 'eval_runtime': 83.1811, 'eval_samples_per_second': 90.549, 'eval_steps_per_second': 5.662}
{'eval_loss': 1.4052796363830566, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6480350504514073, 'eval_runtime': 83.5078, 'eval_samples_per_second': 90.195, 'eval_steps_per_second': 5.64}
