{'eval_loss': 5.388718605041504, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.15653212958045673, 'eval_runtime': 84.3179, 'eval_samples_per_second': 89.329, 'eval_steps_per_second': 5.586}
{'eval_loss': 5.0751752853393555, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.16808284652150823, 'eval_runtime': 83.3696, 'eval_samples_per_second': 90.345, 'eval_steps_per_second': 5.65}
{'eval_loss': 4.486589431762695, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.1966277217206585, 'eval_runtime': 85.3775, 'eval_samples_per_second': 88.22, 'eval_steps_per_second': 5.517}
{'eval_loss': 3.477534055709839, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.26500265533722783, 'eval_runtime': 84.9234, 'eval_samples_per_second': 88.692, 'eval_steps_per_second': 5.546}
{'eval_loss': 2.6735990047454834, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.3439989378651089, 'eval_runtime': 85.209, 'eval_samples_per_second': 88.394, 'eval_steps_per_second': 5.528}
{'eval_loss': 2.2738046646118164, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.40546999468932554, 'eval_runtime': 85.5296, 'eval_samples_per_second': 88.063, 'eval_steps_per_second': 5.507}
{'eval_loss': 1.9294730424880981, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.482607541157727, 'eval_runtime': 85.798, 'eval_samples_per_second': 87.788, 'eval_steps_per_second': 5.49}
{'eval_loss': 1.8200286626815796, 'eval_model_preparation_time': 0.0068, 'eval_acc': 0.516064790228359, 'eval_runtime': 129.4822, 'eval_samples_per_second': 58.17, 'eval_steps_per_second': 3.638}
{'eval_loss': 1.77677583694458, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.5349176845459374, 'eval_runtime': 180.0602, 'eval_samples_per_second': 41.83, 'eval_steps_per_second': 2.616}
{'eval_loss': 1.6579519510269165, 'eval_model_preparation_time': 0.0075, 'eval_acc': 0.5758098778544876, 'eval_runtime': 126.1344, 'eval_samples_per_second': 59.714, 'eval_steps_per_second': 3.734}
{'eval_loss': 1.5737005472183228, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5974508762612852, 'eval_runtime': 153.7598, 'eval_samples_per_second': 48.986, 'eval_steps_per_second': 3.063}
{'eval_loss': 1.599494457244873, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.5936006372809347, 'eval_runtime': 173.9967, 'eval_samples_per_second': 43.288, 'eval_steps_per_second': 2.707}
{'eval_loss': 1.5372205972671509, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6056824216675518, 'eval_runtime': 170.9931, 'eval_samples_per_second': 44.049, 'eval_steps_per_second': 2.754}
{'eval_loss': 1.4982028007507324, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6192246415294742, 'eval_runtime': 154.7758, 'eval_samples_per_second': 48.664, 'eval_steps_per_second': 3.043}
{'eval_loss': 1.4596948623657227, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.6283855549654807, 'eval_runtime': 155.3933, 'eval_samples_per_second': 48.471, 'eval_steps_per_second': 3.031}
{'eval_loss': 1.5811887979507446, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.6016994158258099, 'eval_runtime': 149.22, 'eval_samples_per_second': 50.476, 'eval_steps_per_second': 3.156}
{'eval_loss': 1.5120298862457275, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6204195432819968, 'eval_runtime': 169.7265, 'eval_samples_per_second': 44.377, 'eval_steps_per_second': 2.775}
{'eval_loss': 1.475221037864685, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.6250663834306956, 'eval_runtime': 146.5743, 'eval_samples_per_second': 51.387, 'eval_steps_per_second': 3.213}
{'eval_loss': 1.4916430711746216, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.6204195432819968, 'eval_runtime': 190.0125, 'eval_samples_per_second': 39.639, 'eval_steps_per_second': 2.479}
{'eval_loss': 1.521164894104004, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6112586298459904, 'eval_runtime': 134.5132, 'eval_samples_per_second': 55.994, 'eval_steps_per_second': 3.502}
