{'eval_loss': 5.460373878479004, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.1533457249070632, 'eval_runtime': 82.1832, 'eval_samples_per_second': 91.649, 'eval_steps_per_second': 5.731}
{'eval_loss': 5.4494194984436035, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.15361125862984598, 'eval_runtime': 82.4678, 'eval_samples_per_second': 91.333, 'eval_steps_per_second': 5.711}
{'eval_loss': 5.401819705963135, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.15533722782793416, 'eval_runtime': 82.4632, 'eval_samples_per_second': 91.338, 'eval_steps_per_second': 5.712}
{'eval_loss': 5.275055408477783, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.15985130111524162, 'eval_runtime': 82.5456, 'eval_samples_per_second': 91.247, 'eval_steps_per_second': 5.706}
{'eval_loss': 5.028397560119629, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.17100371747211895, 'eval_runtime': 82.8728, 'eval_samples_per_second': 90.886, 'eval_steps_per_second': 5.683}
{'eval_loss': 4.736239910125732, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.18428040361125864, 'eval_runtime': 82.6116, 'eval_samples_per_second': 91.174, 'eval_steps_per_second': 5.701}
{'eval_loss': 4.1864190101623535, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.21654275092936803, 'eval_runtime': 82.0548, 'eval_samples_per_second': 91.792, 'eval_steps_per_second': 5.74}
{'eval_loss': 3.727170467376709, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.2529208709506107, 'eval_runtime': 82.0929, 'eval_samples_per_second': 91.75, 'eval_steps_per_second': 5.737}
{'eval_loss': 3.3796732425689697, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.28120021242697824, 'eval_runtime': 82.5501, 'eval_samples_per_second': 91.242, 'eval_steps_per_second': 5.706}
{'eval_loss': 2.725024461746216, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.3454593733404142, 'eval_runtime': 82.3344, 'eval_samples_per_second': 91.481, 'eval_steps_per_second': 5.721}
{'eval_loss': 2.2785873413085938, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.4122411046202868, 'eval_runtime': 83.1985, 'eval_samples_per_second': 90.53, 'eval_steps_per_second': 5.661}
{'eval_loss': 2.0547356605529785, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.4584439723844928, 'eval_runtime': 83.1356, 'eval_samples_per_second': 90.599, 'eval_steps_per_second': 5.665}
{'eval_loss': 1.8717526197433472, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5069038767923526, 'eval_runtime': 82.5136, 'eval_samples_per_second': 91.282, 'eval_steps_per_second': 5.708}
{'eval_loss': 1.7621328830718994, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.540493892724376, 'eval_runtime': 82.1498, 'eval_samples_per_second': 91.686, 'eval_steps_per_second': 5.733}
{'eval_loss': 1.6586822271347046, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.57129580456718, 'eval_runtime': 82.1901, 'eval_samples_per_second': 91.641, 'eval_steps_per_second': 5.731}
{'eval_loss': 1.636391520500183, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5848380244291025, 'eval_runtime': 82.4913, 'eval_samples_per_second': 91.307, 'eval_steps_per_second': 5.71}
{'eval_loss': 1.5869967937469482, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6015666489644185, 'eval_runtime': 82.3843, 'eval_samples_per_second': 91.425, 'eval_steps_per_second': 5.717}
{'eval_loss': 1.548742413520813, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.608072225172597, 'eval_runtime': 82.8074, 'eval_samples_per_second': 90.958, 'eval_steps_per_second': 5.688}
{'eval_loss': 1.545000433921814, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6107275624004248, 'eval_runtime': 82.1969, 'eval_samples_per_second': 91.634, 'eval_steps_per_second': 5.73}
{'eval_loss': 1.5676789283752441, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6026287838555496, 'eval_runtime': 151.6253, 'eval_samples_per_second': 49.675, 'eval_steps_per_second': 3.106}
