{'eval_loss': 3.355947971343994, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.27217206585236325, 'eval_runtime': 83.7318, 'eval_samples_per_second': 89.954, 'eval_steps_per_second': 5.625}
{'eval_loss': 2.366760492324829, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.3821030270844397, 'eval_runtime': 84.225, 'eval_samples_per_second': 89.427, 'eval_steps_per_second': 5.592}
{'eval_loss': 2.072737455368042, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.44569835369091876, 'eval_runtime': 84.0803, 'eval_samples_per_second': 89.581, 'eval_steps_per_second': 5.602}
{'eval_loss': 1.885957956314087, 'eval_model_preparation_time': 0.0059, 'eval_acc': 0.49548592671269254, 'eval_runtime': 83.9265, 'eval_samples_per_second': 89.745, 'eval_steps_per_second': 5.612}
{'eval_loss': 1.7837480306625366, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5203133297928837, 'eval_runtime': 84.0262, 'eval_samples_per_second': 89.639, 'eval_steps_per_second': 5.605}
{'eval_loss': 1.6582236289978027, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.5557620817843866, 'eval_runtime': 83.8085, 'eval_samples_per_second': 89.872, 'eval_steps_per_second': 5.62}
{'eval_loss': 1.588584065437317, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5800584174190122, 'eval_runtime': 83.6907, 'eval_samples_per_second': 89.998, 'eval_steps_per_second': 5.628}
{'eval_loss': 1.52882981300354, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5991768454593733, 'eval_runtime': 106.6398, 'eval_samples_per_second': 70.63, 'eval_steps_per_second': 4.417}
{'eval_loss': 1.5294150114059448, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.5989113117365905, 'eval_runtime': 170.2794, 'eval_samples_per_second': 44.233, 'eval_steps_per_second': 2.766}
{'eval_loss': 1.4723149538040161, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6149761019649496, 'eval_runtime': 141.6341, 'eval_samples_per_second': 53.179, 'eval_steps_per_second': 3.325}
{'eval_loss': 1.4357410669326782, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.6261285183218269, 'eval_runtime': 125.1467, 'eval_samples_per_second': 60.185, 'eval_steps_per_second': 3.764}
{'eval_loss': 1.4348390102386475, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6270578863515667, 'eval_runtime': 145.9749, 'eval_samples_per_second': 51.598, 'eval_steps_per_second': 3.227}
{'eval_loss': 1.4075911045074463, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6380775358470526, 'eval_runtime': 156.2758, 'eval_samples_per_second': 48.197, 'eval_steps_per_second': 3.014}
{'eval_loss': 1.4030252695083618, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6411311736590547, 'eval_runtime': 171.4909, 'eval_samples_per_second': 43.921, 'eval_steps_per_second': 2.747}
{'eval_loss': 1.3701825141906738, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6464418481147106, 'eval_runtime': 148.5746, 'eval_samples_per_second': 50.695, 'eval_steps_per_second': 3.17}
{'eval_loss': 1.411087989807129, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6411311736590547, 'eval_runtime': 143.3349, 'eval_samples_per_second': 52.548, 'eval_steps_per_second': 3.286}
{'eval_loss': 1.3930432796478271, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6460435475305364, 'eval_runtime': 146.7357, 'eval_samples_per_second': 51.33, 'eval_steps_per_second': 3.21}
{'eval_loss': 1.3747272491455078, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6493627190653213, 'eval_runtime': 127.0802, 'eval_samples_per_second': 59.27, 'eval_steps_per_second': 3.706}
{'eval_loss': 1.372180461883545, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6537440254912373, 'eval_runtime': 182.6199, 'eval_samples_per_second': 41.244, 'eval_steps_per_second': 2.579}
{'eval_loss': 1.3809789419174194, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.6578597981943707, 'eval_runtime': 170.9015, 'eval_samples_per_second': 44.072, 'eval_steps_per_second': 2.756}
