{'eval_loss': 4.736659526824951, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.18826340945300052, 'eval_runtime': 80.4204, 'eval_samples_per_second': 93.658, 'eval_steps_per_second': 5.857}
{'eval_loss': 4.2828264236450195, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.20592140201805628, 'eval_runtime': 82.0591, 'eval_samples_per_second': 91.788, 'eval_steps_per_second': 5.74}
{'eval_loss': 3.812514543533325, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.2296866702071163, 'eval_runtime': 80.5836, 'eval_samples_per_second': 93.468, 'eval_steps_per_second': 5.845}
{'eval_loss': 3.2680675983428955, 'eval_model_preparation_time': 0.0074, 'eval_acc': 0.2555762081784387, 'eval_runtime': 80.1575, 'eval_samples_per_second': 93.965, 'eval_steps_per_second': 5.876}
{'eval_loss': 2.7801220417022705, 'eval_model_preparation_time': 0.0074, 'eval_acc': 0.2903611258629846, 'eval_runtime': 80.8618, 'eval_samples_per_second': 93.147, 'eval_steps_per_second': 5.825}
{'eval_loss': 2.512505292892456, 'eval_model_preparation_time': 0.0081, 'eval_acc': 0.322623473181094, 'eval_runtime': 80.4222, 'eval_samples_per_second': 93.656, 'eval_steps_per_second': 5.857}
{'eval_loss': 2.407959222793579, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.33749336165693045, 'eval_runtime': 80.1596, 'eval_samples_per_second': 93.962, 'eval_steps_per_second': 5.876}
{'eval_loss': 2.325141429901123, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.3516994158258099, 'eval_runtime': 80.714, 'eval_samples_per_second': 93.317, 'eval_steps_per_second': 5.835}
{'eval_loss': 2.359591484069824, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.36059479553903345, 'eval_runtime': 81.5696, 'eval_samples_per_second': 92.338, 'eval_steps_per_second': 5.774}
{'eval_loss': 2.239332675933838, 'eval_model_preparation_time': 0.0072, 'eval_acc': 0.37241104620286775, 'eval_runtime': 80.4274, 'eval_samples_per_second': 93.65, 'eval_steps_per_second': 5.856}
{'eval_loss': 2.171461343765259, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.38595326606479025, 'eval_runtime': 80.7048, 'eval_samples_per_second': 93.328, 'eval_steps_per_second': 5.836}
{'eval_loss': 2.2519543170928955, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.387546468401487, 'eval_runtime': 80.7744, 'eval_samples_per_second': 93.247, 'eval_steps_per_second': 5.831}
{'eval_loss': 2.129014492034912, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.39922995220392987, 'eval_runtime': 81.467, 'eval_samples_per_second': 92.455, 'eval_steps_per_second': 5.781}
{'eval_loss': 2.0766513347625732, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.4075942644715879, 'eval_runtime': 80.9324, 'eval_samples_per_second': 93.065, 'eval_steps_per_second': 5.82}
{'eval_loss': 2.0632071495056152, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.41356877323420077, 'eval_runtime': 81.1343, 'eval_samples_per_second': 92.834, 'eval_steps_per_second': 5.805}
{'eval_loss': 2.1643667221069336, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.40533722782793413, 'eval_runtime': 81.0449, 'eval_samples_per_second': 92.936, 'eval_steps_per_second': 5.812}
{'eval_loss': 2.0196259021759033, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.42113648433351036, 'eval_runtime': 80.1023, 'eval_samples_per_second': 94.03, 'eval_steps_per_second': 5.88}
{'eval_loss': 1.9891833066940308, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.43082846521508233, 'eval_runtime': 80.601, 'eval_samples_per_second': 93.448, 'eval_steps_per_second': 5.844}
{'eval_loss': 1.9760863780975342, 'eval_model_preparation_time': 0.0065, 'eval_acc': 0.4306956983536909, 'eval_runtime': 80.5714, 'eval_samples_per_second': 93.482, 'eval_steps_per_second': 5.846}
{'eval_loss': 1.9677553176879883, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.4341476367498672, 'eval_runtime': 81.3699, 'eval_samples_per_second': 92.565, 'eval_steps_per_second': 5.788}
