{'eval_loss': 5.46050500869751, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.1533457249070632, 'eval_runtime': 83.2671, 'eval_samples_per_second': 90.456, 'eval_steps_per_second': 5.656}
{'eval_loss': 5.454249858856201, 'eval_model_preparation_time': 0.0073, 'eval_acc': 0.1537440254912374, 'eval_runtime': 84.7939, 'eval_samples_per_second': 88.827, 'eval_steps_per_second': 5.555}
{'eval_loss': 5.432629108428955, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.15387679235262877, 'eval_runtime': 84.0358, 'eval_samples_per_second': 89.628, 'eval_steps_per_second': 5.605}
{'eval_loss': 5.378017425537109, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.15613382899628253, 'eval_runtime': 83.3011, 'eval_samples_per_second': 90.419, 'eval_steps_per_second': 5.654}
{'eval_loss': 5.225975513458252, 'eval_model_preparation_time': 0.0082, 'eval_acc': 0.1607806691449814, 'eval_runtime': 82.7838, 'eval_samples_per_second': 90.984, 'eval_steps_per_second': 5.69}
{'eval_loss': 5.030923843383789, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.17087095061072757, 'eval_runtime': 83.1806, 'eval_samples_per_second': 90.55, 'eval_steps_per_second': 5.662}
{'eval_loss': 4.551974296569824, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.19264471587891663, 'eval_runtime': 83.3759, 'eval_samples_per_second': 90.338, 'eval_steps_per_second': 5.649}
{'eval_loss': 4.054136753082275, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.22796070100902815, 'eval_runtime': 84.4927, 'eval_samples_per_second': 89.144, 'eval_steps_per_second': 5.574}
{'eval_loss': 3.6138429641723633, 'eval_model_preparation_time': 0.0075, 'eval_acc': 0.26287838555496545, 'eval_runtime': 142.4818, 'eval_samples_per_second': 52.863, 'eval_steps_per_second': 3.306}
{'eval_loss': 2.8780314922332764, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.32912904938927245, 'eval_runtime': 174.4037, 'eval_samples_per_second': 43.187, 'eval_steps_per_second': 2.701}
{'eval_loss': 2.3744094371795654, 'eval_model_preparation_time': 0.0068, 'eval_acc': 0.393919277748274, 'eval_runtime': 147.8112, 'eval_samples_per_second': 50.957, 'eval_steps_per_second': 3.186}
{'eval_loss': 2.0864458084106445, 'eval_model_preparation_time': 0.0068, 'eval_acc': 0.4508762612851832, 'eval_runtime': 134.6746, 'eval_samples_per_second': 55.927, 'eval_steps_per_second': 3.497}
{'eval_loss': 1.8632550239562988, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.5095592140201806, 'eval_runtime': 154.1562, 'eval_samples_per_second': 48.86, 'eval_steps_per_second': 3.055}
{'eval_loss': 1.720886468887329, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.5516463090812533, 'eval_runtime': 164.3275, 'eval_samples_per_second': 45.835, 'eval_steps_per_second': 2.866}
{'eval_loss': 1.6105096340179443, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.5827137546468402, 'eval_runtime': 149.6792, 'eval_samples_per_second': 50.321, 'eval_steps_per_second': 3.147}
{'eval_loss': 1.6026959419250488, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.5950610727562401, 'eval_runtime': 144.6903, 'eval_samples_per_second': 52.056, 'eval_steps_per_second': 3.255}
{'eval_loss': 1.549119472503662, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.6115241635687733, 'eval_runtime': 173.1232, 'eval_samples_per_second': 43.507, 'eval_steps_per_second': 2.721}
{'eval_loss': 1.508935809135437, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.618162506638343, 'eval_runtime': 160.331, 'eval_samples_per_second': 46.978, 'eval_steps_per_second': 2.938}
{'eval_loss': 1.5195415019989014, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.6143122676579925, 'eval_runtime': 133.3048, 'eval_samples_per_second': 56.502, 'eval_steps_per_second': 3.533}
{'eval_loss': 1.5358880758285522, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6125862984599044, 'eval_runtime': 150.4434, 'eval_samples_per_second': 50.065, 'eval_steps_per_second': 3.131}
