{'eval_loss': 3.833249568939209, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.24362719065321295, 'eval_runtime': 81.8656, 'eval_samples_per_second': 92.004, 'eval_steps_per_second': 5.753}
{'eval_loss': 2.6945106983184814, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.3447955390334573, 'eval_runtime': 82.4676, 'eval_samples_per_second': 91.333, 'eval_steps_per_second': 5.711}
{'eval_loss': 2.2335197925567627, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.41702071163037707, 'eval_runtime': 82.9342, 'eval_samples_per_second': 90.819, 'eval_steps_per_second': 5.679}
{'eval_loss': 2.040776491165161, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.45273499734466277, 'eval_runtime': 82.1901, 'eval_samples_per_second': 91.641, 'eval_steps_per_second': 5.731}
{'eval_loss': 1.913723349571228, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.485262878385555, 'eval_runtime': 82.0669, 'eval_samples_per_second': 91.779, 'eval_steps_per_second': 5.739}
{'eval_loss': 1.810196042060852, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.5098247477429634, 'eval_runtime': 81.9438, 'eval_samples_per_second': 91.917, 'eval_steps_per_second': 5.748}
{'eval_loss': 1.726538896560669, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5343866171003717, 'eval_runtime': 81.6292, 'eval_samples_per_second': 92.271, 'eval_steps_per_second': 5.77}
{'eval_loss': 1.6589118242263794, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5566914498141264, 'eval_runtime': 81.9881, 'eval_samples_per_second': 91.867, 'eval_steps_per_second': 5.745}
{'eval_loss': 1.6291793584823608, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5711630377057887, 'eval_runtime': 165.3534, 'eval_samples_per_second': 45.551, 'eval_steps_per_second': 2.848}
{'eval_loss': 1.5596569776535034, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.588024429102496, 'eval_runtime': 139.5805, 'eval_samples_per_second': 53.962, 'eval_steps_per_second': 3.374}
{'eval_loss': 1.5146903991699219, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6005045140732873, 'eval_runtime': 147.1042, 'eval_samples_per_second': 51.202, 'eval_steps_per_second': 3.202}
{'eval_loss': 1.500701665878296, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.602761550716941, 'eval_runtime': 148.5333, 'eval_samples_per_second': 50.709, 'eval_steps_per_second': 3.171}
{'eval_loss': 1.4687390327453613, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.6155071694105151, 'eval_runtime': 147.0938, 'eval_samples_per_second': 51.205, 'eval_steps_per_second': 3.202}
{'eval_loss': 1.450000524520874, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6220127456186936, 'eval_runtime': 153.6044, 'eval_samples_per_second': 49.035, 'eval_steps_per_second': 3.066}
{'eval_loss': 1.424112319946289, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.6295804567180032, 'eval_runtime': 167.1601, 'eval_samples_per_second': 45.059, 'eval_steps_per_second': 2.818}
{'eval_loss': 1.434625267982483, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6322357939458311, 'eval_runtime': 173.055, 'eval_samples_per_second': 43.524, 'eval_steps_per_second': 2.722}
{'eval_loss': 1.4193532466888428, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.6384758364312267, 'eval_runtime': 158.5888, 'eval_samples_per_second': 47.494, 'eval_steps_per_second': 2.97}
{'eval_loss': 1.4123222827911377, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6400690387679235, 'eval_runtime': 103.0998, 'eval_samples_per_second': 73.055, 'eval_steps_per_second': 4.568}
{'eval_loss': 1.3984875679016113, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6420605416887945, 'eval_runtime': 178.0282, 'eval_samples_per_second': 42.308, 'eval_steps_per_second': 2.646}
{'eval_loss': 1.4047919511795044, 'eval_model_preparation_time': 0.0066, 'eval_acc': 0.6439192777482741, 'eval_runtime': 163.5488, 'eval_samples_per_second': 46.054, 'eval_steps_per_second': 2.88}
