{'eval_loss': 2.51621150970459, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.3244822092405735, 'eval_runtime': 9.0916, 'eval_samples_per_second': 828.457, 'eval_steps_per_second': 51.806}
{'eval_loss': 1.6391106843948364, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5082315454062666, 'eval_runtime': 8.3634, 'eval_samples_per_second': 900.59, 'eval_steps_per_second': 56.317}
{'eval_loss': 1.51193368434906, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5277482740308019, 'eval_runtime': 8.6217, 'eval_samples_per_second': 873.61, 'eval_steps_per_second': 54.63}
{'eval_loss': 1.4304394721984863, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.55323951141795, 'eval_runtime': 8.7138, 'eval_samples_per_second': 864.379, 'eval_steps_per_second': 54.052}
{'eval_loss': 1.3934828042984009, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.5775358470525757, 'eval_runtime': 8.6207, 'eval_samples_per_second': 873.706, 'eval_steps_per_second': 54.636}
{'eval_loss': 1.3711007833480835, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5860329261816251, 'eval_runtime': 8.9808, 'eval_samples_per_second': 838.675, 'eval_steps_per_second': 52.445}
{'eval_loss': 1.3582866191864014, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.5920074349442379, 'eval_runtime': 8.7076, 'eval_samples_per_second': 864.996, 'eval_steps_per_second': 54.091}
{'eval_loss': 1.3333096504211426, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.5979819437068508, 'eval_runtime': 8.6947, 'eval_samples_per_second': 866.276, 'eval_steps_per_second': 54.171}
{'eval_loss': 1.3231430053710938, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.604753053637812, 'eval_runtime': 9.4818, 'eval_samples_per_second': 794.36, 'eval_steps_per_second': 49.674}
{'eval_loss': 1.3193937540054321, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.608072225172597, 'eval_runtime': 8.6866, 'eval_samples_per_second': 867.081, 'eval_steps_per_second': 54.221}
{'eval_loss': 1.3105847835540771, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.618162506638343, 'eval_runtime': 8.4932, 'eval_samples_per_second': 886.828, 'eval_steps_per_second': 55.456}
{'eval_loss': 1.3032864332199097, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.6224110462028678, 'eval_runtime': 8.6432, 'eval_samples_per_second': 871.437, 'eval_steps_per_second': 54.494}
{'eval_loss': 1.288091778755188, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6285183218268721, 'eval_runtime': 8.6214, 'eval_samples_per_second': 873.645, 'eval_steps_per_second': 54.632}
{'eval_loss': 1.27684485912323, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6344928305894849, 'eval_runtime': 8.9334, 'eval_samples_per_second': 843.125, 'eval_steps_per_second': 52.723}
{'eval_loss': 1.2654303312301636, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6431226765799256, 'eval_runtime': 8.6609, 'eval_samples_per_second': 869.655, 'eval_steps_per_second': 54.382}
{'eval_loss': 1.2801620960235596, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.6342272968667021, 'eval_runtime': 9.1827, 'eval_samples_per_second': 820.238, 'eval_steps_per_second': 51.292}
{'eval_loss': 1.2809263467788696, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6423260754115773, 'eval_runtime': 8.5098, 'eval_samples_per_second': 885.096, 'eval_steps_per_second': 55.348}
{'eval_loss': 1.2816238403320312, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6439192777482741, 'eval_runtime': 8.9623, 'eval_samples_per_second': 840.408, 'eval_steps_per_second': 52.553}
{'eval_loss': 1.285791277885437, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.6483005841741901, 'eval_runtime': 8.5568, 'eval_samples_per_second': 880.239, 'eval_steps_per_second': 55.044}
{'eval_loss': 1.3124276399612427, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.6465746149761019, 'eval_runtime': 8.6821, 'eval_samples_per_second': 867.534, 'eval_steps_per_second': 54.25}
{'eval_loss': 1.2782306671142578, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.655602761550717, 'eval_runtime': 8.6313, 'eval_samples_per_second': 872.637, 'eval_steps_per_second': 54.569}
{'eval_loss': 1.2815277576446533, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6520180562931492, 'eval_runtime': 8.617, 'eval_samples_per_second': 874.086, 'eval_steps_per_second': 54.659}
{'eval_loss': 1.270185112953186, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6532129580456718, 'eval_runtime': 8.5313, 'eval_samples_per_second': 882.864, 'eval_steps_per_second': 55.208}
{'eval_loss': 1.2758960723876953, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.654275092936803, 'eval_runtime': 8.7754, 'eval_samples_per_second': 858.304, 'eval_steps_per_second': 53.673}
{'eval_loss': 1.2652100324630737, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6558682952734998, 'eval_runtime': 8.6036, 'eval_samples_per_second': 875.449, 'eval_steps_per_second': 54.745}
{'eval_loss': 1.2701188325881958, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6532129580456718, 'eval_runtime': 9.0545, 'eval_samples_per_second': 831.848, 'eval_steps_per_second': 52.018}
{'eval_loss': 1.2945284843444824, 'eval_model_preparation_time': 0.0063, 'eval_acc': 0.6520180562931492, 'eval_runtime': 8.5913, 'eval_samples_per_second': 876.703, 'eval_steps_per_second': 54.823}
{'eval_loss': 1.2841031551361084, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.6557355284121084, 'eval_runtime': 8.8483, 'eval_samples_per_second': 851.238, 'eval_steps_per_second': 53.231}
{'eval_loss': 1.289681077003479, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6566648964418481, 'eval_runtime': 8.7902, 'eval_samples_per_second': 856.864, 'eval_steps_per_second': 53.582}
{'eval_loss': 1.2860528230667114, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6554699946893255, 'eval_runtime': 8.695, 'eval_samples_per_second': 866.241, 'eval_steps_per_second': 54.169}
{'eval_loss': 1.2965481281280518, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.651619755708975, 'eval_runtime': 8.5545, 'eval_samples_per_second': 880.47, 'eval_steps_per_second': 55.059}
{'eval_loss': 1.2903317213058472, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6545406266595858, 'eval_runtime': 8.557, 'eval_samples_per_second': 880.219, 'eval_steps_per_second': 55.043}
{'eval_loss': 1.3041048049926758, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.658656399362719, 'eval_runtime': 8.5514, 'eval_samples_per_second': 880.791, 'eval_steps_per_second': 55.079}
{'eval_loss': 1.2901884317398071, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.658656399362719, 'eval_runtime': 9.1589, 'eval_samples_per_second': 822.37, 'eval_steps_per_second': 51.425}
{'eval_loss': 1.3027981519699097, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.6610462028677642, 'eval_runtime': 8.6423, 'eval_samples_per_second': 871.523, 'eval_steps_per_second': 54.499}
{'eval_loss': 1.3070857524871826, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6583908656399363, 'eval_runtime': 8.6544, 'eval_samples_per_second': 870.31, 'eval_steps_per_second': 54.423}
{'eval_loss': 1.2878295183181763, 'eval_model_preparation_time': 0.0068, 'eval_acc': 0.6609134360063728, 'eval_runtime': 8.9692, 'eval_samples_per_second': 839.766, 'eval_steps_per_second': 52.513}
{'eval_loss': 1.2775665521621704, 'eval_model_preparation_time': 0.0065, 'eval_acc': 0.6652947424322889, 'eval_runtime': 8.9411, 'eval_samples_per_second': 842.399, 'eval_steps_per_second': 52.678}
{'eval_loss': 1.2892787456512451, 'eval_model_preparation_time': 0.007, 'eval_acc': 0.6625066383430696, 'eval_runtime': 8.642, 'eval_samples_per_second': 871.562, 'eval_steps_per_second': 54.502}
{'eval_loss': 1.2858575582504272, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.6609134360063728, 'eval_runtime': 8.7556, 'eval_samples_per_second': 860.252, 'eval_steps_per_second': 53.794}
{'eval_loss': 1.2917821407318115, 'eval_model_preparation_time': 0.0072, 'eval_acc': 0.6630377057886352, 'eval_runtime': 8.7644, 'eval_samples_per_second': 859.389, 'eval_steps_per_second': 53.74}
{'eval_loss': 1.2983653545379639, 'eval_model_preparation_time': 0.0063, 'eval_acc': 0.6672862453531598, 'eval_runtime': 8.7237, 'eval_samples_per_second': 863.394, 'eval_steps_per_second': 53.991}
{'eval_loss': 1.292426347732544, 'eval_model_preparation_time': 0.0071, 'eval_acc': 0.6647636749867233, 'eval_runtime': 8.6908, 'eval_samples_per_second': 866.668, 'eval_steps_per_second': 54.196}
{'eval_loss': 1.3144705295562744, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.66064790228359, 'eval_runtime': 8.6657, 'eval_samples_per_second': 869.17, 'eval_steps_per_second': 54.352}
{'eval_loss': 1.3016300201416016, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6623738714816781, 'eval_runtime': 8.9046, 'eval_samples_per_second': 845.851, 'eval_steps_per_second': 52.894}
{'eval_loss': 1.2943153381347656, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6654275092936803, 'eval_runtime': 8.533, 'eval_samples_per_second': 882.688, 'eval_steps_per_second': 55.197}
{'eval_loss': 1.2991427183151245, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6652947424322889, 'eval_runtime': 8.5846, 'eval_samples_per_second': 877.386, 'eval_steps_per_second': 54.866}
{'eval_loss': 1.2865387201309204, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6637015400955921, 'eval_runtime': 8.7147, 'eval_samples_per_second': 864.285, 'eval_steps_per_second': 54.046}
{'eval_loss': 1.2780003547668457, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6647636749867233, 'eval_runtime': 8.6766, 'eval_samples_per_second': 868.077, 'eval_steps_per_second': 54.284}
{'eval_loss': 1.2792918682098389, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6671534784917684, 'eval_runtime': 8.7008, 'eval_samples_per_second': 865.67, 'eval_steps_per_second': 54.133}
