{'eval_loss': 3.011296510696411, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.05708975039830058, 'eval_runtime': 9.5204, 'eval_samples_per_second': 791.144, 'eval_steps_per_second': 49.473}
{'eval_loss': 2.9664499759674072, 'eval_model_preparation_time': 0.0076, 'eval_acc': 0.0763409453000531, 'eval_runtime': 9.3069, 'eval_samples_per_second': 809.292, 'eval_steps_per_second': 50.608}
{'eval_loss': 2.846299171447754, 'eval_model_preparation_time': 0.0065, 'eval_acc': 0.1692777482740308, 'eval_runtime': 9.6992, 'eval_samples_per_second': 776.559, 'eval_steps_per_second': 48.561}
{'eval_loss': 2.562049388885498, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.3012480084970791, 'eval_runtime': 9.3375, 'eval_samples_per_second': 806.644, 'eval_steps_per_second': 50.442}
{'eval_loss': 2.182727575302124, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.4304301646309081, 'eval_runtime': 8.9656, 'eval_samples_per_second': 840.1, 'eval_steps_per_second': 52.534}
{'eval_loss': 1.85850191116333, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.4868560807222517, 'eval_runtime': 9.1825, 'eval_samples_per_second': 820.255, 'eval_steps_per_second': 51.293}
{'eval_loss': 1.6629414558410645, 'eval_model_preparation_time': 0.0074, 'eval_acc': 0.5106213489113117, 'eval_runtime': 8.9668, 'eval_samples_per_second': 839.992, 'eval_steps_per_second': 52.527}
{'eval_loss': 1.5688738822937012, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.5208443972384493, 'eval_runtime': 9.3755, 'eval_samples_per_second': 803.372, 'eval_steps_per_second': 50.237}
{'eval_loss': 1.5256640911102295, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.5253584705257568, 'eval_runtime': 9.1978, 'eval_samples_per_second': 818.891, 'eval_steps_per_second': 51.208}
{'eval_loss': 1.499476671218872, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5325278810408922, 'eval_runtime': 8.9949, 'eval_samples_per_second': 837.367, 'eval_steps_per_second': 52.363}
{'eval_loss': 1.4696500301361084, 'eval_model_preparation_time': 0.0064, 'eval_acc': 0.5406266595857674, 'eval_runtime': 8.8062, 'eval_samples_per_second': 855.305, 'eval_steps_per_second': 53.485}
{'eval_loss': 1.4464879035949707, 'eval_model_preparation_time': 0.0059, 'eval_acc': 0.5497875730217737, 'eval_runtime': 10.0287, 'eval_samples_per_second': 751.046, 'eval_steps_per_second': 46.965}
{'eval_loss': 1.4165606498718262, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.5556293149229952, 'eval_runtime': 8.8994, 'eval_samples_per_second': 846.351, 'eval_steps_per_second': 52.925}
{'eval_loss': 1.3940247297286987, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5657195963887414, 'eval_runtime': 8.7313, 'eval_samples_per_second': 862.639, 'eval_steps_per_second': 53.944}
{'eval_loss': 1.3738515377044678, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.573951141795008, 'eval_runtime': 8.6832, 'eval_samples_per_second': 867.421, 'eval_steps_per_second': 54.243}
{'eval_loss': 1.3672960996627808, 'eval_model_preparation_time': 0.0063, 'eval_acc': 0.5780669144981413, 'eval_runtime': 8.9661, 'eval_samples_per_second': 840.056, 'eval_steps_per_second': 52.531}
{'eval_loss': 1.3529174327850342, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.5852363250132767, 'eval_runtime': 8.9822, 'eval_samples_per_second': 838.545, 'eval_steps_per_second': 52.437}
