{'eval_loss': 1.729501724243164, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.4753053637812002, 'eval_runtime': 8.2933, 'eval_samples_per_second': 908.202, 'eval_steps_per_second': 56.793}
{'eval_loss': 1.6017930507659912, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.5039830058417419, 'eval_runtime': 8.2932, 'eval_samples_per_second': 908.216, 'eval_steps_per_second': 56.794}
{'eval_loss': 1.4965016841888428, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.5304036112586299, 'eval_runtime': 8.4587, 'eval_samples_per_second': 890.439, 'eval_steps_per_second': 55.682}
{'eval_loss': 1.4206643104553223, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.5590812533191716, 'eval_runtime': 8.5209, 'eval_samples_per_second': 883.943, 'eval_steps_per_second': 55.276}
{'eval_loss': 1.386533498764038, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.573951141795008, 'eval_runtime': 8.5901, 'eval_samples_per_second': 876.824, 'eval_steps_per_second': 54.831}
{'eval_loss': 1.3548070192337036, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.5885554965480616, 'eval_runtime': 8.5393, 'eval_samples_per_second': 882.038, 'eval_steps_per_second': 55.157}
{'eval_loss': 1.3433589935302734, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.5993096123207647, 'eval_runtime': 8.4928, 'eval_samples_per_second': 886.869, 'eval_steps_per_second': 55.459}
{'eval_loss': 1.3235752582550049, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6068773234200744, 'eval_runtime': 8.4737, 'eval_samples_per_second': 888.872, 'eval_steps_per_second': 55.584}
{'eval_loss': 1.3160195350646973, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6105947955390335, 'eval_runtime': 8.4339, 'eval_samples_per_second': 893.064, 'eval_steps_per_second': 55.846}
{'eval_loss': 1.3170490264892578, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.6177642060541689, 'eval_runtime': 8.479, 'eval_samples_per_second': 888.314, 'eval_steps_per_second': 55.549}
{'eval_loss': 1.3162447214126587, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6277217206585236, 'eval_runtime': 8.4922, 'eval_samples_per_second': 886.93, 'eval_steps_per_second': 55.463}
