{'eval_loss': 3.007152795791626, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.08351035581518852, 'eval_runtime': 8.4138, 'eval_samples_per_second': 895.198, 'eval_steps_per_second': 55.98}
{'eval_loss': 2.8983347415924072, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.16688794476898566, 'eval_runtime': 8.3658, 'eval_samples_per_second': 900.333, 'eval_steps_per_second': 56.301}
{'eval_loss': 2.5676369667053223, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.2984599044078598, 'eval_runtime': 8.544, 'eval_samples_per_second': 881.558, 'eval_steps_per_second': 55.127}
{'eval_loss': 2.2740566730499268, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.3874137015400956, 'eval_runtime': 8.2326, 'eval_samples_per_second': 914.903, 'eval_steps_per_second': 57.212}
{'eval_loss': 2.1343576908111572, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.4284386617100372, 'eval_runtime': 8.9219, 'eval_samples_per_second': 844.218, 'eval_steps_per_second': 52.792}
{'eval_loss': 2.051368474960327, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.4358736059479554, 'eval_runtime': 8.6773, 'eval_samples_per_second': 868.016, 'eval_steps_per_second': 54.28}
{'eval_loss': 1.988896131515503, 'eval_model_preparation_time': 0.0059, 'eval_acc': 0.46800318640467337, 'eval_runtime': 9.3381, 'eval_samples_per_second': 806.587, 'eval_steps_per_second': 50.438}
{'eval_loss': 1.942315697669983, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.483935209771641, 'eval_runtime': 8.6283, 'eval_samples_per_second': 872.941, 'eval_steps_per_second': 54.588}
{'eval_loss': 1.9039885997772217, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.4873871481678173, 'eval_runtime': 8.1899, 'eval_samples_per_second': 919.669, 'eval_steps_per_second': 57.51}
{'eval_loss': 1.8651816844940186, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.4867233138608603, 'eval_runtime': 9.2234, 'eval_samples_per_second': 816.616, 'eval_steps_per_second': 51.066}
{'eval_loss': 1.8278368711471558, 'eval_model_preparation_time': 0.0066, 'eval_acc': 0.49893786510886884, 'eval_runtime': 8.8915, 'eval_samples_per_second': 847.105, 'eval_steps_per_second': 52.972}
{'eval_loss': 1.810540795326233, 'eval_model_preparation_time': 0.0065, 'eval_acc': 0.5005310674455656, 'eval_runtime': 8.4232, 'eval_samples_per_second': 894.197, 'eval_steps_per_second': 55.917}
{'eval_loss': 1.7761261463165283, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.511019649495486, 'eval_runtime': 8.1972, 'eval_samples_per_second': 918.845, 'eval_steps_per_second': 57.458}
{'eval_loss': 1.7504876852035522, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.5095592140201806, 'eval_runtime': 8.3584, 'eval_samples_per_second': 901.124, 'eval_steps_per_second': 56.35}
{'eval_loss': 1.7305221557617188, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.5107541157727031, 'eval_runtime': 8.4213, 'eval_samples_per_second': 894.395, 'eval_steps_per_second': 55.929}
{'eval_loss': 1.7161014080047607, 'eval_model_preparation_time': 0.0063, 'eval_acc': 0.5107541157727031, 'eval_runtime': 8.7732, 'eval_samples_per_second': 858.52, 'eval_steps_per_second': 53.686}
{'eval_loss': 1.6893939971923828, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.516728624535316, 'eval_runtime': 8.7951, 'eval_samples_per_second': 856.387, 'eval_steps_per_second': 53.553}
{'eval_loss': 1.675427794456482, 'eval_model_preparation_time': 0.0059, 'eval_acc': 0.5207116303770579, 'eval_runtime': 8.2782, 'eval_samples_per_second': 909.86, 'eval_steps_per_second': 56.896}
{'eval_loss': 1.662616491317749, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.5229686670207117, 'eval_runtime': 8.8802, 'eval_samples_per_second': 848.182, 'eval_steps_per_second': 53.04}
{'eval_loss': 1.650267243385315, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.5268189060010622, 'eval_runtime': 9.0516, 'eval_samples_per_second': 832.115, 'eval_steps_per_second': 52.035}
{'eval_loss': 1.6355396509170532, 'eval_model_preparation_time': 0.0063, 'eval_acc': 0.5301380775358471, 'eval_runtime': 8.1854, 'eval_samples_per_second': 920.178, 'eval_steps_per_second': 57.542}
{'eval_loss': 1.6208792924880981, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.5306691449814126, 'eval_runtime': 8.3686, 'eval_samples_per_second': 900.028, 'eval_steps_per_second': 56.282}
{'eval_loss': 1.608581781387329, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.5313329792883696, 'eval_runtime': 8.2393, 'eval_samples_per_second': 914.153, 'eval_steps_per_second': 57.165}
{'eval_loss': 1.600360631942749, 'eval_model_preparation_time': 0.0065, 'eval_acc': 0.5343866171003717, 'eval_runtime': 8.3171, 'eval_samples_per_second': 905.608, 'eval_steps_per_second': 56.631}
{'eval_loss': 1.5837699174880981, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.5394317578332448, 'eval_runtime': 9.221, 'eval_samples_per_second': 816.831, 'eval_steps_per_second': 51.079}
{'eval_loss': 1.5781737565994263, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.5375730217737653, 'eval_runtime': 8.3432, 'eval_samples_per_second': 902.771, 'eval_steps_per_second': 56.453}
{'eval_loss': 1.5750905275344849, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5394317578332448, 'eval_runtime': 8.3401, 'eval_samples_per_second': 903.107, 'eval_steps_per_second': 56.474}
{'eval_loss': 1.5550923347473145, 'eval_model_preparation_time': 0.0064, 'eval_acc': 0.5406266595857674, 'eval_runtime': 8.2108, 'eval_samples_per_second': 917.333, 'eval_steps_per_second': 57.364}
{'eval_loss': 1.547065019607544, 'eval_model_preparation_time': 0.0063, 'eval_acc': 0.5473977695167286, 'eval_runtime': 8.6526, 'eval_samples_per_second': 870.485, 'eval_steps_per_second': 54.434}
{'eval_loss': 1.5359711647033691, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.5493892724375996, 'eval_runtime': 8.2551, 'eval_samples_per_second': 912.408, 'eval_steps_per_second': 57.056}
{'eval_loss': 1.5320253372192383, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.5454062665958577, 'eval_runtime': 8.1215, 'eval_samples_per_second': 927.419, 'eval_steps_per_second': 57.994}
{'eval_loss': 1.5224593877792358, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.5519118428040362, 'eval_runtime': 8.152, 'eval_samples_per_second': 923.944, 'eval_steps_per_second': 57.777}
{'eval_loss': 1.5144355297088623, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.5497875730217737, 'eval_runtime': 8.2844, 'eval_samples_per_second': 909.183, 'eval_steps_per_second': 56.854}
{'eval_loss': 1.5088653564453125, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.5543016463090813, 'eval_runtime': 8.2956, 'eval_samples_per_second': 907.955, 'eval_steps_per_second': 56.777}
{'eval_loss': 1.5053458213806152, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.5479288369622942, 'eval_runtime': 8.1156, 'eval_samples_per_second': 928.089, 'eval_steps_per_second': 58.036}
{'eval_loss': 1.4989231824874878, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.5472650026553372, 'eval_runtime': 8.6047, 'eval_samples_per_second': 875.339, 'eval_steps_per_second': 54.738}
{'eval_loss': 1.4921456575393677, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.5525756771109931, 'eval_runtime': 8.1942, 'eval_samples_per_second': 919.191, 'eval_steps_per_second': 57.48}
{'eval_loss': 1.4859015941619873, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5582846521508231, 'eval_runtime': 9.0092, 'eval_samples_per_second': 836.03, 'eval_steps_per_second': 52.28}
{'eval_loss': 1.4786394834518433, 'eval_model_preparation_time': 0.0059, 'eval_acc': 0.5560276155071694, 'eval_runtime': 8.4865, 'eval_samples_per_second': 887.531, 'eval_steps_per_second': 55.5}
{'eval_loss': 1.4816159009933472, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.5553637812002125, 'eval_runtime': 8.9414, 'eval_samples_per_second': 842.376, 'eval_steps_per_second': 52.676}
{'eval_loss': 1.4688936471939087, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.5584174190122145, 'eval_runtime': 8.79, 'eval_samples_per_second': 856.881, 'eval_steps_per_second': 53.583}
