{'eval_loss': 3.0293538570404053, 'eval_model_preparation_time': 0.007, 'eval_acc': 0.05443441317047265, 'eval_runtime': 8.9723, 'eval_samples_per_second': 839.471, 'eval_steps_per_second': 52.495}
{'eval_loss': 3.0034656524658203, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.05921402018056293, 'eval_runtime': 9.0458, 'eval_samples_per_second': 832.65, 'eval_steps_per_second': 52.068}
{'eval_loss': 2.922414779663086, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.10568242166755178, 'eval_runtime': 8.9653, 'eval_samples_per_second': 840.13, 'eval_steps_per_second': 52.536}
{'eval_loss': 2.5149693489074707, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.3215613382899628, 'eval_runtime': 9.0363, 'eval_samples_per_second': 833.527, 'eval_steps_per_second': 52.123}
{'eval_loss': 2.011526584625244, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.45884227296866703, 'eval_runtime': 9.0822, 'eval_samples_per_second': 829.318, 'eval_steps_per_second': 51.86}
{'eval_loss': 1.6701775789260864, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.5053106744556559, 'eval_runtime': 8.9643, 'eval_samples_per_second': 840.226, 'eval_steps_per_second': 52.542}
{'eval_loss': 1.5268031358718872, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.5257567711099309, 'eval_runtime': 8.9975, 'eval_samples_per_second': 837.118, 'eval_steps_per_second': 52.348}
{'eval_loss': 1.486770749092102, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.5377057886351566, 'eval_runtime': 8.9703, 'eval_samples_per_second': 839.662, 'eval_steps_per_second': 52.507}
{'eval_loss': 1.4622244834899902, 'eval_model_preparation_time': 0.0167, 'eval_acc': 0.5423526287838556, 'eval_runtime': 9.2551, 'eval_samples_per_second': 813.826, 'eval_steps_per_second': 50.891}
{'eval_loss': 1.4328283071517944, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.5588157195963888, 'eval_runtime': 9.2318, 'eval_samples_per_second': 815.877, 'eval_steps_per_second': 51.019}
{'eval_loss': 1.4038329124450684, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.5735528412108338, 'eval_runtime': 8.7648, 'eval_samples_per_second': 859.351, 'eval_steps_per_second': 53.738}
