{'eval_loss': 1.7076537609100342, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.47862453531598514, 'eval_runtime': 8.4334, 'eval_samples_per_second': 893.119, 'eval_steps_per_second': 55.85}
{'eval_loss': 1.599384069442749, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.5075677110993096, 'eval_runtime': 8.4347, 'eval_samples_per_second': 892.982, 'eval_steps_per_second': 55.841}
{'eval_loss': 1.4974030256271362, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.5330589484864577, 'eval_runtime': 8.5897, 'eval_samples_per_second': 876.869, 'eval_steps_per_second': 54.833}
{'eval_loss': 1.421557068824768, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.5606744556558683, 'eval_runtime': 8.736, 'eval_samples_per_second': 862.183, 'eval_steps_per_second': 53.915}
{'eval_loss': 1.380827784538269, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.5793945831120553, 'eval_runtime': 8.7738, 'eval_samples_per_second': 858.465, 'eval_steps_per_second': 53.683}
{'eval_loss': 1.3512344360351562, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5912108337758896, 'eval_runtime': 8.7323, 'eval_samples_per_second': 862.55, 'eval_steps_per_second': 53.938}
{'eval_loss': 1.343052625656128, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.6028943175783325, 'eval_runtime': 8.6603, 'eval_samples_per_second': 869.713, 'eval_steps_per_second': 54.386}
{'eval_loss': 1.325932502746582, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6088688263409453, 'eval_runtime': 8.5871, 'eval_samples_per_second': 877.13, 'eval_steps_per_second': 54.85}
{'eval_loss': 1.3171650171279907, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.6140467339352098, 'eval_runtime': 8.5749, 'eval_samples_per_second': 878.382, 'eval_steps_per_second': 54.928}
{'eval_loss': 1.3199634552001953, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.6202867764206054, 'eval_runtime': 8.6444, 'eval_samples_per_second': 871.312, 'eval_steps_per_second': 54.486}
{'eval_loss': 1.3181480169296265, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.627854487519915, 'eval_runtime': 8.6375, 'eval_samples_per_second': 872.01, 'eval_steps_per_second': 54.53}
{'eval_loss': 1.3248156309127808, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6274561869357408, 'eval_runtime': 8.6387, 'eval_samples_per_second': 871.886, 'eval_steps_per_second': 54.522}
{'eval_loss': 1.3137129545211792, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6323685608072225, 'eval_runtime': 8.6138, 'eval_samples_per_second': 874.406, 'eval_steps_per_second': 54.679}
{'eval_loss': 1.3023991584777832, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.6407328730748805, 'eval_runtime': 8.5785, 'eval_samples_per_second': 878.008, 'eval_steps_per_second': 54.905}
{'eval_loss': 1.2965905666351318, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6471056824216675, 'eval_runtime': 8.5757, 'eval_samples_per_second': 878.298, 'eval_steps_per_second': 54.923}
{'eval_loss': 1.3220584392547607, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6371481678173128, 'eval_runtime': 8.5354, 'eval_samples_per_second': 882.44, 'eval_steps_per_second': 55.182}
{'eval_loss': 1.323568344116211, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6439192777482741, 'eval_runtime': 8.561, 'eval_samples_per_second': 879.804, 'eval_steps_per_second': 55.017}
{'eval_loss': 1.3254473209381104, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6456452469463622, 'eval_runtime': 8.6211, 'eval_samples_per_second': 873.672, 'eval_steps_per_second': 54.633}
{'eval_loss': 1.3395578861236572, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.6484333510355815, 'eval_runtime': 8.6483, 'eval_samples_per_second': 870.928, 'eval_steps_per_second': 54.462}
{'eval_loss': 1.3729392290115356, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6485661178969729, 'eval_runtime': 8.5654, 'eval_samples_per_second': 879.347, 'eval_steps_per_second': 54.988}
{'eval_loss': 1.3524309396743774, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6506903876792353, 'eval_runtime': 8.5473, 'eval_samples_per_second': 881.217, 'eval_steps_per_second': 55.105}
