{'eval_loss': 2.717971086502075, 'eval_model_preparation_time': 0.0188, 'eval_acc': 0.21972915560276154, 'eval_runtime': 17.8829, 'eval_samples_per_second': 421.183, 'eval_steps_per_second': 26.338}
{'eval_loss': 1.8116965293884277, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.4443706850770048, 'eval_runtime': 15.8109, 'eval_samples_per_second': 476.38, 'eval_steps_per_second': 29.79}
{'eval_loss': 1.6854913234710693, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.5015932023366968, 'eval_runtime': 16.1449, 'eval_samples_per_second': 466.525, 'eval_steps_per_second': 29.173}
{'eval_loss': 1.5819264650344849, 'eval_model_preparation_time': 0.0072, 'eval_acc': 0.5254912373871482, 'eval_runtime': 16.517, 'eval_samples_per_second': 456.015, 'eval_steps_per_second': 28.516}
{'eval_loss': 1.5508431196212769, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.5300053106744557, 'eval_runtime': 16.2711, 'eval_samples_per_second': 462.907, 'eval_steps_per_second': 28.947}
{'eval_loss': 1.5058695077896118, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.5517790759426447, 'eval_runtime': 16.2552, 'eval_samples_per_second': 463.361, 'eval_steps_per_second': 28.975}
{'eval_loss': 1.4799588918685913, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.5730217737652682, 'eval_runtime': 16.2118, 'eval_samples_per_second': 464.601, 'eval_steps_per_second': 29.053}
{'eval_loss': 1.4290605783462524, 'eval_model_preparation_time': 0.0064, 'eval_acc': 0.5966542750929368, 'eval_runtime': 16.3347, 'eval_samples_per_second': 461.105, 'eval_steps_per_second': 28.834}
{'eval_loss': 1.4407304525375366, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5936006372809347, 'eval_runtime': 16.299, 'eval_samples_per_second': 462.115, 'eval_steps_per_second': 28.898}
{'eval_loss': 1.3980375528335571, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.6093998937865109, 'eval_runtime': 16.1209, 'eval_samples_per_second': 467.22, 'eval_steps_per_second': 29.217}
{'eval_loss': 1.3647528886795044, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.6210833775889538, 'eval_runtime': 16.2062, 'eval_samples_per_second': 464.761, 'eval_steps_per_second': 29.063}
{'eval_loss': 1.3658943176269531, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6224110462028678, 'eval_runtime': 16.222, 'eval_samples_per_second': 464.307, 'eval_steps_per_second': 29.035}
{'eval_loss': 1.3290863037109375, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.637546468401487, 'eval_runtime': 16.4111, 'eval_samples_per_second': 458.958, 'eval_steps_per_second': 28.7}
{'eval_loss': 1.3192057609558105, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6416622411046203, 'eval_runtime': 16.1854, 'eval_samples_per_second': 465.358, 'eval_steps_per_second': 29.1}
{'eval_loss': 1.310736894607544, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6461763143919278, 'eval_runtime': 16.3986, 'eval_samples_per_second': 459.308, 'eval_steps_per_second': 28.722}
{'eval_loss': 1.3540053367614746, 'eval_model_preparation_time': 0.0066, 'eval_acc': 0.6372809346787042, 'eval_runtime': 16.3243, 'eval_samples_per_second': 461.398, 'eval_steps_per_second': 28.853}
{'eval_loss': 1.322310447692871, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6480350504514073, 'eval_runtime': 16.2931, 'eval_samples_per_second': 462.282, 'eval_steps_per_second': 28.908}
{'eval_loss': 1.2939704656600952, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6518852894317578, 'eval_runtime': 16.4765, 'eval_samples_per_second': 457.135, 'eval_steps_per_second': 28.586}
{'eval_loss': 1.304766297340393, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6506903876792353, 'eval_runtime': 16.3651, 'eval_samples_per_second': 460.247, 'eval_steps_per_second': 28.781}
{'eval_loss': 1.3301399946212769, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.6494954859267127, 'eval_runtime': 16.3322, 'eval_samples_per_second': 461.174, 'eval_steps_per_second': 28.839}
{'eval_loss': 1.3358991146087646, 'eval_model_preparation_time': 0.0059, 'eval_acc': 0.6484333510355815, 'eval_runtime': 16.1258, 'eval_samples_per_second': 467.077, 'eval_steps_per_second': 29.208}
{'eval_loss': 1.321115493774414, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6486988847583643, 'eval_runtime': 16.0845, 'eval_samples_per_second': 468.276, 'eval_steps_per_second': 29.283}
