{'eval_loss': 3.4179043769836426, 'eval_model_preparation_time': 0.0086, 'eval_acc': 0.09731810939989378, 'eval_runtime': 16.5758, 'eval_samples_per_second': 454.396, 'eval_steps_per_second': 28.415}
{'eval_loss': 2.2755367755889893, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.3750663834306957, 'eval_runtime': 16.8438, 'eval_samples_per_second': 447.167, 'eval_steps_per_second': 27.963}
{'eval_loss': 1.7474323511123657, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.4802177376526819, 'eval_runtime': 17.2863, 'eval_samples_per_second': 435.721, 'eval_steps_per_second': 27.247}
{'eval_loss': 1.622973918914795, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.5067711099309612, 'eval_runtime': 17.1352, 'eval_samples_per_second': 439.564, 'eval_steps_per_second': 27.487}
{'eval_loss': 1.578898310661316, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.5185873605947955, 'eval_runtime': 16.7709, 'eval_samples_per_second': 449.111, 'eval_steps_per_second': 28.084}
{'eval_loss': 1.5281680822372437, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.5463356346255974, 'eval_runtime': 16.809, 'eval_samples_per_second': 448.092, 'eval_steps_per_second': 28.021}
{'eval_loss': 1.498384714126587, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.5682421667551779, 'eval_runtime': 16.8289, 'eval_samples_per_second': 447.563, 'eval_steps_per_second': 27.988}
{'eval_loss': 1.4510130882263184, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.591343600637281, 'eval_runtime': 16.6862, 'eval_samples_per_second': 451.39, 'eval_steps_per_second': 28.227}
{'eval_loss': 1.4437909126281738, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.590015932023367, 'eval_runtime': 16.5912, 'eval_samples_per_second': 453.976, 'eval_steps_per_second': 28.389}
{'eval_loss': 1.4043093919754028, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6060807222517259, 'eval_runtime': 16.5839, 'eval_samples_per_second': 454.176, 'eval_steps_per_second': 28.401}
{'eval_loss': 1.3756307363510132, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6177642060541689, 'eval_runtime': 16.65, 'eval_samples_per_second': 452.373, 'eval_steps_per_second': 28.288}
