{'eval_loss': 2.024346113204956, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.40985130111524165, 'eval_runtime': 15.7522, 'eval_samples_per_second': 478.155, 'eval_steps_per_second': 29.901}
{'eval_loss': 1.8424433469772339, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.4403876792352629, 'eval_runtime': 15.5053, 'eval_samples_per_second': 485.77, 'eval_steps_per_second': 30.377}
{'eval_loss': 1.7156399488449097, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.48552841210833775, 'eval_runtime': 16.0741, 'eval_samples_per_second': 468.58, 'eval_steps_per_second': 29.302}
{'eval_loss': 1.6008555889129639, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.530801911842804, 'eval_runtime': 16.0665, 'eval_samples_per_second': 468.802, 'eval_steps_per_second': 29.316}
{'eval_loss': 1.553383708000183, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5343866171003717, 'eval_runtime': 16.0473, 'eval_samples_per_second': 469.362, 'eval_steps_per_second': 29.351}
{'eval_loss': 1.4939905405044556, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5548327137546468, 'eval_runtime': 15.9529, 'eval_samples_per_second': 472.141, 'eval_steps_per_second': 29.524}
{'eval_loss': 1.4586666822433472, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.5772703133297928, 'eval_runtime': 15.8931, 'eval_samples_per_second': 473.916, 'eval_steps_per_second': 29.635}
{'eval_loss': 1.4174607992172241, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5990440785979819, 'eval_runtime': 15.8565, 'eval_samples_per_second': 475.011, 'eval_steps_per_second': 29.704}
{'eval_loss': 1.4273096323013306, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.5998406797663304, 'eval_runtime': 15.7775, 'eval_samples_per_second': 477.388, 'eval_steps_per_second': 29.853}
{'eval_loss': 1.3883609771728516, 'eval_model_preparation_time': 0.0074, 'eval_acc': 0.6135156664896442, 'eval_runtime': 15.8738, 'eval_samples_per_second': 474.492, 'eval_steps_per_second': 29.672}
{'eval_loss': 1.348902702331543, 'eval_model_preparation_time': 0.0076, 'eval_acc': 0.629182156133829, 'eval_runtime': 16.0612, 'eval_samples_per_second': 468.956, 'eval_steps_per_second': 29.325}
{'eval_loss': 1.3566802740097046, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.6295804567180032, 'eval_runtime': 16.0104, 'eval_samples_per_second': 470.444, 'eval_steps_per_second': 29.418}
{'eval_loss': 1.3170031309127808, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6408656399362719, 'eval_runtime': 15.8334, 'eval_samples_per_second': 475.703, 'eval_steps_per_second': 29.747}
{'eval_loss': 1.3074758052825928, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6500265533722783, 'eval_runtime': 15.8425, 'eval_samples_per_second': 475.429, 'eval_steps_per_second': 29.73}
{'eval_loss': 1.3036494255065918, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6473712161444504, 'eval_runtime': 15.9635, 'eval_samples_per_second': 471.825, 'eval_steps_per_second': 29.505}
{'eval_loss': 1.357330322265625, 'eval_model_preparation_time': 0.0075, 'eval_acc': 0.640201805629315, 'eval_runtime': 15.88, 'eval_samples_per_second': 474.308, 'eval_steps_per_second': 29.66}
{'eval_loss': 1.3228684663772583, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.6490971853425385, 'eval_runtime': 15.9553, 'eval_samples_per_second': 472.069, 'eval_steps_per_second': 29.52}
{'eval_loss': 1.2944483757019043, 'eval_model_preparation_time': 0.0059, 'eval_acc': 0.653611258629846, 'eval_runtime': 15.9654, 'eval_samples_per_second': 471.771, 'eval_steps_per_second': 29.501}
{'eval_loss': 1.296740174293518, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6565321295804567, 'eval_runtime': 15.8562, 'eval_samples_per_second': 475.02, 'eval_steps_per_second': 29.705}
{'eval_loss': 1.324662208557129, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.6571959638874137, 'eval_runtime': 16.0037, 'eval_samples_per_second': 470.642, 'eval_steps_per_second': 29.431}
{'eval_loss': 1.3297462463378906, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6540095592140202, 'eval_runtime': 15.9382, 'eval_samples_per_second': 472.575, 'eval_steps_per_second': 29.552}
{'eval_loss': 1.3248218297958374, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6498937865108869, 'eval_runtime': 15.9086, 'eval_samples_per_second': 473.454, 'eval_steps_per_second': 29.607}
{'eval_loss': 1.3266944885253906, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6579925650557621, 'eval_runtime': 15.7954, 'eval_samples_per_second': 476.849, 'eval_steps_per_second': 29.819}
{'eval_loss': 1.3449801206588745, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6598513011152416, 'eval_runtime': 15.717, 'eval_samples_per_second': 479.227, 'eval_steps_per_second': 29.968}
{'eval_loss': 1.335383653640747, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6617100371747212, 'eval_runtime': 15.8709, 'eval_samples_per_second': 474.578, 'eval_steps_per_second': 29.677}
{'eval_loss': 1.3185092210769653, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6644981412639405, 'eval_runtime': 15.8637, 'eval_samples_per_second': 474.796, 'eval_steps_per_second': 29.691}
{'eval_loss': 1.351247787475586, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.667020711630377, 'eval_runtime': 15.8501, 'eval_samples_per_second': 475.202, 'eval_steps_per_second': 29.716}
{'eval_loss': 1.351354956626892, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6680828465215082, 'eval_runtime': 15.9257, 'eval_samples_per_second': 472.946, 'eval_steps_per_second': 29.575}
{'eval_loss': 1.3365650177001953, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.6650292087095061, 'eval_runtime': 15.7699, 'eval_samples_per_second': 477.619, 'eval_steps_per_second': 29.867}
{'eval_loss': 1.3551808595657349, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.667020711630377, 'eval_runtime': 16.027, 'eval_samples_per_second': 469.957, 'eval_steps_per_second': 29.388}
{'eval_loss': 1.3598524332046509, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6664896441848115, 'eval_runtime': 15.883, 'eval_samples_per_second': 474.218, 'eval_steps_per_second': 29.654}
{'eval_loss': 1.3430439233779907, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6715347849176846, 'eval_runtime': 15.8234, 'eval_samples_per_second': 476.004, 'eval_steps_per_second': 29.766}
{'eval_loss': 1.3531123399734497, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6736590546999469, 'eval_runtime': 15.8259, 'eval_samples_per_second': 475.929, 'eval_steps_per_second': 29.761}
{'eval_loss': 1.3621577024459839, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6725969198088158, 'eval_runtime': 15.814, 'eval_samples_per_second': 476.288, 'eval_steps_per_second': 29.784}
{'eval_loss': 1.3782368898391724, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.675385023898035, 'eval_runtime': 15.9162, 'eval_samples_per_second': 473.23, 'eval_steps_per_second': 29.593}
{'eval_loss': 1.3597066402435303, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6729952203929899, 'eval_runtime': 15.7358, 'eval_samples_per_second': 478.653, 'eval_steps_per_second': 29.932}
{'eval_loss': 1.3536546230316162, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6723313860860329, 'eval_runtime': 15.7549, 'eval_samples_per_second': 478.073, 'eval_steps_per_second': 29.895}
{'eval_loss': 1.3500380516052246, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6741901221455124, 'eval_runtime': 15.8139, 'eval_samples_per_second': 476.29, 'eval_steps_per_second': 29.784}
{'eval_loss': 1.3574600219726562, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.6756505576208178, 'eval_runtime': 15.7703, 'eval_samples_per_second': 477.608, 'eval_steps_per_second': 29.866}
{'eval_loss': 1.381071925163269, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6776420605416887, 'eval_runtime': 15.8686, 'eval_samples_per_second': 474.648, 'eval_steps_per_second': 29.681}
{'eval_loss': 1.3580127954483032, 'eval_model_preparation_time': 0.0067, 'eval_acc': 0.6784386617100372, 'eval_runtime': 15.9733, 'eval_samples_per_second': 471.537, 'eval_steps_per_second': 29.487}
{'eval_loss': 1.3861346244812012, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6747211895910781, 'eval_runtime': 15.8002, 'eval_samples_per_second': 476.702, 'eval_steps_per_second': 29.81}
{'eval_loss': 1.3713141679763794, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6747211895910781, 'eval_runtime': 15.8145, 'eval_samples_per_second': 476.272, 'eval_steps_per_second': 29.783}
{'eval_loss': 1.3942267894744873, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.6791024960169941, 'eval_runtime': 15.7551, 'eval_samples_per_second': 478.066, 'eval_steps_per_second': 29.895}
{'eval_loss': 1.4068084955215454, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6756505576208178, 'eval_runtime': 15.8836, 'eval_samples_per_second': 474.199, 'eval_steps_per_second': 29.653}
{'eval_loss': 1.4113479852676392, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6784386617100372, 'eval_runtime': 15.9744, 'eval_samples_per_second': 471.505, 'eval_steps_per_second': 29.485}
{'eval_loss': 1.4085890054702759, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6776420605416887, 'eval_runtime': 15.9003, 'eval_samples_per_second': 473.703, 'eval_steps_per_second': 29.622}
{'eval_loss': 1.4215083122253418, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6792352628783855, 'eval_runtime': 15.6983, 'eval_samples_per_second': 479.796, 'eval_steps_per_second': 30.003}
{'eval_loss': 1.4484343528747559, 'eval_model_preparation_time': 0.0077, 'eval_acc': 0.678040361125863, 'eval_runtime': 15.8069, 'eval_samples_per_second': 476.502, 'eval_steps_per_second': 29.797}
{'eval_loss': 1.4548076391220093, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6725969198088158, 'eval_runtime': 15.9767, 'eval_samples_per_second': 471.437, 'eval_steps_per_second': 29.48}
