{'eval_loss': 3.5480172634124756, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.11152416356877323, 'eval_runtime': 15.5156, 'eval_samples_per_second': 485.448, 'eval_steps_per_second': 30.357}
{'eval_loss': 3.0722343921661377, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.18520977164099842, 'eval_runtime': 15.8217, 'eval_samples_per_second': 476.056, 'eval_steps_per_second': 29.769}
{'eval_loss': 2.257603406906128, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.34798194370685076, 'eval_runtime': 15.7829, 'eval_samples_per_second': 477.226, 'eval_steps_per_second': 29.842}
{'eval_loss': 1.8757356405258179, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.41675517790759425, 'eval_runtime': 15.6966, 'eval_samples_per_second': 479.85, 'eval_steps_per_second': 30.007}
{'eval_loss': 1.73780357837677, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.49322889006903875, 'eval_runtime': 15.5816, 'eval_samples_per_second': 483.392, 'eval_steps_per_second': 30.228}
{'eval_loss': 1.6436686515808105, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.501327668613914, 'eval_runtime': 15.6411, 'eval_samples_per_second': 481.551, 'eval_steps_per_second': 30.113}
{'eval_loss': 1.6012938022613525, 'eval_model_preparation_time': 0.0063, 'eval_acc': 0.5176579925650557, 'eval_runtime': 15.5636, 'eval_samples_per_second': 483.949, 'eval_steps_per_second': 30.263}
{'eval_loss': 1.536189317703247, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5379713223579394, 'eval_runtime': 15.5717, 'eval_samples_per_second': 483.697, 'eval_steps_per_second': 30.247}
{'eval_loss': 1.4866026639938354, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.563595326606479, 'eval_runtime': 15.5956, 'eval_samples_per_second': 482.957, 'eval_steps_per_second': 30.201}
{'eval_loss': 1.4558351039886475, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.5756771109930962, 'eval_runtime': 15.5424, 'eval_samples_per_second': 484.61, 'eval_steps_per_second': 30.304}
{'eval_loss': 1.4349905252456665, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.5860329261816251, 'eval_runtime': 15.5607, 'eval_samples_per_second': 484.039, 'eval_steps_per_second': 30.268}
{'eval_loss': 1.3949449062347412, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5998406797663304, 'eval_runtime': 15.6654, 'eval_samples_per_second': 480.805, 'eval_steps_per_second': 30.066}
{'eval_loss': 1.359868049621582, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6176314391927775, 'eval_runtime': 15.532, 'eval_samples_per_second': 484.935, 'eval_steps_per_second': 30.325}
{'eval_loss': 1.3508856296539307, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6251991502920871, 'eval_runtime': 15.5512, 'eval_samples_per_second': 484.335, 'eval_steps_per_second': 30.287}
{'eval_loss': 1.3462787866592407, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6307753584705258, 'eval_runtime': 15.5793, 'eval_samples_per_second': 483.462, 'eval_steps_per_second': 30.232}
{'eval_loss': 1.3525022268295288, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6210833775889538, 'eval_runtime': 15.7201, 'eval_samples_per_second': 479.132, 'eval_steps_per_second': 29.962}
{'eval_loss': 1.3233344554901123, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6347583643122676, 'eval_runtime': 15.5298, 'eval_samples_per_second': 485.004, 'eval_steps_per_second': 30.329}
{'eval_loss': 1.3033699989318848, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6413967073818375, 'eval_runtime': 15.4965, 'eval_samples_per_second': 486.046, 'eval_steps_per_second': 30.394}
{'eval_loss': 1.3019782304763794, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6429899097185342, 'eval_runtime': 15.4315, 'eval_samples_per_second': 488.092, 'eval_steps_per_second': 30.522}
{'eval_loss': 1.3291951417922974, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6451141795007966, 'eval_runtime': 15.5399, 'eval_samples_per_second': 484.688, 'eval_steps_per_second': 30.309}
{'eval_loss': 1.3183205127716064, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6423260754115773, 'eval_runtime': 15.6207, 'eval_samples_per_second': 482.181, 'eval_steps_per_second': 30.152}
{'eval_loss': 1.310376763343811, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6396707381837493, 'eval_runtime': 15.55, 'eval_samples_per_second': 484.374, 'eval_steps_per_second': 30.289}
{'eval_loss': 1.3025695085525513, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6483005841741901, 'eval_runtime': 15.4433, 'eval_samples_per_second': 487.721, 'eval_steps_per_second': 30.499}
{'eval_loss': 1.3139513731002808, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6525491237387148, 'eval_runtime': 15.5038, 'eval_samples_per_second': 485.815, 'eval_steps_per_second': 30.38}
{'eval_loss': 1.3202321529388428, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6492299522039299, 'eval_runtime': 15.4426, 'eval_samples_per_second': 487.742, 'eval_steps_per_second': 30.5}
{'eval_loss': 1.2883321046829224, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6520180562931492, 'eval_runtime': 15.572, 'eval_samples_per_second': 483.688, 'eval_steps_per_second': 30.247}
{'eval_loss': 1.2976094484329224, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6617100371747212, 'eval_runtime': 15.5854, 'eval_samples_per_second': 483.272, 'eval_steps_per_second': 30.221}
{'eval_loss': 1.3044296503067017, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6610462028677642, 'eval_runtime': 15.5286, 'eval_samples_per_second': 485.04, 'eval_steps_per_second': 30.331}
{'eval_loss': 1.3020416498184204, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6554699946893255, 'eval_runtime': 15.638, 'eval_samples_per_second': 481.646, 'eval_steps_per_second': 30.119}
{'eval_loss': 1.32558274269104, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6538767923526287, 'eval_runtime': 15.6035, 'eval_samples_per_second': 482.712, 'eval_steps_per_second': 30.185}
{'eval_loss': 1.3235539197921753, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6532129580456718, 'eval_runtime': 15.6829, 'eval_samples_per_second': 480.268, 'eval_steps_per_second': 30.033}
{'eval_loss': 1.3225429058074951, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6571959638874137, 'eval_runtime': 15.5936, 'eval_samples_per_second': 483.018, 'eval_steps_per_second': 30.205}
{'eval_loss': 1.311738133430481, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6674190122145512, 'eval_runtime': 15.5812, 'eval_samples_per_second': 483.403, 'eval_steps_per_second': 30.229}
{'eval_loss': 1.308794379234314, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6706054168879447, 'eval_runtime': 15.5308, 'eval_samples_per_second': 484.973, 'eval_steps_per_second': 30.327}
{'eval_loss': 1.3273561000823975, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6712692511949018, 'eval_runtime': 15.6365, 'eval_samples_per_second': 481.693, 'eval_steps_per_second': 30.122}
{'eval_loss': 1.3152889013290405, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6704726500265533, 'eval_runtime': 15.8138, 'eval_samples_per_second': 476.293, 'eval_steps_per_second': 29.784}
{'eval_loss': 1.314693808555603, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6711364843335104, 'eval_runtime': 15.6043, 'eval_samples_per_second': 482.686, 'eval_steps_per_second': 30.184}
{'eval_loss': 1.3154442310333252, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6756505576208178, 'eval_runtime': 15.4973, 'eval_samples_per_second': 486.021, 'eval_steps_per_second': 30.392}
{'eval_loss': 1.3361674547195435, 'eval_model_preparation_time': 0.0059, 'eval_acc': 0.6737918215613383, 'eval_runtime': 15.5108, 'eval_samples_per_second': 485.597, 'eval_steps_per_second': 30.366}
{'eval_loss': 1.3553022146224976, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6684811471056824, 'eval_runtime': 15.537, 'eval_samples_per_second': 484.778, 'eval_steps_per_second': 30.315}
{'eval_loss': 1.3371453285217285, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6731279872543813, 'eval_runtime': 15.7102, 'eval_samples_per_second': 479.434, 'eval_steps_per_second': 29.981}
{'eval_loss': 1.3537830114364624, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6706054168879447, 'eval_runtime': 15.5477, 'eval_samples_per_second': 484.445, 'eval_steps_per_second': 30.294}
{'eval_loss': 1.3599730730056763, 'eval_model_preparation_time': 0.0068, 'eval_acc': 0.6682156133828996, 'eval_runtime': 15.4794, 'eval_samples_per_second': 486.583, 'eval_steps_per_second': 30.428}
{'eval_loss': 1.3772196769714355, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6719330855018587, 'eval_runtime': 15.4286, 'eval_samples_per_second': 488.185, 'eval_steps_per_second': 30.528}
{'eval_loss': 1.3686349391937256, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6735262878385555, 'eval_runtime': 15.486, 'eval_samples_per_second': 486.376, 'eval_steps_per_second': 30.415}
{'eval_loss': 1.3847718238830566, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6684811471056824, 'eval_runtime': 15.5895, 'eval_samples_per_second': 483.144, 'eval_steps_per_second': 30.213}
{'eval_loss': 1.3691697120666504, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6755177907594264, 'eval_runtime': 15.6, 'eval_samples_per_second': 482.819, 'eval_steps_per_second': 30.192}
{'eval_loss': 1.3833926916122437, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.677376526818906, 'eval_runtime': 15.9446, 'eval_samples_per_second': 472.385, 'eval_steps_per_second': 29.54}
{'eval_loss': 1.385081171989441, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6720658523632501, 'eval_runtime': 16.0262, 'eval_samples_per_second': 469.981, 'eval_steps_per_second': 29.389}
{'eval_loss': 1.4006071090698242, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6704726500265533, 'eval_runtime': 15.8544, 'eval_samples_per_second': 475.074, 'eval_steps_per_second': 29.708}
