{'eval_loss': 3.4785537719726562, 'eval_model_preparation_time': 0.0063, 'eval_acc': 0.0969198088157196, 'eval_runtime': 16.5531, 'eval_samples_per_second': 455.021, 'eval_steps_per_second': 28.454}
{'eval_loss': 2.0454795360565186, 'eval_model_preparation_time': 0.0058, 'eval_acc': 0.41064790228359, 'eval_runtime': 16.8667, 'eval_samples_per_second': 446.56, 'eval_steps_per_second': 27.925}
{'eval_loss': 1.7259448766708374, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.48924588422729687, 'eval_runtime': 17.1423, 'eval_samples_per_second': 439.38, 'eval_steps_per_second': 27.476}
{'eval_loss': 1.6186742782592773, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.5029208709506108, 'eval_runtime': 17.1475, 'eval_samples_per_second': 439.248, 'eval_steps_per_second': 27.468}
{'eval_loss': 1.5831847190856934, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.5212426978226234, 'eval_runtime': 17.1048, 'eval_samples_per_second': 440.344, 'eval_steps_per_second': 27.536}
{'eval_loss': 1.5332865715026855, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5456718003186405, 'eval_runtime': 16.8237, 'eval_samples_per_second': 447.703, 'eval_steps_per_second': 27.996}
{'eval_loss': 1.4962270259857178, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5718268720127456, 'eval_runtime': 16.7723, 'eval_samples_per_second': 449.073, 'eval_steps_per_second': 28.082}
{'eval_loss': 1.4465817213058472, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.5949283058948487, 'eval_runtime': 16.7295, 'eval_samples_per_second': 450.222, 'eval_steps_per_second': 28.154}
{'eval_loss': 1.4637947082519531, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.5896176314391928, 'eval_runtime': 16.6303, 'eval_samples_per_second': 452.907, 'eval_steps_per_second': 28.322}
{'eval_loss': 1.4161885976791382, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6083377588953797, 'eval_runtime': 16.7104, 'eval_samples_per_second': 450.736, 'eval_steps_per_second': 28.186}
{'eval_loss': 1.382204532623291, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.6159054699946893, 'eval_runtime': 16.8547, 'eval_samples_per_second': 446.877, 'eval_steps_per_second': 27.945}
{'eval_loss': 1.381178617477417, 'eval_model_preparation_time': 0.006, 'eval_acc': 0.6192246415294742, 'eval_runtime': 16.5048, 'eval_samples_per_second': 456.353, 'eval_steps_per_second': 28.537}
{'eval_loss': 1.3411173820495605, 'eval_model_preparation_time': 0.0059, 'eval_acc': 0.6360860329261816, 'eval_runtime': 16.5875, 'eval_samples_per_second': 454.076, 'eval_steps_per_second': 28.395}
{'eval_loss': 1.3228965997695923, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6394052044609665, 'eval_runtime': 16.6291, 'eval_samples_per_second': 452.941, 'eval_steps_per_second': 28.324}
{'eval_loss': 1.3085542917251587, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.6461763143919278, 'eval_runtime': 16.8327, 'eval_samples_per_second': 447.462, 'eval_steps_per_second': 27.981}
{'eval_loss': 1.367666244506836, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.638874137015401, 'eval_runtime': 16.7469, 'eval_samples_per_second': 449.754, 'eval_steps_per_second': 28.125}
{'eval_loss': 1.3293795585632324, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6428571428571429, 'eval_runtime': 16.8229, 'eval_samples_per_second': 447.722, 'eval_steps_per_second': 27.998}
{'eval_loss': 1.3039103746414185, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6483005841741901, 'eval_runtime': 16.686, 'eval_samples_per_second': 451.397, 'eval_steps_per_second': 28.227}
{'eval_loss': 1.3142623901367188, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6484333510355815, 'eval_runtime': 16.8652, 'eval_samples_per_second': 446.6, 'eval_steps_per_second': 27.927}
{'eval_loss': 1.333829402923584, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6490971853425385, 'eval_runtime': 16.863, 'eval_samples_per_second': 446.658, 'eval_steps_per_second': 27.931}
{'eval_loss': 1.3281466960906982, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6496282527881041, 'eval_runtime': 16.8004, 'eval_samples_per_second': 448.322, 'eval_steps_per_second': 28.035}
{'eval_loss': 1.3222424983978271, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6480350504514073, 'eval_runtime': 16.5619, 'eval_samples_per_second': 454.779, 'eval_steps_per_second': 28.439}
{'eval_loss': 1.3216772079467773, 'eval_model_preparation_time': 0.0061, 'eval_acc': 0.6514869888475836, 'eval_runtime': 16.4821, 'eval_samples_per_second': 456.981, 'eval_steps_per_second': 28.576}
{'eval_loss': 1.342702865600586, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6563993627190653, 'eval_runtime': 16.7501, 'eval_samples_per_second': 449.668, 'eval_steps_per_second': 28.119}
{'eval_loss': 1.3203119039535522, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.6621083377588953, 'eval_runtime': 16.8323, 'eval_samples_per_second': 447.474, 'eval_steps_per_second': 27.982}
{'eval_loss': 1.3003984689712524, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6630377057886352, 'eval_runtime': 16.7684, 'eval_samples_per_second': 449.179, 'eval_steps_per_second': 28.089}
{'eval_loss': 1.3428760766983032, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6623738714816781, 'eval_runtime': 16.8991, 'eval_samples_per_second': 445.703, 'eval_steps_per_second': 27.871}
{'eval_loss': 1.351549506187439, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6652947424322889, 'eval_runtime': 16.721, 'eval_samples_per_second': 450.453, 'eval_steps_per_second': 28.168}
{'eval_loss': 1.3210229873657227, 'eval_model_preparation_time': 0.0071, 'eval_acc': 0.6660913436006373, 'eval_runtime': 16.9149, 'eval_samples_per_second': 445.287, 'eval_steps_per_second': 27.845}
{'eval_loss': 1.3579132556915283, 'eval_model_preparation_time': 0.0064, 'eval_acc': 0.6623738714816781, 'eval_runtime': 16.8084, 'eval_samples_per_second': 448.111, 'eval_steps_per_second': 28.022}
{'eval_loss': 1.359653353691101, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6660913436006373, 'eval_runtime': 16.7385, 'eval_samples_per_second': 449.982, 'eval_steps_per_second': 28.139}
{'eval_loss': 1.3552966117858887, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6684811471056824, 'eval_runtime': 16.7972, 'eval_samples_per_second': 448.408, 'eval_steps_per_second': 28.04}
{'eval_loss': 1.358093500137329, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6708709506107275, 'eval_runtime': 16.7943, 'eval_samples_per_second': 448.485, 'eval_steps_per_second': 28.045}
{'eval_loss': 1.371925711631775, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.669012214551248, 'eval_runtime': 16.9557, 'eval_samples_per_second': 444.218, 'eval_steps_per_second': 27.778}
