{'eval_loss': 2.0311570167541504, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.40573552841210836, 'eval_runtime': 16.2216, 'eval_samples_per_second': 464.318, 'eval_steps_per_second': 29.035}
{'eval_loss': 1.8513556718826294, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.43653744025491237, 'eval_runtime': 15.7546, 'eval_samples_per_second': 478.082, 'eval_steps_per_second': 29.896}
{'eval_loss': 1.7161487340927124, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.4877854487519915, 'eval_runtime': 16.4556, 'eval_samples_per_second': 457.717, 'eval_steps_per_second': 28.623}
{'eval_loss': 1.5924859046936035, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.5319968135953266, 'eval_runtime': 16.4272, 'eval_samples_per_second': 458.507, 'eval_steps_per_second': 28.672}
{'eval_loss': 1.5449514389038086, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.5363781200212427, 'eval_runtime': 16.3884, 'eval_samples_per_second': 459.592, 'eval_steps_per_second': 28.74}
{'eval_loss': 1.4803812503814697, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5561603823685608, 'eval_runtime': 16.3799, 'eval_samples_per_second': 459.832, 'eval_steps_per_second': 28.755}
{'eval_loss': 1.448459267616272, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.578996282527881, 'eval_runtime': 16.2229, 'eval_samples_per_second': 464.281, 'eval_steps_per_second': 29.033}
{'eval_loss': 1.406959056854248, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6002389803505045, 'eval_runtime': 16.2507, 'eval_samples_per_second': 463.488, 'eval_steps_per_second': 28.983}
{'eval_loss': 1.4195805788040161, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.6013011152416357, 'eval_runtime': 16.1343, 'eval_samples_per_second': 466.831, 'eval_steps_per_second': 29.192}
{'eval_loss': 1.3796935081481934, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.6153744025491238, 'eval_runtime': 16.2371, 'eval_samples_per_second': 463.875, 'eval_steps_per_second': 29.008}
{'eval_loss': 1.3413176536560059, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6293149229952204, 'eval_runtime': 16.4761, 'eval_samples_per_second': 457.148, 'eval_steps_per_second': 28.587}
{'eval_loss': 1.3472665548324585, 'eval_model_preparation_time': 0.0057, 'eval_acc': 0.6285183218268721, 'eval_runtime': 16.2017, 'eval_samples_per_second': 464.889, 'eval_steps_per_second': 29.071}
{'eval_loss': 1.3115417957305908, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.6417950079660116, 'eval_runtime': 16.178, 'eval_samples_per_second': 465.57, 'eval_steps_per_second': 29.114}
{'eval_loss': 1.3101962804794312, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6476367498672332, 'eval_runtime': 16.1993, 'eval_samples_per_second': 464.96, 'eval_steps_per_second': 29.075}
{'eval_loss': 1.3029578924179077, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6483005841741901, 'eval_runtime': 16.6616, 'eval_samples_per_second': 452.057, 'eval_steps_per_second': 28.269}
{'eval_loss': 1.3404144048690796, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.6427243759957515, 'eval_runtime': 16.2305, 'eval_samples_per_second': 464.063, 'eval_steps_per_second': 29.019}
{'eval_loss': 1.3112965822219849, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6514869888475836, 'eval_runtime': 16.3744, 'eval_samples_per_second': 459.987, 'eval_steps_per_second': 28.764}
{'eval_loss': 1.2868425846099854, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6577270313329793, 'eval_runtime': 16.1836, 'eval_samples_per_second': 465.41, 'eval_steps_per_second': 29.104}
{'eval_loss': 1.2893004417419434, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6581253319171535, 'eval_runtime': 16.2359, 'eval_samples_per_second': 463.911, 'eval_steps_per_second': 29.01}
{'eval_loss': 1.3135950565338135, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.6570631970260223, 'eval_runtime': 16.3961, 'eval_samples_per_second': 459.378, 'eval_steps_per_second': 28.726}
{'eval_loss': 1.3198127746582031, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6553372278279341, 'eval_runtime': 16.2517, 'eval_samples_per_second': 463.46, 'eval_steps_per_second': 28.982}
{'eval_loss': 1.3076939582824707, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6571959638874137, 'eval_runtime': 16.1144, 'eval_samples_per_second': 467.407, 'eval_steps_per_second': 29.228}
{'eval_loss': 1.3122584819793701, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6617100371747212, 'eval_runtime': 16.1103, 'eval_samples_per_second': 467.527, 'eval_steps_per_second': 29.236}
{'eval_loss': 1.3409316539764404, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6593202336696761, 'eval_runtime': 16.0703, 'eval_samples_per_second': 468.69, 'eval_steps_per_second': 29.309}
{'eval_loss': 1.3110042810440063, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6625066383430696, 'eval_runtime': 16.285, 'eval_samples_per_second': 462.512, 'eval_steps_per_second': 28.922}
{'eval_loss': 1.2948334217071533, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.6668879447689856, 'eval_runtime': 16.2817, 'eval_samples_per_second': 462.604, 'eval_steps_per_second': 28.928}
{'eval_loss': 1.331379771232605, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6680828465215082, 'eval_runtime': 16.2115, 'eval_samples_per_second': 464.609, 'eval_steps_per_second': 29.054}
{'eval_loss': 1.3381245136260986, 'eval_model_preparation_time': 0.0062, 'eval_acc': 0.6707381837493361, 'eval_runtime': 16.0733, 'eval_samples_per_second': 468.604, 'eval_steps_per_second': 29.303}
{'eval_loss': 1.3162171840667725, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.669012214551248, 'eval_runtime': 16.2476, 'eval_samples_per_second': 463.577, 'eval_steps_per_second': 28.989}
{'eval_loss': 1.3401215076446533, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6674190122145512, 'eval_runtime': 16.3809, 'eval_samples_per_second': 459.803, 'eval_steps_per_second': 28.753}
{'eval_loss': 1.3613390922546387, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.661975570897504, 'eval_runtime': 16.2052, 'eval_samples_per_second': 464.789, 'eval_steps_per_second': 29.065}
{'eval_loss': 1.3413068056106567, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.668348380244291, 'eval_runtime': 16.1574, 'eval_samples_per_second': 466.164, 'eval_steps_per_second': 29.151}
{'eval_loss': 1.3544974327087402, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6723313860860329, 'eval_runtime': 16.1518, 'eval_samples_per_second': 466.325, 'eval_steps_per_second': 29.161}
{'eval_loss': 1.35710608959198, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.6694105151354222, 'eval_runtime': 16.1844, 'eval_samples_per_second': 465.386, 'eval_steps_per_second': 29.102}
{'eval_loss': 1.3826215267181396, 'eval_model_preparation_time': 0.0048, 'eval_acc': 0.6737918215613383, 'eval_runtime': 16.2184, 'eval_samples_per_second': 464.409, 'eval_steps_per_second': 29.041}
{'eval_loss': 1.3612931966781616, 'eval_model_preparation_time': 0.0046, 'eval_acc': 0.6761816250663835, 'eval_runtime': 16.0265, 'eval_samples_per_second': 469.972, 'eval_steps_per_second': 29.389}
{'eval_loss': 1.349652886390686, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6719330855018587, 'eval_runtime': 16.3944, 'eval_samples_per_second': 459.424, 'eval_steps_per_second': 28.729}
{'eval_loss': 1.3438434600830078, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6739245884227297, 'eval_runtime': 16.2636, 'eval_samples_per_second': 463.119, 'eval_steps_per_second': 28.96}
{'eval_loss': 1.374704122543335, 'eval_model_preparation_time': 0.0049, 'eval_acc': 0.6744556558682953, 'eval_runtime': 16.288, 'eval_samples_per_second': 462.426, 'eval_steps_per_second': 28.917}
{'eval_loss': 1.3849931955337524, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6704726500265533, 'eval_runtime': 16.3281, 'eval_samples_per_second': 461.291, 'eval_steps_per_second': 28.846}
{'eval_loss': 1.3697209358215332, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.675385023898035, 'eval_runtime': 16.1973, 'eval_samples_per_second': 465.014, 'eval_steps_per_second': 29.079}
{'eval_loss': 1.3741536140441895, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.6761816250663835, 'eval_runtime': 16.1545, 'eval_samples_per_second': 466.249, 'eval_steps_per_second': 29.156}
{'eval_loss': 1.3747354745864868, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.6706054168879447, 'eval_runtime': 16.0473, 'eval_samples_per_second': 469.361, 'eval_steps_per_second': 29.351}
{'eval_loss': 1.3978447914123535, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6763143919277749, 'eval_runtime': 16.3131, 'eval_samples_per_second': 461.716, 'eval_steps_per_second': 28.873}
{'eval_loss': 1.4015333652496338, 'eval_model_preparation_time': 0.0043, 'eval_acc': 0.677376526818906, 'eval_runtime': 16.3048, 'eval_samples_per_second': 461.951, 'eval_steps_per_second': 28.887}
{'eval_loss': 1.415220022201538, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.6751194901752523, 'eval_runtime': 16.3135, 'eval_samples_per_second': 461.704, 'eval_steps_per_second': 28.872}
{'eval_loss': 1.4095674753189087, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6757833244822092, 'eval_runtime': 16.0465, 'eval_samples_per_second': 469.385, 'eval_steps_per_second': 29.352}
{'eval_loss': 1.4086055755615234, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6784386617100372, 'eval_runtime': 16.1866, 'eval_samples_per_second': 465.323, 'eval_steps_per_second': 29.098}
{'eval_loss': 1.4166797399520874, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.6757833244822092, 'eval_runtime': 16.4194, 'eval_samples_per_second': 458.725, 'eval_steps_per_second': 28.686}
