{'eval_loss': 3.527252435684204, 'eval_model_preparation_time': 0.1694, 'eval_acc': 0.10196494954859267, 'eval_runtime': 68.149, 'eval_samples_per_second': 110.522, 'eval_steps_per_second': 6.911}
{'eval_loss': 3.304277181625366, 'eval_model_preparation_time': 0.0288, 'eval_acc': 0.17631439192777482, 'eval_runtime': 44.551, 'eval_samples_per_second': 169.065, 'eval_steps_per_second': 10.572}
{'eval_loss': 2.8279788494110107, 'eval_model_preparation_time': 0.0501, 'eval_acc': 0.20273499734466277, 'eval_runtime': 45.1985, 'eval_samples_per_second': 166.643, 'eval_steps_per_second': 10.421}
{'eval_loss': 2.4925012588500977, 'eval_model_preparation_time': 0.0709, 'eval_acc': 0.27562400424853956, 'eval_runtime': 67.2235, 'eval_samples_per_second': 112.044, 'eval_steps_per_second': 7.006}
{'eval_loss': 2.262019634246826, 'eval_model_preparation_time': 0.0631, 'eval_acc': 0.3357673924588423, 'eval_runtime': 46.8794, 'eval_samples_per_second': 160.668, 'eval_steps_per_second': 10.047}
{'eval_loss': 2.129781723022461, 'eval_model_preparation_time': 0.0751, 'eval_acc': 0.3574083908656399, 'eval_runtime': 70.6658, 'eval_samples_per_second': 106.586, 'eval_steps_per_second': 6.665}
{'eval_loss': 2.08412766456604, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.35209771640998405, 'eval_runtime': 63.4472, 'eval_samples_per_second': 118.713, 'eval_steps_per_second': 7.424}
{'eval_loss': 2.0618083477020264, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.35993096123207646, 'eval_runtime': 35.7911, 'eval_samples_per_second': 210.443, 'eval_steps_per_second': 13.16}
{'eval_loss': 2.0535106658935547, 'eval_model_preparation_time': 0.0268, 'eval_acc': 0.3550185873605948, 'eval_runtime': 60.0455, 'eval_samples_per_second': 125.438, 'eval_steps_per_second': 7.844}
{'eval_loss': 2.047722101211548, 'eval_model_preparation_time': 0.0238, 'eval_acc': 0.36417950079660116, 'eval_runtime': 42.4471, 'eval_samples_per_second': 177.445, 'eval_steps_per_second': 11.096}
{'eval_loss': 2.0266926288604736, 'eval_model_preparation_time': 0.0313, 'eval_acc': 0.36550716941051514, 'eval_runtime': 37.3325, 'eval_samples_per_second': 201.754, 'eval_steps_per_second': 12.616}
{'eval_loss': 2.0039572715759277, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.3757302177376527, 'eval_runtime': 40.5695, 'eval_samples_per_second': 185.657, 'eval_steps_per_second': 11.61}
{'eval_loss': 2.0054931640625, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.3722782793414764, 'eval_runtime': 54.6754, 'eval_samples_per_second': 137.759, 'eval_steps_per_second': 8.614}
{'eval_loss': 1.9940587282180786, 'eval_model_preparation_time': 0.0241, 'eval_acc': 0.3806425916091344, 'eval_runtime': 37.8078, 'eval_samples_per_second': 199.218, 'eval_steps_per_second': 12.458}
{'eval_loss': 1.9715884923934937, 'eval_model_preparation_time': 0.0228, 'eval_acc': 0.3797132235793946, 'eval_runtime': 43.3286, 'eval_samples_per_second': 173.834, 'eval_steps_per_second': 10.87}
{'eval_loss': 1.9776942729949951, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.3787838555496548, 'eval_runtime': 40.6964, 'eval_samples_per_second': 185.078, 'eval_steps_per_second': 11.573}
{'eval_loss': 1.9730421304702759, 'eval_model_preparation_time': 0.0155, 'eval_acc': 0.3876792352628784, 'eval_runtime': 38.9072, 'eval_samples_per_second': 193.589, 'eval_steps_per_second': 12.106}
{'eval_loss': 1.9674317836761475, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.39272437599575144, 'eval_runtime': 34.8575, 'eval_samples_per_second': 216.08, 'eval_steps_per_second': 13.512}
{'eval_loss': 1.9588252305984497, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.40268189060010623, 'eval_runtime': 39.3748, 'eval_samples_per_second': 191.29, 'eval_steps_per_second': 11.962}
{'eval_loss': 1.9396997690200806, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.4187466808284652, 'eval_runtime': 46.9371, 'eval_samples_per_second': 160.47, 'eval_steps_per_second': 10.035}
{'eval_loss': 1.9673259258270264, 'eval_model_preparation_time': 0.0138, 'eval_acc': 0.4001593202336697, 'eval_runtime': 41.6592, 'eval_samples_per_second': 180.8, 'eval_steps_per_second': 11.306}
{'eval_loss': 1.9694035053253174, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.40493892724375996, 'eval_runtime': 43.8219, 'eval_samples_per_second': 171.877, 'eval_steps_per_second': 10.748}
{'eval_loss': 1.9453903436660767, 'eval_model_preparation_time': 0.0152, 'eval_acc': 0.40493892724375996, 'eval_runtime': 42.7127, 'eval_samples_per_second': 176.341, 'eval_steps_per_second': 11.027}
{'eval_loss': 1.9741517305374146, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.38860860329261815, 'eval_runtime': 45.6205, 'eval_samples_per_second': 165.101, 'eval_steps_per_second': 10.324}
{'eval_loss': 1.954533338546753, 'eval_model_preparation_time': 0.015, 'eval_acc': 0.38887413701540097, 'eval_runtime': 47.3838, 'eval_samples_per_second': 158.957, 'eval_steps_per_second': 9.94}
{'eval_loss': 1.9548393487930298, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.394583112055231, 'eval_runtime': 45.497, 'eval_samples_per_second': 165.549, 'eval_steps_per_second': 10.352}
{'eval_loss': 1.9267758131027222, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.4025491237387148, 'eval_runtime': 47.3993, 'eval_samples_per_second': 158.905, 'eval_steps_per_second': 9.937}
{'eval_loss': 1.924442172050476, 'eval_model_preparation_time': 0.0086, 'eval_acc': 0.3949814126394052, 'eval_runtime': 46.1144, 'eval_samples_per_second': 163.333, 'eval_steps_per_second': 10.214}
{'eval_loss': 1.9381506443023682, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.40560276155071695, 'eval_runtime': 30.0191, 'eval_samples_per_second': 250.907, 'eval_steps_per_second': 15.69}
{'eval_loss': 1.9487195014953613, 'eval_model_preparation_time': 0.0086, 'eval_acc': 0.39338821030270843, 'eval_runtime': 29.728, 'eval_samples_per_second': 253.364, 'eval_steps_per_second': 15.844}
