{'eval_loss': 2.233747959136963, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.35701009028146574, 'eval_runtime': 36.2015, 'eval_samples_per_second': 208.058, 'eval_steps_per_second': 13.011}
{'eval_loss': 2.0772716999053955, 'eval_model_preparation_time': 0.0136, 'eval_acc': 0.36125862984599044, 'eval_runtime': 34.0499, 'eval_samples_per_second': 221.205, 'eval_steps_per_second': 13.833}
{'eval_loss': 2.0438289642333984, 'eval_model_preparation_time': 0.0161, 'eval_acc': 0.3748008497079129, 'eval_runtime': 40.1648, 'eval_samples_per_second': 187.527, 'eval_steps_per_second': 11.727}
{'eval_loss': 1.9875209331512451, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.38993627190653213, 'eval_runtime': 37.9051, 'eval_samples_per_second': 198.707, 'eval_steps_per_second': 12.426}
{'eval_loss': 1.9605515003204346, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.40533722782793413, 'eval_runtime': 37.146, 'eval_samples_per_second': 202.768, 'eval_steps_per_second': 12.68}
{'eval_loss': 1.944985032081604, 'eval_model_preparation_time': 0.0141, 'eval_acc': 0.4184811471056824, 'eval_runtime': 32.6956, 'eval_samples_per_second': 230.367, 'eval_steps_per_second': 14.406}
{'eval_loss': 1.951322317123413, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.3919277748274031, 'eval_runtime': 37.7795, 'eval_samples_per_second': 199.367, 'eval_steps_per_second': 12.467}
{'eval_loss': 1.9036058187484741, 'eval_model_preparation_time': 0.0187, 'eval_acc': 0.42870419543281996, 'eval_runtime': 38.3642, 'eval_samples_per_second': 196.329, 'eval_steps_per_second': 12.277}
{'eval_loss': 1.9165555238723755, 'eval_model_preparation_time': 0.0611, 'eval_acc': 0.3980350504514073, 'eval_runtime': 34.252, 'eval_samples_per_second': 219.899, 'eval_steps_per_second': 13.751}
{'eval_loss': 1.894232988357544, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.4605682421667552, 'eval_runtime': 39.1412, 'eval_samples_per_second': 192.432, 'eval_steps_per_second': 12.033}
{'eval_loss': 1.9008808135986328, 'eval_model_preparation_time': 0.0194, 'eval_acc': 0.4204726500265534, 'eval_runtime': 39.2912, 'eval_samples_per_second': 191.697, 'eval_steps_per_second': 11.987}
{'eval_loss': 1.858432650566101, 'eval_model_preparation_time': 0.0466, 'eval_acc': 0.4808815719596389, 'eval_runtime': 40.4128, 'eval_samples_per_second': 186.377, 'eval_steps_per_second': 11.655}
{'eval_loss': 1.8726717233657837, 'eval_model_preparation_time': 0.0325, 'eval_acc': 0.4508762612851832, 'eval_runtime': 48.7896, 'eval_samples_per_second': 154.377, 'eval_steps_per_second': 9.654}
{'eval_loss': 1.8510075807571411, 'eval_model_preparation_time': 0.0161, 'eval_acc': 0.4431757833244822, 'eval_runtime': 39.0879, 'eval_samples_per_second': 192.694, 'eval_steps_per_second': 12.05}
{'eval_loss': 1.8413032293319702, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.4628252788104089, 'eval_runtime': 54.1216, 'eval_samples_per_second': 139.168, 'eval_steps_per_second': 8.703}
{'eval_loss': 1.8456110954284668, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.46601168348380245, 'eval_runtime': 47.9101, 'eval_samples_per_second': 157.211, 'eval_steps_per_second': 9.831}
{'eval_loss': 1.8439019918441772, 'eval_model_preparation_time': 0.0581, 'eval_acc': 0.4637546468401487, 'eval_runtime': 51.0084, 'eval_samples_per_second': 147.662, 'eval_steps_per_second': 9.234}
{'eval_loss': 1.8115642070770264, 'eval_model_preparation_time': 0.0315, 'eval_acc': 0.4763674986723314, 'eval_runtime': 44.9884, 'eval_samples_per_second': 167.421, 'eval_steps_per_second': 10.469}
{'eval_loss': 1.8554162979125977, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.46879978757302176, 'eval_runtime': 40.3389, 'eval_samples_per_second': 186.718, 'eval_steps_per_second': 11.676}
{'eval_loss': 1.7970287799835205, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.5069038767923526, 'eval_runtime': 39.6994, 'eval_samples_per_second': 189.726, 'eval_steps_per_second': 11.864}
{'eval_loss': 1.8340966701507568, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.45353159851301117, 'eval_runtime': 35.6377, 'eval_samples_per_second': 211.349, 'eval_steps_per_second': 13.216}
{'eval_loss': 1.802774429321289, 'eval_model_preparation_time': 0.0201, 'eval_acc': 0.48274030801911844, 'eval_runtime': 35.4136, 'eval_samples_per_second': 212.687, 'eval_steps_per_second': 13.3}
{'eval_loss': 1.8186460733413696, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.48154540626659587, 'eval_runtime': 34.4486, 'eval_samples_per_second': 218.644, 'eval_steps_per_second': 13.673}
{'eval_loss': 1.8119479417800903, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.4843335103558152, 'eval_runtime': 38.5592, 'eval_samples_per_second': 195.336, 'eval_steps_per_second': 12.215}
{'eval_loss': 1.7783392667770386, 'eval_model_preparation_time': 0.0086, 'eval_acc': 0.515400955921402, 'eval_runtime': 45.3957, 'eval_samples_per_second': 165.919, 'eval_steps_per_second': 10.375}
{'eval_loss': 1.8063058853149414, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.48194370685077004, 'eval_runtime': 42.6378, 'eval_samples_per_second': 176.651, 'eval_steps_per_second': 11.047}
{'eval_loss': 1.7802190780639648, 'eval_model_preparation_time': 0.0085, 'eval_acc': 0.5126128518321826, 'eval_runtime': 44.9916, 'eval_samples_per_second': 167.409, 'eval_steps_per_second': 10.469}
{'eval_loss': 1.7695095539093018, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.5049123738714817, 'eval_runtime': 42.5316, 'eval_samples_per_second': 177.092, 'eval_steps_per_second': 11.074}
{'eval_loss': 1.8051730394363403, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.48645778013807756, 'eval_runtime': 36.3068, 'eval_samples_per_second': 207.454, 'eval_steps_per_second': 12.973}
{'eval_loss': 1.7996166944503784, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.4917684545937334, 'eval_runtime': 43.206, 'eval_samples_per_second': 174.328, 'eval_steps_per_second': 10.901}
