{'eval_loss': 3.7126924991607666, 'eval_model_preparation_time': 0.0464, 'eval_acc': 0.05708975039830058, 'eval_runtime': 45.3029, 'eval_samples_per_second': 166.259, 'eval_steps_per_second': 10.397}
{'eval_loss': 3.6415064334869385, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.0525756771109931, 'eval_runtime': 28.5728, 'eval_samples_per_second': 263.607, 'eval_steps_per_second': 16.484}
{'eval_loss': 3.589527130126953, 'eval_model_preparation_time': 0.015, 'eval_acc': 0.0525756771109931, 'eval_runtime': 29.3205, 'eval_samples_per_second': 256.885, 'eval_steps_per_second': 16.064}
{'eval_loss': 3.543921947479248, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.0525756771109931, 'eval_runtime': 30.0887, 'eval_samples_per_second': 250.327, 'eval_steps_per_second': 15.654}
{'eval_loss': 3.4977381229400635, 'eval_model_preparation_time': 0.0352, 'eval_acc': 0.0525756771109931, 'eval_runtime': 31.5682, 'eval_samples_per_second': 238.595, 'eval_steps_per_second': 14.92}
{'eval_loss': 3.4447684288024902, 'eval_model_preparation_time': 0.0135, 'eval_acc': 0.05855018587360595, 'eval_runtime': 31.1628, 'eval_samples_per_second': 241.698, 'eval_steps_per_second': 15.114}
{'eval_loss': 3.3236095905303955, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.15002655337227827, 'eval_runtime': 30.177, 'eval_samples_per_second': 249.594, 'eval_steps_per_second': 15.608}
{'eval_loss': 3.033456325531006, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.13847583643122677, 'eval_runtime': 30.7405, 'eval_samples_per_second': 245.019, 'eval_steps_per_second': 15.322}
{'eval_loss': 2.9325621128082275, 'eval_model_preparation_time': 0.0144, 'eval_acc': 0.15586829527349974, 'eval_runtime': 30.1447, 'eval_samples_per_second': 249.861, 'eval_steps_per_second': 15.625}
{'eval_loss': 2.891545534133911, 'eval_model_preparation_time': 0.0168, 'eval_acc': 0.15480616038236855, 'eval_runtime': 29.9664, 'eval_samples_per_second': 251.348, 'eval_steps_per_second': 15.718}
{'eval_loss': 2.846102476119995, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.185077004779607, 'eval_runtime': 29.7596, 'eval_samples_per_second': 253.095, 'eval_steps_per_second': 15.827}
{'eval_loss': 2.805617332458496, 'eval_model_preparation_time': 0.0249, 'eval_acc': 0.22357939458311205, 'eval_runtime': 29.8077, 'eval_samples_per_second': 252.687, 'eval_steps_per_second': 15.801}
{'eval_loss': 2.7809460163116455, 'eval_model_preparation_time': 0.0359, 'eval_acc': 0.2421667551779076, 'eval_runtime': 30.7131, 'eval_samples_per_second': 245.237, 'eval_steps_per_second': 15.335}
{'eval_loss': 2.7646472454071045, 'eval_model_preparation_time': 0.0282, 'eval_acc': 0.22809346787041954, 'eval_runtime': 29.3791, 'eval_samples_per_second': 256.373, 'eval_steps_per_second': 16.032}
{'eval_loss': 2.749225616455078, 'eval_model_preparation_time': 0.0356, 'eval_acc': 0.21893255443441317, 'eval_runtime': 30.3498, 'eval_samples_per_second': 248.173, 'eval_steps_per_second': 15.519}
{'eval_loss': 2.7399604320526123, 'eval_model_preparation_time': 0.0302, 'eval_acc': 0.22211895910780668, 'eval_runtime': 30.5811, 'eval_samples_per_second': 246.296, 'eval_steps_per_second': 15.402}
{'eval_loss': 2.7210323810577393, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.22875730217737653, 'eval_runtime': 30.0789, 'eval_samples_per_second': 250.408, 'eval_steps_per_second': 15.659}
{'eval_loss': 2.7135467529296875, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.2302177376526819, 'eval_runtime': 31.7148, 'eval_samples_per_second': 237.492, 'eval_steps_per_second': 14.851}
{'eval_loss': 2.701667308807373, 'eval_model_preparation_time': 0.0185, 'eval_acc': 0.2505310674455656, 'eval_runtime': 29.8722, 'eval_samples_per_second': 252.14, 'eval_steps_per_second': 15.767}
{'eval_loss': 2.6940195560455322, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.2578332448220924, 'eval_runtime': 34.2353, 'eval_samples_per_second': 220.007, 'eval_steps_per_second': 13.758}
{'eval_loss': 2.681446075439453, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.2618162506638343, 'eval_runtime': 33.3295, 'eval_samples_per_second': 225.986, 'eval_steps_per_second': 14.132}
{'eval_loss': 2.675165891647339, 'eval_model_preparation_time': 0.1201, 'eval_acc': 0.2606213489113117, 'eval_runtime': 29.6987, 'eval_samples_per_second': 253.614, 'eval_steps_per_second': 15.859}
{'eval_loss': 2.6703641414642334, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.26380775358470526, 'eval_runtime': 35.1581, 'eval_samples_per_second': 214.232, 'eval_steps_per_second': 13.397}
{'eval_loss': 2.6713335514068604, 'eval_model_preparation_time': 0.0587, 'eval_acc': 0.257036643653744, 'eval_runtime': 31.2173, 'eval_samples_per_second': 241.277, 'eval_steps_per_second': 15.088}
{'eval_loss': 2.6654694080352783, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.2458842272968667, 'eval_runtime': 34.171, 'eval_samples_per_second': 220.421, 'eval_steps_per_second': 13.784}
{'eval_loss': 2.6554884910583496, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.24734466277217207, 'eval_runtime': 30.8924, 'eval_samples_per_second': 243.814, 'eval_steps_per_second': 15.246}
{'eval_loss': 2.6523537635803223, 'eval_model_preparation_time': 0.039, 'eval_acc': 0.2569038767923526, 'eval_runtime': 35.1489, 'eval_samples_per_second': 214.289, 'eval_steps_per_second': 13.4}
{'eval_loss': 2.6520917415618896, 'eval_model_preparation_time': 0.047, 'eval_acc': 0.25942644715878915, 'eval_runtime': 32.1182, 'eval_samples_per_second': 234.509, 'eval_steps_per_second': 14.665}
{'eval_loss': 2.653428077697754, 'eval_model_preparation_time': 0.0277, 'eval_acc': 0.25039830058417417, 'eval_runtime': 28.4591, 'eval_samples_per_second': 264.661, 'eval_steps_per_second': 16.55}
{'eval_loss': 2.6409308910369873, 'eval_model_preparation_time': 0.0223, 'eval_acc': 0.2616834838024429, 'eval_runtime': 30.3391, 'eval_samples_per_second': 248.261, 'eval_steps_per_second': 15.525}
