{'eval_loss': 2.362325668334961, 'eval_model_preparation_time': 0.0189, 'eval_acc': 0.3210302708443972, 'eval_runtime': 64.064, 'eval_samples_per_second': 117.57, 'eval_steps_per_second': 7.352}
{'eval_loss': 2.1295032501220703, 'eval_model_preparation_time': 0.0303, 'eval_acc': 0.36471056824216674, 'eval_runtime': 74.8852, 'eval_samples_per_second': 100.581, 'eval_steps_per_second': 6.29}
{'eval_loss': 2.0673553943634033, 'eval_model_preparation_time': 0.0749, 'eval_acc': 0.3678969729155603, 'eval_runtime': 51.8556, 'eval_samples_per_second': 145.25, 'eval_steps_per_second': 9.083}
{'eval_loss': 2.030616044998169, 'eval_model_preparation_time': 0.1149, 'eval_acc': 0.3819702602230483, 'eval_runtime': 69.7994, 'eval_samples_per_second': 107.909, 'eval_steps_per_second': 6.748}
{'eval_loss': 1.986255168914795, 'eval_model_preparation_time': 0.0391, 'eval_acc': 0.3993627190653213, 'eval_runtime': 53.2582, 'eval_samples_per_second': 141.424, 'eval_steps_per_second': 8.844}
{'eval_loss': 1.9696900844573975, 'eval_model_preparation_time': 0.1239, 'eval_acc': 0.40055762081784385, 'eval_runtime': 56.4135, 'eval_samples_per_second': 133.514, 'eval_steps_per_second': 8.349}
{'eval_loss': 1.9619910717010498, 'eval_model_preparation_time': 0.084, 'eval_acc': 0.40122145512480084, 'eval_runtime': 49.474, 'eval_samples_per_second': 152.242, 'eval_steps_per_second': 9.52}
{'eval_loss': 1.94591224193573, 'eval_model_preparation_time': 0.042, 'eval_acc': 0.4025491237387148, 'eval_runtime': 50.9633, 'eval_samples_per_second': 147.793, 'eval_steps_per_second': 9.242}
{'eval_loss': 1.9291157722473145, 'eval_model_preparation_time': 0.0167, 'eval_acc': 0.4073287307488051, 'eval_runtime': 50.3684, 'eval_samples_per_second': 149.538, 'eval_steps_per_second': 9.351}
{'eval_loss': 1.9247292280197144, 'eval_model_preparation_time': 0.0273, 'eval_acc': 0.4332182687201275, 'eval_runtime': 37.4782, 'eval_samples_per_second': 200.97, 'eval_steps_per_second': 12.567}
{'eval_loss': 1.9094889163970947, 'eval_model_preparation_time': 0.0531, 'eval_acc': 0.4269782262347318, 'eval_runtime': 33.6368, 'eval_samples_per_second': 223.921, 'eval_steps_per_second': 14.003}
