{'eval_loss': 5.017266750335693, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.12519915029208709, 'eval_runtime': 611.4915, 'eval_samples_per_second': 12.317, 'eval_steps_per_second': 0.77}
{'eval_loss': 4.84443998336792, 'eval_model_preparation_time': 0.0163, 'eval_acc': 0.1370154009559214, 'eval_runtime': 609.9945, 'eval_samples_per_second': 12.348, 'eval_steps_per_second': 0.772}
{'eval_loss': 4.453680038452148, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.16038236856080723, 'eval_runtime': 612.3557, 'eval_samples_per_second': 12.3, 'eval_steps_per_second': 0.769}
{'eval_loss': 3.8828859329223633, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.2019383961763144, 'eval_runtime': 613.4694, 'eval_samples_per_second': 12.278, 'eval_steps_per_second': 0.768}
{'eval_loss': 3.4581172466278076, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.2340679766330324, 'eval_runtime': 614.9231, 'eval_samples_per_second': 12.249, 'eval_steps_per_second': 0.766}
{'eval_loss': 3.0441229343414307, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.2708443972384493, 'eval_runtime': 614.6144, 'eval_samples_per_second': 12.255, 'eval_steps_per_second': 0.766}
{'eval_loss': 2.586585521697998, 'eval_model_preparation_time': 0.0135, 'eval_acc': 0.32753584705257566, 'eval_runtime': 613.9816, 'eval_samples_per_second': 12.267, 'eval_steps_per_second': 0.767}
{'eval_loss': 2.217738151550293, 'eval_model_preparation_time': 0.0142, 'eval_acc': 0.39710568242166755, 'eval_runtime': 614.4953, 'eval_samples_per_second': 12.257, 'eval_steps_per_second': 0.766}
{'eval_loss': 1.9913157224655151, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.44994689325544346, 'eval_runtime': 614.2553, 'eval_samples_per_second': 12.262, 'eval_steps_per_second': 0.767}
{'eval_loss': 1.8344700336456299, 'eval_model_preparation_time': 0.0163, 'eval_acc': 0.4960169941582581, 'eval_runtime': 614.5353, 'eval_samples_per_second': 12.256, 'eval_steps_per_second': 0.766}
{'eval_loss': 1.671592354774475, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.5444768985661179, 'eval_runtime': 615.2888, 'eval_samples_per_second': 12.241, 'eval_steps_per_second': 0.765}
{'eval_loss': 1.7543636560440063, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.5238980350504514, 'eval_runtime': 615.6154, 'eval_samples_per_second': 12.235, 'eval_steps_per_second': 0.765}
{'eval_loss': 1.5440640449523926, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.5849707912904939, 'eval_runtime': 616.0682, 'eval_samples_per_second': 12.226, 'eval_steps_per_second': 0.765}
{'eval_loss': 1.5947599411010742, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.571959638874137, 'eval_runtime': 614.3229, 'eval_samples_per_second': 12.261, 'eval_steps_per_second': 0.767}
{'eval_loss': 1.502973198890686, 'eval_model_preparation_time': 0.0174, 'eval_acc': 0.605416887944769, 'eval_runtime': 614.2638, 'eval_samples_per_second': 12.262, 'eval_steps_per_second': 0.767}
{'eval_loss': 1.5667682886123657, 'eval_model_preparation_time': 0.0334, 'eval_acc': 0.5772703133297928, 'eval_runtime': 614.6555, 'eval_samples_per_second': 12.254, 'eval_steps_per_second': 0.766}
{'eval_loss': 1.4430776834487915, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.6192246415294742, 'eval_runtime': 613.2484, 'eval_samples_per_second': 12.282, 'eval_steps_per_second': 0.768}
{'eval_loss': 1.434168815612793, 'eval_model_preparation_time': 0.0138, 'eval_acc': 0.6188263409453001, 'eval_runtime': 612.9294, 'eval_samples_per_second': 12.289, 'eval_steps_per_second': 0.768}
{'eval_loss': 1.4428695440292358, 'eval_model_preparation_time': 0.0111, 'eval_acc': 0.6167020711630377, 'eval_runtime': 611.9139, 'eval_samples_per_second': 12.309, 'eval_steps_per_second': 0.77}
{'eval_loss': 1.4528834819793701, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.6129845990440786, 'eval_runtime': 613.7114, 'eval_samples_per_second': 12.273, 'eval_steps_per_second': 0.767}
