{'eval_loss': 5.0413079261779785, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.12387148167817313, 'eval_runtime': 594.5487, 'eval_samples_per_second': 12.668, 'eval_steps_per_second': 0.792}
{'eval_loss': 5.019582271575928, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.12519915029208709, 'eval_runtime': 595.1258, 'eval_samples_per_second': 12.656, 'eval_steps_per_second': 0.791}
{'eval_loss': 4.951418876647949, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.13024429102496016, 'eval_runtime': 594.2458, 'eval_samples_per_second': 12.675, 'eval_steps_per_second': 0.793}
{'eval_loss': 4.779198169708252, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.13993627190653213, 'eval_runtime': 594.7069, 'eval_samples_per_second': 12.665, 'eval_steps_per_second': 0.792}
{'eval_loss': 4.544477939605713, 'eval_model_preparation_time': 0.0172, 'eval_acc': 0.1532129580456718, 'eval_runtime': 594.3282, 'eval_samples_per_second': 12.673, 'eval_steps_per_second': 0.792}
{'eval_loss': 4.261142730712891, 'eval_model_preparation_time': 0.0129, 'eval_acc': 0.17140201805629315, 'eval_runtime': 596.7263, 'eval_samples_per_second': 12.622, 'eval_steps_per_second': 0.789}
{'eval_loss': 3.951082706451416, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.19941582580987785, 'eval_runtime': 598.0994, 'eval_samples_per_second': 12.593, 'eval_steps_per_second': 0.787}
{'eval_loss': 3.6309759616851807, 'eval_model_preparation_time': 0.0132, 'eval_acc': 0.22557089750398301, 'eval_runtime': 595.5922, 'eval_samples_per_second': 12.646, 'eval_steps_per_second': 0.791}
{'eval_loss': 3.3737282752990723, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.24840679766330323, 'eval_runtime': 597.8639, 'eval_samples_per_second': 12.598, 'eval_steps_per_second': 0.788}
{'eval_loss': 2.9761011600494385, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.28836962294211366, 'eval_runtime': 597.6993, 'eval_samples_per_second': 12.602, 'eval_steps_per_second': 0.788}
{'eval_loss': 2.579455614089966, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.3370950610727562, 'eval_runtime': 598.3562, 'eval_samples_per_second': 12.588, 'eval_steps_per_second': 0.787}
{'eval_loss': 2.333366632461548, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.3770578863515667, 'eval_runtime': 597.9175, 'eval_samples_per_second': 12.597, 'eval_steps_per_second': 0.788}
{'eval_loss': 2.054013729095459, 'eval_model_preparation_time': 0.0136, 'eval_acc': 0.4312267657992565, 'eval_runtime': 597.5883, 'eval_samples_per_second': 12.604, 'eval_steps_per_second': 0.788}
{'eval_loss': 1.9214690923690796, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.46866702071163036, 'eval_runtime': 596.9717, 'eval_samples_per_second': 12.617, 'eval_steps_per_second': 0.789}
{'eval_loss': 1.7825405597686768, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.5054434413170472, 'eval_runtime': 597.268, 'eval_samples_per_second': 12.611, 'eval_steps_per_second': 0.789}
{'eval_loss': 1.6888325214385986, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.528146574614976, 'eval_runtime': 597.6393, 'eval_samples_per_second': 12.603, 'eval_steps_per_second': 0.788}
{'eval_loss': 1.5806835889816284, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.5646574614976102, 'eval_runtime': 597.1311, 'eval_samples_per_second': 12.614, 'eval_steps_per_second': 0.789}
{'eval_loss': 1.5328245162963867, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.5755443441317047, 'eval_runtime': 595.9998, 'eval_samples_per_second': 12.638, 'eval_steps_per_second': 0.79}
{'eval_loss': 1.5018655061721802, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.5889537971322358, 'eval_runtime': 596.4951, 'eval_samples_per_second': 12.627, 'eval_steps_per_second': 0.79}
{'eval_loss': 1.5322219133377075, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.5876261285183219, 'eval_runtime': 596.8726, 'eval_samples_per_second': 12.619, 'eval_steps_per_second': 0.789}
