{'eval_loss': 3.5174098014831543, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.22902283590015932, 'eval_runtime': 596.0535, 'eval_samples_per_second': 12.636, 'eval_steps_per_second': 0.79}
{'eval_loss': 2.859529495239258, 'eval_model_preparation_time': 0.0212, 'eval_acc': 0.29527349973446626, 'eval_runtime': 600.6779, 'eval_samples_per_second': 12.539, 'eval_steps_per_second': 0.784}
{'eval_loss': 2.3353419303894043, 'eval_model_preparation_time': 0.0154, 'eval_acc': 0.37174721189591076, 'eval_runtime': 601.3278, 'eval_samples_per_second': 12.526, 'eval_steps_per_second': 0.783}
{'eval_loss': 2.054164171218872, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.4276420605416888, 'eval_runtime': 598.5158, 'eval_samples_per_second': 12.584, 'eval_steps_per_second': 0.787}
{'eval_loss': 1.8440617322921753, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.48698884758364314, 'eval_runtime': 595.6249, 'eval_samples_per_second': 12.646, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.6484273672103882, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.54753053637812, 'eval_runtime': 601.2951, 'eval_samples_per_second': 12.526, 'eval_steps_per_second': 0.783}
{'eval_loss': 1.578003168106079, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.5738183749336165, 'eval_runtime': 603.2205, 'eval_samples_per_second': 12.486, 'eval_steps_per_second': 0.781}
{'eval_loss': 1.488508701324463, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.6043547530536378, 'eval_runtime': 600.7248, 'eval_samples_per_second': 12.538, 'eval_steps_per_second': 0.784}
{'eval_loss': 1.483749508857727, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.6036909187466808, 'eval_runtime': 601.8157, 'eval_samples_per_second': 12.515, 'eval_steps_per_second': 0.783}
{'eval_loss': 1.4395432472229004, 'eval_model_preparation_time': 0.0128, 'eval_acc': 0.6266595857673924, 'eval_runtime': 593.602, 'eval_samples_per_second': 12.689, 'eval_steps_per_second': 0.793}
{'eval_loss': 1.4035842418670654, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.6390069038767924, 'eval_runtime': 595.1947, 'eval_samples_per_second': 12.655, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.4183120727539062, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.6282527881040892, 'eval_runtime': 596.1509, 'eval_samples_per_second': 12.634, 'eval_steps_per_second': 0.79}
{'eval_loss': 1.3524669408798218, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.6508231545406267, 'eval_runtime': 594.3323, 'eval_samples_per_second': 12.673, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.3304239511489868, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.6652947424322889, 'eval_runtime': 595.1985, 'eval_samples_per_second': 12.655, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.3181771039962769, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.6719330855018587, 'eval_runtime': 598.4485, 'eval_samples_per_second': 12.586, 'eval_steps_per_second': 0.787}
{'eval_loss': 1.3216381072998047, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.6672862453531598, 'eval_runtime': 594.6355, 'eval_samples_per_second': 12.667, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.322277545928955, 'eval_model_preparation_time': 0.0177, 'eval_acc': 0.6708709506107275, 'eval_runtime': 594.9068, 'eval_samples_per_second': 12.661, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.3041462898254395, 'eval_model_preparation_time': 0.0161, 'eval_acc': 0.675385023898035, 'eval_runtime': 597.1958, 'eval_samples_per_second': 12.612, 'eval_steps_per_second': 0.789}
{'eval_loss': 1.2928128242492676, 'eval_model_preparation_time': 0.0146, 'eval_acc': 0.6806956983536909, 'eval_runtime': 595.309, 'eval_samples_per_second': 12.652, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.3031766414642334, 'eval_model_preparation_time': 0.0133, 'eval_acc': 0.6845459373340415, 'eval_runtime': 593.1642, 'eval_samples_per_second': 12.698, 'eval_steps_per_second': 0.794}
