{'eval_loss': 4.572061061859131, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.15201805629314924, 'eval_runtime': 595.7065, 'eval_samples_per_second': 12.644, 'eval_steps_per_second': 0.791}
{'eval_loss': 4.232661247253418, 'eval_model_preparation_time': 0.0224, 'eval_acc': 0.17126925119490174, 'eval_runtime': 594.3505, 'eval_samples_per_second': 12.673, 'eval_steps_per_second': 0.792}
{'eval_loss': 3.97180438041687, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.18826340945300052, 'eval_runtime': 596.5408, 'eval_samples_per_second': 12.626, 'eval_steps_per_second': 0.79}
{'eval_loss': 3.748878002166748, 'eval_model_preparation_time': 0.0129, 'eval_acc': 0.20685077004779606, 'eval_runtime': 597.043, 'eval_samples_per_second': 12.616, 'eval_steps_per_second': 0.789}
{'eval_loss': 3.5451953411102295, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.21853425385023897, 'eval_runtime': 596.759, 'eval_samples_per_second': 12.622, 'eval_steps_per_second': 0.789}
{'eval_loss': 3.3287837505340576, 'eval_model_preparation_time': 0.0157, 'eval_acc': 0.23513011152416358, 'eval_runtime': 595.4863, 'eval_samples_per_second': 12.648, 'eval_steps_per_second': 0.791}
{'eval_loss': 3.104482412338257, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.2507966011683484, 'eval_runtime': 596.2067, 'eval_samples_per_second': 12.633, 'eval_steps_per_second': 0.79}
{'eval_loss': 2.9500129222869873, 'eval_model_preparation_time': 0.0127, 'eval_acc': 0.2575677110993096, 'eval_runtime': 595.3436, 'eval_samples_per_second': 12.652, 'eval_steps_per_second': 0.791}
{'eval_loss': 2.907141923904419, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.2663303239511418, 'eval_runtime': 595.2951, 'eval_samples_per_second': 12.653, 'eval_steps_per_second': 0.791}
{'eval_loss': 2.685213565826416, 'eval_model_preparation_time': 0.0141, 'eval_acc': 0.29195432819968137, 'eval_runtime': 595.898, 'eval_samples_per_second': 12.64, 'eval_steps_per_second': 0.79}
{'eval_loss': 2.55615234375, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.3145246946362188, 'eval_runtime': 595.7293, 'eval_samples_per_second': 12.643, 'eval_steps_per_second': 0.791}
{'eval_loss': 2.57307767868042, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.3190387679235263, 'eval_runtime': 595.2416, 'eval_samples_per_second': 12.654, 'eval_steps_per_second': 0.791}
{'eval_loss': 2.3461272716522217, 'eval_model_preparation_time': 0.0161, 'eval_acc': 0.35621348911311734, 'eval_runtime': 594.9043, 'eval_samples_per_second': 12.661, 'eval_steps_per_second': 0.792}
{'eval_loss': 2.2316393852233887, 'eval_model_preparation_time': 0.0134, 'eval_acc': 0.38528943175783326, 'eval_runtime': 593.9944, 'eval_samples_per_second': 12.68, 'eval_steps_per_second': 0.793}
{'eval_loss': 2.092996120452881, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.4058682952734997, 'eval_runtime': 594.2582, 'eval_samples_per_second': 12.675, 'eval_steps_per_second': 0.793}
{'eval_loss': 2.367506504058838, 'eval_model_preparation_time': 0.0188, 'eval_acc': 0.3706850770047796, 'eval_runtime': 596.7676, 'eval_samples_per_second': 12.621, 'eval_steps_per_second': 0.789}
{'eval_loss': 2.0096094608306885, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.4256505576208178, 'eval_runtime': 595.7443, 'eval_samples_per_second': 12.643, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.98836350440979, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.43374933616569306, 'eval_runtime': 593.442, 'eval_samples_per_second': 12.692, 'eval_steps_per_second': 0.794}
{'eval_loss': 1.9333665370941162, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.44410515135422196, 'eval_runtime': 594.2223, 'eval_samples_per_second': 12.675, 'eval_steps_per_second': 0.793}
{'eval_loss': 1.9103107452392578, 'eval_model_preparation_time': 0.0221, 'eval_acc': 0.4471587891662241, 'eval_runtime': 591.4179, 'eval_samples_per_second': 12.735, 'eval_steps_per_second': 0.796}
