{'eval_loss': 4.492129802703857, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.08988316516197557, 'eval_runtime': 89.7097, 'eval_samples_per_second': 83.96, 'eval_steps_per_second': 1.315}
{'eval_loss': 3.0760505199432373, 'eval_model_preparation_time': 0.005, 'eval_acc': 0.22238449283058948, 'eval_runtime': 87.285, 'eval_samples_per_second': 86.292, 'eval_steps_per_second': 1.352}
{'eval_loss': 2.3432457447052, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.3660382368560807, 'eval_runtime': 88.8214, 'eval_samples_per_second': 84.799, 'eval_steps_per_second': 1.329}
{'eval_loss': 1.9259560108184814, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.48127987254381305, 'eval_runtime': 89.3741, 'eval_samples_per_second': 84.275, 'eval_steps_per_second': 1.32}
{'eval_loss': 1.684637427330017, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.5609399893786511, 'eval_runtime': 88.8216, 'eval_samples_per_second': 84.799, 'eval_steps_per_second': 1.329}
{'eval_loss': 1.5378994941711426, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6145778013807753, 'eval_runtime': 89.0395, 'eval_samples_per_second': 84.592, 'eval_steps_per_second': 1.325}
{'eval_loss': 1.49569571018219, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6509559214020181, 'eval_runtime': 89.1717, 'eval_samples_per_second': 84.466, 'eval_steps_per_second': 1.323}
{'eval_loss': 1.4741158485412598, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6667551779075943, 'eval_runtime': 89.071, 'eval_samples_per_second': 84.562, 'eval_steps_per_second': 1.325}
{'eval_loss': 1.4370745420455933, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6723313860860329, 'eval_runtime': 88.965, 'eval_samples_per_second': 84.663, 'eval_steps_per_second': 1.326}
{'eval_loss': 1.4537066221237183, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6784386617100372, 'eval_runtime': 89.0455, 'eval_samples_per_second': 84.586, 'eval_steps_per_second': 1.325}
{'eval_loss': 1.5093133449554443, 'eval_model_preparation_time': 0.0056, 'eval_acc': 0.6821561338289963, 'eval_runtime': 89.3815, 'eval_samples_per_second': 84.268, 'eval_steps_per_second': 1.32}
{'eval_loss': 1.4126492738723755, 'eval_model_preparation_time': 0.0055, 'eval_acc': 0.683749336165693, 'eval_runtime': 89.1918, 'eval_samples_per_second': 84.447, 'eval_steps_per_second': 1.323}
{'eval_loss': 1.4323041439056396, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6897238449283059, 'eval_runtime': 88.7423, 'eval_samples_per_second': 84.875, 'eval_steps_per_second': 1.33}
{'eval_loss': 1.43058180809021, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6970260223048327, 'eval_runtime': 89.2019, 'eval_samples_per_second': 84.438, 'eval_steps_per_second': 1.323}
{'eval_loss': 1.4266473054885864, 'eval_model_preparation_time': 0.0052, 'eval_acc': 0.6966277217206586, 'eval_runtime': 89.1544, 'eval_samples_per_second': 84.483, 'eval_steps_per_second': 1.324}
{'eval_loss': 1.4050350189208984, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6852097716409984, 'eval_runtime': 89.1959, 'eval_samples_per_second': 84.443, 'eval_steps_per_second': 1.323}
{'eval_loss': 1.4416548013687134, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6909187466808284, 'eval_runtime': 89.1705, 'eval_samples_per_second': 84.467, 'eval_steps_per_second': 1.323}
{'eval_loss': 1.398742914199829, 'eval_model_preparation_time': 0.0053, 'eval_acc': 0.6978226234731811, 'eval_runtime': 89.2332, 'eval_samples_per_second': 84.408, 'eval_steps_per_second': 1.322}
{'eval_loss': 1.3713189363479614, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.701141795007966, 'eval_runtime': 89.4507, 'eval_samples_per_second': 84.203, 'eval_steps_per_second': 1.319}
{'eval_loss': 1.4349465370178223, 'eval_model_preparation_time': 0.0054, 'eval_acc': 0.6929102496016994, 'eval_runtime': 89.1278, 'eval_samples_per_second': 84.508, 'eval_steps_per_second': 1.324}
