{'eval_loss': 5.03671932220459, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.12453531598513011, 'eval_runtime': 593.9947, 'eval_samples_per_second': 12.68, 'eval_steps_per_second': 0.793}
{'eval_loss': 5.015011787414551, 'eval_model_preparation_time': 0.0262, 'eval_acc': 0.12519915029208709, 'eval_runtime': 593.8328, 'eval_samples_per_second': 12.684, 'eval_steps_per_second': 0.793}
{'eval_loss': 4.958512783050537, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.1295804567180032, 'eval_runtime': 595.641, 'eval_samples_per_second': 12.645, 'eval_steps_per_second': 0.791}
{'eval_loss': 4.828555583953857, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.13821030270844398, 'eval_runtime': 597.7592, 'eval_samples_per_second': 12.6, 'eval_steps_per_second': 0.788}
{'eval_loss': 4.63238525390625, 'eval_model_preparation_time': 0.0142, 'eval_acc': 0.14843335103558153, 'eval_runtime': 596.5365, 'eval_samples_per_second': 12.626, 'eval_steps_per_second': 0.79}
{'eval_loss': 4.341654300689697, 'eval_model_preparation_time': 0.0167, 'eval_acc': 0.1654275092936803, 'eval_runtime': 596.0107, 'eval_samples_per_second': 12.637, 'eval_steps_per_second': 0.79}
{'eval_loss': 3.8928542137145996, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.20379713223579396, 'eval_runtime': 596.3451, 'eval_samples_per_second': 12.63, 'eval_steps_per_second': 0.79}
{'eval_loss': 3.446892738342285, 'eval_model_preparation_time': 0.016, 'eval_acc': 0.241635687732342, 'eval_runtime': 596.0253, 'eval_samples_per_second': 12.637, 'eval_steps_per_second': 0.79}
{'eval_loss': 3.0868117809295654, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.27349973446627723, 'eval_runtime': 596.8378, 'eval_samples_per_second': 12.62, 'eval_steps_per_second': 0.789}
{'eval_loss': 2.624260425567627, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.330323951141795, 'eval_runtime': 597.8379, 'eval_samples_per_second': 12.599, 'eval_steps_per_second': 0.788}
{'eval_loss': 2.3165149688720703, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.38090812533191715, 'eval_runtime': 597.5318, 'eval_samples_per_second': 12.605, 'eval_steps_per_second': 0.788}
{'eval_loss': 2.1432857513427734, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.4199415825809878, 'eval_runtime': 596.0391, 'eval_samples_per_second': 12.637, 'eval_steps_per_second': 0.79}
{'eval_loss': 1.8335832357406616, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.49455655868295273, 'eval_runtime': 596.4911, 'eval_samples_per_second': 12.627, 'eval_steps_per_second': 0.79}
{'eval_loss': 1.7377732992172241, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.5256240042485396, 'eval_runtime': 595.1928, 'eval_samples_per_second': 12.655, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.6802197694778442, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.5383696229421137, 'eval_runtime': 596.2055, 'eval_samples_per_second': 12.633, 'eval_steps_per_second': 0.79}
{'eval_loss': 1.5833160877227783, 'eval_model_preparation_time': 0.0141, 'eval_acc': 0.5695698353690919, 'eval_runtime': 598.0108, 'eval_samples_per_second': 12.595, 'eval_steps_per_second': 0.788}
{'eval_loss': 1.4609588384628296, 'eval_model_preparation_time': 0.0111, 'eval_acc': 0.6128518321826872, 'eval_runtime': 595.6786, 'eval_samples_per_second': 12.644, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.463503122329712, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.6123207647371216, 'eval_runtime': 594.9293, 'eval_samples_per_second': 12.66, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.473840594291687, 'eval_model_preparation_time': 0.0142, 'eval_acc': 0.609798194370685, 'eval_runtime': 596.1784, 'eval_samples_per_second': 12.634, 'eval_steps_per_second': 0.79}
{'eval_loss': 1.4892948865890503, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.6115241635687733, 'eval_runtime': 593.6404, 'eval_samples_per_second': 12.688, 'eval_steps_per_second': 0.793}
