{'eval_loss': 3.718219518661499, 'eval_model_preparation_time': 0.023, 'eval_acc': 0.20857673924588424, 'eval_runtime': 584.3224, 'eval_samples_per_second': 12.89, 'eval_steps_per_second': 0.806}
{'eval_loss': 3.004688024520874, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.2782793414763675, 'eval_runtime': 582.0979, 'eval_samples_per_second': 12.939, 'eval_steps_per_second': 0.809}
{'eval_loss': 2.526317596435547, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.33736059479553904, 'eval_runtime': 582.8259, 'eval_samples_per_second': 12.923, 'eval_steps_per_second': 0.808}
{'eval_loss': 2.223749876022339, 'eval_model_preparation_time': 0.0132, 'eval_acc': 0.38887413701540097, 'eval_runtime': 580.84, 'eval_samples_per_second': 12.967, 'eval_steps_per_second': 0.811}
{'eval_loss': 2.022789239883423, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.4410515135422199, 'eval_runtime': 581.8357, 'eval_samples_per_second': 12.945, 'eval_steps_per_second': 0.81}
{'eval_loss': 1.8413853645324707, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.4919012214551248, 'eval_runtime': 582.241, 'eval_samples_per_second': 12.936, 'eval_steps_per_second': 0.809}
{'eval_loss': 1.722701072692871, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.5270844397238449, 'eval_runtime': 581.2047, 'eval_samples_per_second': 12.959, 'eval_steps_per_second': 0.81}
{'eval_loss': 1.603827714920044, 'eval_model_preparation_time': 0.0111, 'eval_acc': 0.564922995220393, 'eval_runtime': 582.5655, 'eval_samples_per_second': 12.929, 'eval_steps_per_second': 0.808}
{'eval_loss': 1.577890396118164, 'eval_model_preparation_time': 0.0181, 'eval_acc': 0.573951141795008, 'eval_runtime': 580.9331, 'eval_samples_per_second': 12.965, 'eval_steps_per_second': 0.811}
{'eval_loss': 1.5196499824523926, 'eval_model_preparation_time': 0.0132, 'eval_acc': 0.594397238449283, 'eval_runtime': 582.9498, 'eval_samples_per_second': 12.92, 'eval_steps_per_second': 0.808}
{'eval_loss': 1.4888354539871216, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.6068773234200744, 'eval_runtime': 583.0317, 'eval_samples_per_second': 12.919, 'eval_steps_per_second': 0.808}
{'eval_loss': 1.4741517305374146, 'eval_model_preparation_time': 0.0111, 'eval_acc': 0.6076739245884227, 'eval_runtime': 581.7135, 'eval_samples_per_second': 12.948, 'eval_steps_per_second': 0.81}
{'eval_loss': 1.4234448671340942, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.6273234200743495, 'eval_runtime': 581.5209, 'eval_samples_per_second': 12.952, 'eval_steps_per_second': 0.81}
{'eval_loss': 1.397652268409729, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.637546468401487, 'eval_runtime': 581.4739, 'eval_samples_per_second': 12.953, 'eval_steps_per_second': 0.81}
{'eval_loss': 1.3907102346420288, 'eval_model_preparation_time': 0.0137, 'eval_acc': 0.6409984067976633, 'eval_runtime': 583.2334, 'eval_samples_per_second': 12.914, 'eval_steps_per_second': 0.808}
{'eval_loss': 1.3949360847473145, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.6364843335103558, 'eval_runtime': 583.4067, 'eval_samples_per_second': 12.91, 'eval_steps_per_second': 0.807}
{'eval_loss': 1.3654096126556396, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.6514869888475836, 'eval_runtime': 584.2062, 'eval_samples_per_second': 12.893, 'eval_steps_per_second': 0.806}
{'eval_loss': 1.3407741785049438, 'eval_model_preparation_time': 0.0165, 'eval_acc': 0.6630377057886352, 'eval_runtime': 582.233, 'eval_samples_per_second': 12.936, 'eval_steps_per_second': 0.809}
{'eval_loss': 1.330407977104187, 'eval_model_preparation_time': 0.0157, 'eval_acc': 0.6676845459373341, 'eval_runtime': 583.8294, 'eval_samples_per_second': 12.901, 'eval_steps_per_second': 0.807}
{'eval_loss': 1.3217146396636963, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.6727296866702072, 'eval_runtime': 583.3861, 'eval_samples_per_second': 12.911, 'eval_steps_per_second': 0.807}
