{'eval_loss': 5.227169513702393, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.17126925119490174, 'eval_runtime': 569.7788, 'eval_samples_per_second': 13.219, 'eval_steps_per_second': 0.827}
{'eval_loss': 5.111767292022705, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.17551779075942645, 'eval_runtime': 571.9831, 'eval_samples_per_second': 13.168, 'eval_steps_per_second': 0.823}
{'eval_loss': 4.767547607421875, 'eval_model_preparation_time': 0.0382, 'eval_acc': 0.19888475836431227, 'eval_runtime': 567.9727, 'eval_samples_per_second': 13.261, 'eval_steps_per_second': 0.829}
{'eval_loss': 4.149617671966553, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.23632501327668615, 'eval_runtime': 569.1703, 'eval_samples_per_second': 13.233, 'eval_steps_per_second': 0.828}
{'eval_loss': 3.5399463176727295, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.27283590015932024, 'eval_runtime': 569.7375, 'eval_samples_per_second': 13.22, 'eval_steps_per_second': 0.827}
{'eval_loss': 2.9058127403259277, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.3147902283590016, 'eval_runtime': 568.4892, 'eval_samples_per_second': 13.249, 'eval_steps_per_second': 0.829}
{'eval_loss': 2.3190433979034424, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.38436006372809345, 'eval_runtime': 569.4592, 'eval_samples_per_second': 13.227, 'eval_steps_per_second': 0.827}
{'eval_loss': 2.1258249282836914, 'eval_model_preparation_time': 0.011, 'eval_acc': 0.4228624535315985, 'eval_runtime': 568.8358, 'eval_samples_per_second': 13.241, 'eval_steps_per_second': 0.828}
{'eval_loss': 2.1132071018218994, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.4349442379182156, 'eval_runtime': 568.1975, 'eval_samples_per_second': 13.256, 'eval_steps_per_second': 0.829}
{'eval_loss': 1.8084772825241089, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.5123473181093999, 'eval_runtime': 570.9811, 'eval_samples_per_second': 13.191, 'eval_steps_per_second': 0.825}
{'eval_loss': 1.7467228174209595, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.5261550716941051, 'eval_runtime': 572.7722, 'eval_samples_per_second': 13.15, 'eval_steps_per_second': 0.822}
{'eval_loss': 1.8301193714141846, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.5090281465746149, 'eval_runtime': 573.8106, 'eval_samples_per_second': 13.126, 'eval_steps_per_second': 0.821}
{'eval_loss': 1.6688205003738403, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.5539033457249071, 'eval_runtime': 573.8364, 'eval_samples_per_second': 13.126, 'eval_steps_per_second': 0.821}
{'eval_loss': 1.6248711347579956, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.5650557620817844, 'eval_runtime': 575.0536, 'eval_samples_per_second': 13.098, 'eval_steps_per_second': 0.819}
{'eval_loss': 1.5575575828552246, 'eval_model_preparation_time': 0.0111, 'eval_acc': 0.594397238449283, 'eval_runtime': 572.9053, 'eval_samples_per_second': 13.147, 'eval_steps_per_second': 0.822}
{'eval_loss': 1.8253926038742065, 'eval_model_preparation_time': 0.011, 'eval_acc': 0.5172596919808816, 'eval_runtime': 575.6305, 'eval_samples_per_second': 13.085, 'eval_steps_per_second': 0.818}
{'eval_loss': 1.5839390754699707, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.5856346255974508, 'eval_runtime': 574.9916, 'eval_samples_per_second': 13.099, 'eval_steps_per_second': 0.819}
{'eval_loss': 1.5248090028762817, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.5999734466277217, 'eval_runtime': 575.6316, 'eval_samples_per_second': 13.085, 'eval_steps_per_second': 0.818}
{'eval_loss': 1.5114104747772217, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.6105947955390335, 'eval_runtime': 573.6595, 'eval_samples_per_second': 13.13, 'eval_steps_per_second': 0.821}
{'eval_loss': 1.5437716245651245, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.6082049920339884, 'eval_runtime': 570.6952, 'eval_samples_per_second': 13.198, 'eval_steps_per_second': 0.825}
