{'eval_loss': 5.244710445404053, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.1692777482740308, 'eval_runtime': 596.1253, 'eval_samples_per_second': 12.635, 'eval_steps_per_second': 0.79}
{'eval_loss': 5.226803302764893, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.17073818374933616, 'eval_runtime': 597.6903, 'eval_samples_per_second': 12.602, 'eval_steps_per_second': 0.788}
{'eval_loss': 5.182627201080322, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.17259691980881572, 'eval_runtime': 595.7632, 'eval_samples_per_second': 12.643, 'eval_steps_per_second': 0.791}
{'eval_loss': 5.040492534637451, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.18202336696760488, 'eval_runtime': 596.6841, 'eval_samples_per_second': 12.623, 'eval_steps_per_second': 0.789}
{'eval_loss': 4.883326053619385, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.19144981412639406, 'eval_runtime': 596.4075, 'eval_samples_per_second': 12.629, 'eval_steps_per_second': 0.79}
{'eval_loss': 4.686816692352295, 'eval_model_preparation_time': 0.0143, 'eval_acc': 0.20313329792883697, 'eval_runtime': 597.2017, 'eval_samples_per_second': 12.612, 'eval_steps_per_second': 0.789}
{'eval_loss': 4.357511043548584, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.22371216144450345, 'eval_runtime': 598.576, 'eval_samples_per_second': 12.583, 'eval_steps_per_second': 0.787}
{'eval_loss': 4.120682716369629, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.23964418481147107, 'eval_runtime': 597.9912, 'eval_samples_per_second': 12.596, 'eval_steps_per_second': 0.788}
{'eval_loss': 3.8413217067718506, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.2547796070100903, 'eval_runtime': 598.957, 'eval_samples_per_second': 12.575, 'eval_steps_per_second': 0.786}
{'eval_loss': 3.3094570636749268, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.2870419543281997, 'eval_runtime': 598.7111, 'eval_samples_per_second': 12.58, 'eval_steps_per_second': 0.787}
{'eval_loss': 2.7182817459106445, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.32846521508231546, 'eval_runtime': 599.6049, 'eval_samples_per_second': 12.562, 'eval_steps_per_second': 0.786}
{'eval_loss': 2.415663003921509, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.36882634094530004, 'eval_runtime': 598.9313, 'eval_samples_per_second': 12.576, 'eval_steps_per_second': 0.786}
{'eval_loss': 2.1619417667388916, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.41038236856080723, 'eval_runtime': 600.0362, 'eval_samples_per_second': 12.553, 'eval_steps_per_second': 0.785}
{'eval_loss': 1.9897911548614502, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.44198088157195964, 'eval_runtime': 598.7738, 'eval_samples_per_second': 12.579, 'eval_steps_per_second': 0.787}
{'eval_loss': 1.889443278312683, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.47371216144450345, 'eval_runtime': 599.0104, 'eval_samples_per_second': 12.574, 'eval_steps_per_second': 0.786}
{'eval_loss': 1.8781520128250122, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.4847318109399894, 'eval_runtime': 598.2808, 'eval_samples_per_second': 12.589, 'eval_steps_per_second': 0.787}
{'eval_loss': 1.7663112878799438, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.5193839617631439, 'eval_runtime': 597.6057, 'eval_samples_per_second': 12.604, 'eval_steps_per_second': 0.788}
{'eval_loss': 1.6785272359848022, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.5446096654275093, 'eval_runtime': 598.0539, 'eval_samples_per_second': 12.594, 'eval_steps_per_second': 0.788}
{'eval_loss': 1.6109557151794434, 'eval_model_preparation_time': 0.011, 'eval_acc': 0.5689060010621348, 'eval_runtime': 597.5901, 'eval_samples_per_second': 12.604, 'eval_steps_per_second': 0.788}
{'eval_loss': 1.6135141849517822, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.5708975039830059, 'eval_runtime': 597.0812, 'eval_samples_per_second': 12.615, 'eval_steps_per_second': 0.789}
