{'eval_loss': 3.6562609672546387, 'eval_model_preparation_time': 0.011, 'eval_acc': 0.2618162506638343, 'eval_runtime': 594.333, 'eval_samples_per_second': 12.673, 'eval_steps_per_second': 0.792}
{'eval_loss': 2.5724246501922607, 'eval_model_preparation_time': 0.0147, 'eval_acc': 0.32541157727031333, 'eval_runtime': 592.4934, 'eval_samples_per_second': 12.712, 'eval_steps_per_second': 0.795}
{'eval_loss': 2.2055461406707764, 'eval_model_preparation_time': 0.0136, 'eval_acc': 0.39298990971853426, 'eval_runtime': 592.81, 'eval_samples_per_second': 12.706, 'eval_steps_per_second': 0.795}
{'eval_loss': 1.9565011262893677, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.4555231014338821, 'eval_runtime': 592.048, 'eval_samples_per_second': 12.722, 'eval_steps_per_second': 0.796}
{'eval_loss': 1.7523632049560547, 'eval_model_preparation_time': 0.0205, 'eval_acc': 0.5187201274561869, 'eval_runtime': 590.2232, 'eval_samples_per_second': 12.761, 'eval_steps_per_second': 0.798}
{'eval_loss': 1.6091291904449463, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.5694370685077005, 'eval_runtime': 592.7282, 'eval_samples_per_second': 12.707, 'eval_steps_per_second': 0.795}
{'eval_loss': 1.5637627840042114, 'eval_model_preparation_time': 0.0132, 'eval_acc': 0.5921402018056293, 'eval_runtime': 592.8763, 'eval_samples_per_second': 12.704, 'eval_steps_per_second': 0.794}
{'eval_loss': 1.4849425554275513, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.6241370154009559, 'eval_runtime': 593.6628, 'eval_samples_per_second': 12.687, 'eval_steps_per_second': 0.793}
{'eval_loss': 1.5171207189559937, 'eval_model_preparation_time': 0.0135, 'eval_acc': 0.6071428571428571, 'eval_runtime': 593.7046, 'eval_samples_per_second': 12.686, 'eval_steps_per_second': 0.793}
{'eval_loss': 1.4174537658691406, 'eval_model_preparation_time': 0.0136, 'eval_acc': 0.6367498672331386, 'eval_runtime': 594.7818, 'eval_samples_per_second': 12.663, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.3812377452850342, 'eval_model_preparation_time': 0.0145, 'eval_acc': 0.6520180562931492, 'eval_runtime': 594.4929, 'eval_samples_per_second': 12.67, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.3645565509796143, 'eval_model_preparation_time': 0.0144, 'eval_acc': 0.6571959638874137, 'eval_runtime': 595.3625, 'eval_samples_per_second': 12.651, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.3185840845108032, 'eval_model_preparation_time': 0.013, 'eval_acc': 0.6733935209771641, 'eval_runtime': 594.4383, 'eval_samples_per_second': 12.671, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.3036236763000488, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.6812267657992565, 'eval_runtime': 595.4644, 'eval_samples_per_second': 12.649, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.2849442958831787, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.685077004779607, 'eval_runtime': 595.5583, 'eval_samples_per_second': 12.647, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.3319088220596313, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.6813595326606479, 'eval_runtime': 599.903, 'eval_samples_per_second': 12.555, 'eval_steps_per_second': 0.785}
{'eval_loss': 1.3109639883041382, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.6830855018587361, 'eval_runtime': 597.1551, 'eval_samples_per_second': 12.613, 'eval_steps_per_second': 0.789}
{'eval_loss': 1.2859582901000977, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.6933085501858736, 'eval_runtime': 597.3673, 'eval_samples_per_second': 12.609, 'eval_steps_per_second': 0.788}
{'eval_loss': 1.266737699508667, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.69676048858205, 'eval_runtime': 598.2128, 'eval_samples_per_second': 12.591, 'eval_steps_per_second': 0.787}
{'eval_loss': 1.2799091339111328, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.6968932554434413, 'eval_runtime': 597.7899, 'eval_samples_per_second': 12.6, 'eval_steps_per_second': 0.788}
