{'eval_loss': 4.825187683105469, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.17458842272968667, 'eval_runtime': 592.7402, 'eval_samples_per_second': 12.707, 'eval_steps_per_second': 0.795}
{'eval_loss': 4.383907794952393, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.17936802973977695, 'eval_runtime': 591.6189, 'eval_samples_per_second': 12.731, 'eval_steps_per_second': 0.796}
{'eval_loss': 3.9836323261260986, 'eval_model_preparation_time': 0.0188, 'eval_acc': 0.1891927774827403, 'eval_runtime': 592.4879, 'eval_samples_per_second': 12.712, 'eval_steps_per_second': 0.795}
{'eval_loss': 3.678166151046753, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.21096654275092938, 'eval_runtime': 594.2889, 'eval_samples_per_second': 12.674, 'eval_steps_per_second': 0.793}
{'eval_loss': 3.362278699874878, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.2302177376526819, 'eval_runtime': 594.5545, 'eval_samples_per_second': 12.668, 'eval_steps_per_second': 0.792}
{'eval_loss': 3.0656111240386963, 'eval_model_preparation_time': 0.0185, 'eval_acc': 0.256372809346787, 'eval_runtime': 593.7826, 'eval_samples_per_second': 12.685, 'eval_steps_per_second': 0.793}
{'eval_loss': 2.827242851257324, 'eval_model_preparation_time': 0.0165, 'eval_acc': 0.273101433882103, 'eval_runtime': 594.3803, 'eval_samples_per_second': 12.672, 'eval_steps_per_second': 0.792}
{'eval_loss': 2.6556479930877686, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.3028412108337759, 'eval_runtime': 594.1581, 'eval_samples_per_second': 12.677, 'eval_steps_per_second': 0.793}
{'eval_loss': 2.6886539459228516, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.30456718003186406, 'eval_runtime': 593.5781, 'eval_samples_per_second': 12.689, 'eval_steps_per_second': 0.793}
{'eval_loss': 2.3508167266845703, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.3513011152416357, 'eval_runtime': 593.9303, 'eval_samples_per_second': 12.682, 'eval_steps_per_second': 0.793}
{'eval_loss': 2.2367477416992188, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.37174721189591076, 'eval_runtime': 595.6871, 'eval_samples_per_second': 12.644, 'eval_steps_per_second': 0.791}
{'eval_loss': 2.306025743484497, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.37612851832182687, 'eval_runtime': 595.8075, 'eval_samples_per_second': 12.642, 'eval_steps_per_second': 0.791}
{'eval_loss': 2.0659186840057373, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.41688794476898566, 'eval_runtime': 595.3793, 'eval_samples_per_second': 12.651, 'eval_steps_per_second': 0.791}
{'eval_loss': 2.034623622894287, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.42180031864046735, 'eval_runtime': 594.5922, 'eval_samples_per_second': 12.668, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.93708336353302, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.4437068507700478, 'eval_runtime': 595.4217, 'eval_samples_per_second': 12.65, 'eval_steps_per_second': 0.791}
{'eval_loss': 2.1561696529388428, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.4094530005310674, 'eval_runtime': 595.772, 'eval_samples_per_second': 12.642, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.903240442276001, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.45724907063197023, 'eval_runtime': 595.5117, 'eval_samples_per_second': 12.648, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.8621881008148193, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.4681359532660648, 'eval_runtime': 595.6569, 'eval_samples_per_second': 12.645, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.8441698551177979, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.4741104620286776, 'eval_runtime': 595.2522, 'eval_samples_per_second': 12.653, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.8498295545578003, 'eval_model_preparation_time': 0.0203, 'eval_acc': 0.4714551248008497, 'eval_runtime': 591.0371, 'eval_samples_per_second': 12.744, 'eval_steps_per_second': 0.797}
