{'eval_loss': 5.2417683601379395, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.169676048858205, 'eval_runtime': 594.2416, 'eval_samples_per_second': 12.675, 'eval_steps_per_second': 0.793}
{'eval_loss': 5.224721431732178, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.17100371747211895, 'eval_runtime': 593.4511, 'eval_samples_per_second': 12.692, 'eval_steps_per_second': 0.794}
{'eval_loss': 5.174931049346924, 'eval_model_preparation_time': 0.0225, 'eval_acc': 0.17405735528412108, 'eval_runtime': 594.0416, 'eval_samples_per_second': 12.679, 'eval_steps_per_second': 0.793}
{'eval_loss': 5.043703556060791, 'eval_model_preparation_time': 0.0171, 'eval_acc': 0.18295273499734466, 'eval_runtime': 594.567, 'eval_samples_per_second': 12.668, 'eval_steps_per_second': 0.792}
{'eval_loss': 4.830932140350342, 'eval_model_preparation_time': 0.0272, 'eval_acc': 0.19636218799787572, 'eval_runtime': 594.8589, 'eval_samples_per_second': 12.662, 'eval_steps_per_second': 0.792}
{'eval_loss': 4.447970390319824, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.21972915560276154, 'eval_runtime': 593.7844, 'eval_samples_per_second': 12.685, 'eval_steps_per_second': 0.793}
{'eval_loss': 3.9981038570404053, 'eval_model_preparation_time': 0.0208, 'eval_acc': 0.24694636218799787, 'eval_runtime': 595.0292, 'eval_samples_per_second': 12.658, 'eval_steps_per_second': 0.792}
{'eval_loss': 3.5640807151794434, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.27190653212958044, 'eval_runtime': 595.6331, 'eval_samples_per_second': 12.645, 'eval_steps_per_second': 0.791}
{'eval_loss': 3.1962952613830566, 'eval_model_preparation_time': 0.0158, 'eval_acc': 0.2948751991502921, 'eval_runtime': 594.5355, 'eval_samples_per_second': 12.669, 'eval_steps_per_second': 0.792}
{'eval_loss': 2.605703353881836, 'eval_model_preparation_time': 0.0127, 'eval_acc': 0.3434678704195433, 'eval_runtime': 594.2069, 'eval_samples_per_second': 12.676, 'eval_steps_per_second': 0.793}
{'eval_loss': 2.2429089546203613, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.3919277748274031, 'eval_runtime': 596.5613, 'eval_samples_per_second': 12.626, 'eval_steps_per_second': 0.79}
{'eval_loss': 2.0688693523406982, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.4306956983536909, 'eval_runtime': 596.6564, 'eval_samples_per_second': 12.624, 'eval_steps_per_second': 0.789}
{'eval_loss': 1.908181071281433, 'eval_model_preparation_time': 0.0136, 'eval_acc': 0.47092405735528414, 'eval_runtime': 595.9447, 'eval_samples_per_second': 12.639, 'eval_steps_per_second': 0.79}
{'eval_loss': 1.7810165882110596, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.5098247477429634, 'eval_runtime': 595.731, 'eval_samples_per_second': 12.643, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.6687500476837158, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.557222517259692, 'eval_runtime': 597.9689, 'eval_samples_per_second': 12.596, 'eval_steps_per_second': 0.788}
{'eval_loss': 1.7584887742996216, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.52947424322889, 'eval_runtime': 594.7853, 'eval_samples_per_second': 12.663, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.6359305381774902, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.5720924057355284, 'eval_runtime': 596.2936, 'eval_samples_per_second': 12.631, 'eval_steps_per_second': 0.79}
{'eval_loss': 1.5446902513504028, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.5965215082315454, 'eval_runtime': 595.4548, 'eval_samples_per_second': 12.649, 'eval_steps_per_second': 0.791}
{'eval_loss': 1.5596517324447632, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.5991768454593733, 'eval_runtime': 594.7469, 'eval_samples_per_second': 12.664, 'eval_steps_per_second': 0.792}
{'eval_loss': 1.5833885669708252, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.5936006372809347, 'eval_runtime': 593.0631, 'eval_samples_per_second': 12.7, 'eval_steps_per_second': 0.794}
