{'eval_loss': 4.011026382446289, 'eval_model_preparation_time': 0.0151, 'eval_acc': 0.24495485926712693, 'eval_runtime': 576.0121, 'eval_samples_per_second': 13.076, 'eval_steps_per_second': 0.818}
{'eval_loss': 2.967252254486084, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.2977960701009028, 'eval_runtime': 573.3567, 'eval_samples_per_second': 13.137, 'eval_steps_per_second': 0.821}
{'eval_loss': 2.413325786590576, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.35223048327137546, 'eval_runtime': 572.9982, 'eval_samples_per_second': 13.145, 'eval_steps_per_second': 0.822}
{'eval_loss': 2.089711904525757, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.41702071163037707, 'eval_runtime': 571.0597, 'eval_samples_per_second': 13.19, 'eval_steps_per_second': 0.825}
{'eval_loss': 1.915128469467163, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.47158789166224113, 'eval_runtime': 570.9027, 'eval_samples_per_second': 13.193, 'eval_steps_per_second': 0.825}
{'eval_loss': 1.7738558053970337, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.5120817843866171, 'eval_runtime': 573.692, 'eval_samples_per_second': 13.129, 'eval_steps_per_second': 0.821}
{'eval_loss': 1.6932828426361084, 'eval_model_preparation_time': 0.0158, 'eval_acc': 0.5434147636749868, 'eval_runtime': 574.1168, 'eval_samples_per_second': 13.119, 'eval_steps_per_second': 0.82}
{'eval_loss': 1.614383578300476, 'eval_model_preparation_time': 0.0128, 'eval_acc': 0.570631970260223, 'eval_runtime': 574.2863, 'eval_samples_per_second': 13.115, 'eval_steps_per_second': 0.82}
{'eval_loss': 1.6001629829406738, 'eval_model_preparation_time': 0.0138, 'eval_acc': 0.5828465215082316, 'eval_runtime': 574.2538, 'eval_samples_per_second': 13.116, 'eval_steps_per_second': 0.82}
{'eval_loss': 1.5146533250808716, 'eval_model_preparation_time': 0.0111, 'eval_acc': 0.6121879978757302, 'eval_runtime': 575.3069, 'eval_samples_per_second': 13.092, 'eval_steps_per_second': 0.819}
{'eval_loss': 1.4646457433700562, 'eval_model_preparation_time': 0.0188, 'eval_acc': 0.6298459904407859, 'eval_runtime': 574.9462, 'eval_samples_per_second': 13.1, 'eval_steps_per_second': 0.819}
{'eval_loss': 1.4426517486572266, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.6355549654806161, 'eval_runtime': 575.0195, 'eval_samples_per_second': 13.099, 'eval_steps_per_second': 0.819}
{'eval_loss': 1.3859156370162964, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.6504248539564524, 'eval_runtime': 573.3655, 'eval_samples_per_second': 13.136, 'eval_steps_per_second': 0.821}
{'eval_loss': 1.364883542060852, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.658656399362719, 'eval_runtime': 575.5842, 'eval_samples_per_second': 13.086, 'eval_steps_per_second': 0.818}
{'eval_loss': 1.3304351568222046, 'eval_model_preparation_time': 0.014, 'eval_acc': 0.6679500796601169, 'eval_runtime': 573.7504, 'eval_samples_per_second': 13.128, 'eval_steps_per_second': 0.821}
{'eval_loss': 1.3407609462738037, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.6643653744025492, 'eval_runtime': 575.8582, 'eval_samples_per_second': 13.08, 'eval_steps_per_second': 0.818}
{'eval_loss': 1.3226836919784546, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.6695432819968136, 'eval_runtime': 587.8611, 'eval_samples_per_second': 12.813, 'eval_steps_per_second': 0.801}
{'eval_loss': 1.298790454864502, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.682421667551779, 'eval_runtime': 578.1335, 'eval_samples_per_second': 13.028, 'eval_steps_per_second': 0.815}
{'eval_loss': 1.3010221719741821, 'eval_model_preparation_time': 0.0181, 'eval_acc': 0.6834838024429103, 'eval_runtime': 580.5354, 'eval_samples_per_second': 12.974, 'eval_steps_per_second': 0.811}
{'eval_loss': 1.3115949630737305, 'eval_model_preparation_time': 0.0129, 'eval_acc': 0.686404673393521, 'eval_runtime': 574.6544, 'eval_samples_per_second': 13.107, 'eval_steps_per_second': 0.82}
