{'eval_loss': 2.9531538486480713, 'eval_model_preparation_time': 0.0921, 'eval_acc': 0.097052575677111, 'eval_runtime': 61.6347, 'eval_samples_per_second': 122.204, 'eval_steps_per_second': 7.642}
{'eval_loss': 2.15476393699646, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.3593998937865109, 'eval_runtime': 69.8308, 'eval_samples_per_second': 107.861, 'eval_steps_per_second': 6.745}
{'eval_loss': 1.6688003540039062, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.5163303239511418, 'eval_runtime': 71.66, 'eval_samples_per_second': 105.107, 'eval_steps_per_second': 6.573}
{'eval_loss': 1.4933022260665894, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.555894848645778, 'eval_runtime': 79.8928, 'eval_samples_per_second': 94.276, 'eval_steps_per_second': 5.895}
{'eval_loss': 1.3958091735839844, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.5760754115772703, 'eval_runtime': 86.3682, 'eval_samples_per_second': 87.208, 'eval_steps_per_second': 5.453}
{'eval_loss': 1.346361517906189, 'eval_model_preparation_time': 0.0457, 'eval_acc': 0.5870950610727562, 'eval_runtime': 75.0104, 'eval_samples_per_second': 100.413, 'eval_steps_per_second': 6.279}
{'eval_loss': 1.335551381111145, 'eval_model_preparation_time': 0.0279, 'eval_acc': 0.5951938396176314, 'eval_runtime': 69.5553, 'eval_samples_per_second': 108.288, 'eval_steps_per_second': 6.772}
{'eval_loss': 1.3128550052642822, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.6074083908656399, 'eval_runtime': 84.9934, 'eval_samples_per_second': 88.619, 'eval_steps_per_second': 5.542}
{'eval_loss': 1.306327223777771, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.6082049920339884, 'eval_runtime': 90.0192, 'eval_samples_per_second': 83.671, 'eval_steps_per_second': 5.232}
{'eval_loss': 1.286560297012329, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.6204195432819968, 'eval_runtime': 90.2658, 'eval_samples_per_second': 83.442, 'eval_steps_per_second': 5.218}
{'eval_loss': 1.260765790939331, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.6321030270844398, 'eval_runtime': 83.4144, 'eval_samples_per_second': 90.296, 'eval_steps_per_second': 5.647}
{'eval_loss': 1.2573204040527344, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.6317047265002655, 'eval_runtime': 74.4378, 'eval_samples_per_second': 101.185, 'eval_steps_per_second': 6.327}
{'eval_loss': 1.2283179759979248, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.6395379713223579, 'eval_runtime': 72.6847, 'eval_samples_per_second': 103.626, 'eval_steps_per_second': 6.48}
{'eval_loss': 1.2110178470611572, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.645910780669145, 'eval_runtime': 72.6348, 'eval_samples_per_second': 103.697, 'eval_steps_per_second': 6.484}
{'eval_loss': 1.1902378797531128, 'eval_model_preparation_time': 0.0149, 'eval_acc': 0.6518852894317578, 'eval_runtime': 77.3892, 'eval_samples_per_second': 97.326, 'eval_steps_per_second': 6.086}
{'eval_loss': 1.2089788913726807, 'eval_model_preparation_time': 0.0233, 'eval_acc': 0.6409984067976633, 'eval_runtime': 79.5661, 'eval_samples_per_second': 94.663, 'eval_steps_per_second': 5.92}
{'eval_loss': 1.2034014463424683, 'eval_model_preparation_time': 0.0143, 'eval_acc': 0.6468401486988847, 'eval_runtime': 78.3334, 'eval_samples_per_second': 96.153, 'eval_steps_per_second': 6.013}
{'eval_loss': 1.1841943264007568, 'eval_model_preparation_time': 0.0126, 'eval_acc': 0.6522835900159321, 'eval_runtime': 67.4787, 'eval_samples_per_second': 111.62, 'eval_steps_per_second': 6.98}
{'eval_loss': 1.1827337741851807, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.6571959638874137, 'eval_runtime': 72.1931, 'eval_samples_per_second': 104.331, 'eval_steps_per_second': 6.524}
{'eval_loss': 1.1871421337127686, 'eval_model_preparation_time': 0.0143, 'eval_acc': 0.655602761550717, 'eval_runtime': 88.1819, 'eval_samples_per_second': 85.414, 'eval_steps_per_second': 5.341}
{'eval_loss': 1.1869964599609375, 'eval_model_preparation_time': 0.0269, 'eval_acc': 0.6548061603823686, 'eval_runtime': 73.2353, 'eval_samples_per_second': 102.847, 'eval_steps_per_second': 6.431}
{'eval_loss': 1.1801151037216187, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.6553372278279341, 'eval_runtime': 80.5323, 'eval_samples_per_second': 93.528, 'eval_steps_per_second': 5.849}
{'eval_loss': 1.167570948600769, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.6583908656399363, 'eval_runtime': 80.8779, 'eval_samples_per_second': 93.128, 'eval_steps_per_second': 5.824}
{'eval_loss': 1.1717278957366943, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.6585236325013276, 'eval_runtime': 82.8908, 'eval_samples_per_second': 90.866, 'eval_steps_per_second': 5.682}
{'eval_loss': 1.1542432308197021, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.6602496016994158, 'eval_runtime': 75.9846, 'eval_samples_per_second': 99.125, 'eval_steps_per_second': 6.199}
{'eval_loss': 1.1562519073486328, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.6614445034519384, 'eval_runtime': 82.2798, 'eval_samples_per_second': 91.541, 'eval_steps_per_second': 5.724}
{'eval_loss': 1.1693005561828613, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.66064790228359, 'eval_runtime': 76.0269, 'eval_samples_per_second': 99.07, 'eval_steps_per_second': 6.195}
{'eval_loss': 1.1678411960601807, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.6623738714816781, 'eval_runtime': 68.2311, 'eval_samples_per_second': 110.39, 'eval_steps_per_second': 6.903}
{'eval_loss': 1.170991063117981, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.6631704726500266, 'eval_runtime': 78.9052, 'eval_samples_per_second': 95.456, 'eval_steps_per_second': 5.969}
{'eval_loss': 1.1473888158798218, 'eval_model_preparation_time': 0.0145, 'eval_acc': 0.6660913436006373, 'eval_runtime': 93.1745, 'eval_samples_per_second': 80.838, 'eval_steps_per_second': 5.055}
{'eval_loss': 1.1553778648376465, 'eval_model_preparation_time': 0.0263, 'eval_acc': 0.6633032395114179, 'eval_runtime': 94.4681, 'eval_samples_per_second': 79.731, 'eval_steps_per_second': 4.986}
{'eval_loss': 1.1533112525939941, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.661975570897504, 'eval_runtime': 97.8102, 'eval_samples_per_second': 77.006, 'eval_steps_per_second': 4.815}
{'eval_loss': 1.148232340812683, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.669012214551248, 'eval_runtime': 101.371, 'eval_samples_per_second': 74.301, 'eval_steps_per_second': 4.646}
{'eval_loss': 1.141730785369873, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.669012214551248, 'eval_runtime': 84.539, 'eval_samples_per_second': 89.095, 'eval_steps_per_second': 5.571}
