{'eval_loss': 3.2126846313476562, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.07766861391396708, 'eval_runtime': 106.2513, 'eval_samples_per_second': 70.889, 'eval_steps_per_second': 4.433}
{'eval_loss': 3.212630271911621, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.07766861391396708, 'eval_runtime': 105.4212, 'eval_samples_per_second': 71.447, 'eval_steps_per_second': 4.468}
{'eval_loss': 3.210583448410034, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.07793414763674987, 'eval_runtime': 106.6496, 'eval_samples_per_second': 70.624, 'eval_steps_per_second': 4.416}
{'eval_loss': 3.202289581298828, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.07859798194370685, 'eval_runtime': 106.0645, 'eval_samples_per_second': 71.013, 'eval_steps_per_second': 4.441}
{'eval_loss': 3.1720497608184814, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.08085501858736059, 'eval_runtime': 105.3327, 'eval_samples_per_second': 71.507, 'eval_steps_per_second': 4.472}
{'eval_loss': 3.0592563152313232, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.09014869888475836, 'eval_runtime': 105.4845, 'eval_samples_per_second': 71.404, 'eval_steps_per_second': 4.465}
{'eval_loss': 2.7559030055999756, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.17870419543281996, 'eval_runtime': 105.3384, 'eval_samples_per_second': 71.503, 'eval_steps_per_second': 4.471}
{'eval_loss': 2.281712532043457, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.34572490706319703, 'eval_runtime': 99.7678, 'eval_samples_per_second': 75.495, 'eval_steps_per_second': 4.721}
{'eval_loss': 2.0108001232147217, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.4247211895910781, 'eval_runtime': 99.111, 'eval_samples_per_second': 75.996, 'eval_steps_per_second': 4.752}
{'eval_loss': 1.7988109588623047, 'eval_model_preparation_time': 0.0111, 'eval_acc': 0.490971853425385, 'eval_runtime': 95.7821, 'eval_samples_per_second': 78.637, 'eval_steps_per_second': 4.917}
{'eval_loss': 1.6242344379425049, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.5280138077535848, 'eval_runtime': 97.0994, 'eval_samples_per_second': 77.57, 'eval_steps_per_second': 4.851}
{'eval_loss': 1.496224284172058, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.5562931492299522, 'eval_runtime': 97.461, 'eval_samples_per_second': 77.282, 'eval_steps_per_second': 4.833}
{'eval_loss': 1.4311625957489014, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.5681093998937865, 'eval_runtime': 98.9727, 'eval_samples_per_second': 76.102, 'eval_steps_per_second': 4.759}
{'eval_loss': 1.3891674280166626, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.5756771109930962, 'eval_runtime': 100.398, 'eval_samples_per_second': 75.021, 'eval_steps_per_second': 4.691}
{'eval_loss': 1.3608299493789673, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.5828465215082316, 'eval_runtime': 101.4786, 'eval_samples_per_second': 74.223, 'eval_steps_per_second': 4.641}
{'eval_loss': 1.3526479005813599, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.5844397238449283, 'eval_runtime': 102.2558, 'eval_samples_per_second': 73.658, 'eval_steps_per_second': 4.606}
{'eval_loss': 1.3363529443740845, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.5938661710037175, 'eval_runtime': 105.1242, 'eval_samples_per_second': 71.649, 'eval_steps_per_second': 4.48}
{'eval_loss': 1.3193917274475098, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.6024960169941582, 'eval_runtime': 141.286, 'eval_samples_per_second': 53.31, 'eval_steps_per_second': 3.334}
{'eval_loss': 1.3047362565994263, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.6100637280934679, 'eval_runtime': 145.5081, 'eval_samples_per_second': 51.763, 'eval_steps_per_second': 3.237}
{'eval_loss': 1.2904863357543945, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.6188263409453001, 'eval_runtime': 144.9753, 'eval_samples_per_second': 51.954, 'eval_steps_per_second': 3.249}
{'eval_loss': 1.2846132516860962, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.6209506107275624, 'eval_runtime': 146.1898, 'eval_samples_per_second': 51.522, 'eval_steps_per_second': 3.222}
{'eval_loss': 1.2728242874145508, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.6286510886882634, 'eval_runtime': 140.5232, 'eval_samples_per_second': 53.6, 'eval_steps_per_second': 3.352}
{'eval_loss': 1.2615644931793213, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.6326340945300053, 'eval_runtime': 140.8311, 'eval_samples_per_second': 53.482, 'eval_steps_per_second': 3.344}
{'eval_loss': 1.258535385131836, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.6332979288369623, 'eval_runtime': 142.1821, 'eval_samples_per_second': 52.974, 'eval_steps_per_second': 3.313}
{'eval_loss': 1.2450854778289795, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.6355549654806161, 'eval_runtime': 159.3215, 'eval_samples_per_second': 47.275, 'eval_steps_per_second': 2.956}
{'eval_loss': 1.2321465015411377, 'eval_model_preparation_time': 0.0271, 'eval_acc': 0.6404673393520978, 'eval_runtime': 216.8043, 'eval_samples_per_second': 34.741, 'eval_steps_per_second': 2.172}
{'eval_loss': 1.2281227111816406, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.6395379713223579, 'eval_runtime': 215.0703, 'eval_samples_per_second': 35.021, 'eval_steps_per_second': 2.19}
{'eval_loss': 1.2146186828613281, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.6412639405204461, 'eval_runtime': 230.946, 'eval_samples_per_second': 32.614, 'eval_steps_per_second': 2.039}
{'eval_loss': 1.2080744504928589, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.6464418481147106, 'eval_runtime': 229.103, 'eval_samples_per_second': 32.876, 'eval_steps_per_second': 2.056}
{'eval_loss': 1.198906421661377, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.651619755708975, 'eval_runtime': 234.8305, 'eval_samples_per_second': 32.074, 'eval_steps_per_second': 2.006}
{'eval_loss': 1.1973479986190796, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.6514869888475836, 'eval_runtime': 238.5313, 'eval_samples_per_second': 31.577, 'eval_steps_per_second': 1.975}
{'eval_loss': 1.1872202157974243, 'eval_model_preparation_time': 0.0175, 'eval_acc': 0.6544078597981944, 'eval_runtime': 197.308, 'eval_samples_per_second': 38.174, 'eval_steps_per_second': 2.387}
{'eval_loss': 1.1808595657348633, 'eval_model_preparation_time': 0.0402, 'eval_acc': 0.6590546999468933, 'eval_runtime': 196.1514, 'eval_samples_per_second': 38.399, 'eval_steps_per_second': 2.401}
{'eval_loss': 1.1800504922866821, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.66064790228359, 'eval_runtime': 256.5057, 'eval_samples_per_second': 29.364, 'eval_steps_per_second': 1.836}
{'eval_loss': 1.1799423694610596, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.6598513011152416, 'eval_runtime': 255.8692, 'eval_samples_per_second': 29.437, 'eval_steps_per_second': 1.841}
{'eval_loss': 1.1716877222061157, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.6627721720658524, 'eval_runtime': 251.9562, 'eval_samples_per_second': 29.894, 'eval_steps_per_second': 1.869}
{'eval_loss': 1.169784426689148, 'eval_model_preparation_time': 0.0171, 'eval_acc': 0.6593202336696761, 'eval_runtime': 252.5358, 'eval_samples_per_second': 29.825, 'eval_steps_per_second': 1.865}
{'eval_loss': 1.1659159660339355, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.6630377057886352, 'eval_runtime': 251.7003, 'eval_samples_per_second': 29.924, 'eval_steps_per_second': 1.871}
{'eval_loss': 1.156479001045227, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.6631704726500266, 'eval_runtime': 252.529, 'eval_samples_per_second': 29.826, 'eval_steps_per_second': 1.865}
{'eval_loss': 1.1533739566802979, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.6627721720658524, 'eval_runtime': 251.1214, 'eval_samples_per_second': 29.993, 'eval_steps_per_second': 1.876}
{'eval_loss': 1.152693510055542, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.6637015400955921, 'eval_runtime': 252.9124, 'eval_samples_per_second': 29.781, 'eval_steps_per_second': 1.862}
{'eval_loss': 1.149207592010498, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.6692777482740307, 'eval_runtime': 252.3407, 'eval_samples_per_second': 29.849, 'eval_steps_per_second': 1.867}
{'eval_loss': 1.1470763683319092, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.6688794476898566, 'eval_runtime': 253.0278, 'eval_samples_per_second': 29.767, 'eval_steps_per_second': 1.861}
