{'eval_loss': 1.443575143814087, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.556558682952735, 'eval_runtime': 102.4161, 'eval_samples_per_second': 73.543, 'eval_steps_per_second': 4.599}
{'eval_loss': 1.3739047050476074, 'eval_model_preparation_time': 0.021, 'eval_acc': 0.5804567180031864, 'eval_runtime': 95.4975, 'eval_samples_per_second': 78.871, 'eval_steps_per_second': 4.932}
{'eval_loss': 1.3020014762878418, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.6182952734997345, 'eval_runtime': 88.6144, 'eval_samples_per_second': 84.997, 'eval_steps_per_second': 5.315}
{'eval_loss': 1.3027931451797485, 'eval_model_preparation_time': 0.0256, 'eval_acc': 0.6182952734997345, 'eval_runtime': 84.1022, 'eval_samples_per_second': 89.558, 'eval_steps_per_second': 5.6}
{'eval_loss': 1.2276208400726318, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.6465746149761019, 'eval_runtime': 99.0781, 'eval_samples_per_second': 76.021, 'eval_steps_per_second': 4.754}
{'eval_loss': 1.238157868385315, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.6355549654806161, 'eval_runtime': 83.3179, 'eval_samples_per_second': 90.401, 'eval_steps_per_second': 5.653}
{'eval_loss': 1.2279211282730103, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.6500265533722783, 'eval_runtime': 98.6519, 'eval_samples_per_second': 76.349, 'eval_steps_per_second': 4.774}
{'eval_loss': 1.2465224266052246, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.6364843335103558, 'eval_runtime': 101.9017, 'eval_samples_per_second': 73.914, 'eval_steps_per_second': 4.622}
{'eval_loss': 1.2131613492965698, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.6403345724907064, 'eval_runtime': 95.2325, 'eval_samples_per_second': 79.091, 'eval_steps_per_second': 4.946}
{'eval_loss': 1.1885676383972168, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.6552044609665427, 'eval_runtime': 95.1042, 'eval_samples_per_second': 79.197, 'eval_steps_per_second': 4.952}
{'eval_loss': 1.2083330154418945, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.6525491237387148, 'eval_runtime': 91.8566, 'eval_samples_per_second': 81.997, 'eval_steps_per_second': 5.128}
{'eval_loss': 1.1818664073944092, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.6597185342538502, 'eval_runtime': 93.7827, 'eval_samples_per_second': 80.313, 'eval_steps_per_second': 5.022}
{'eval_loss': 1.177884817123413, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.659984067976633, 'eval_runtime': 79.6583, 'eval_samples_per_second': 94.554, 'eval_steps_per_second': 5.913}
{'eval_loss': 1.141406774520874, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.6751194901752523, 'eval_runtime': 83.9476, 'eval_samples_per_second': 89.723, 'eval_steps_per_second': 5.611}
{'eval_loss': 1.1658763885498047, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.6662241104620287, 'eval_runtime': 80.02, 'eval_samples_per_second': 94.126, 'eval_steps_per_second': 5.886}
{'eval_loss': 1.1775758266448975, 'eval_model_preparation_time': 0.0293, 'eval_acc': 0.6557355284121084, 'eval_runtime': 79.3133, 'eval_samples_per_second': 94.965, 'eval_steps_per_second': 5.938}
{'eval_loss': 1.1574153900146484, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.6788369622942113, 'eval_runtime': 79.5827, 'eval_samples_per_second': 94.644, 'eval_steps_per_second': 5.918}
{'eval_loss': 1.1632531881332397, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.668348380244291, 'eval_runtime': 69.7166, 'eval_samples_per_second': 108.037, 'eval_steps_per_second': 6.756}
{'eval_loss': 1.1685335636138916, 'eval_model_preparation_time': 0.0363, 'eval_acc': 0.676048858204992, 'eval_runtime': 57.9532, 'eval_samples_per_second': 129.967, 'eval_steps_per_second': 8.127}
{'eval_loss': 1.1568324565887451, 'eval_model_preparation_time': 0.0127, 'eval_acc': 0.6728624535315985, 'eval_runtime': 62.9117, 'eval_samples_per_second': 119.723, 'eval_steps_per_second': 7.487}
{'eval_loss': 1.1439874172210693, 'eval_model_preparation_time': 0.0114, 'eval_acc': 0.6745884227296867, 'eval_runtime': 59.8714, 'eval_samples_per_second': 125.803, 'eval_steps_per_second': 7.867}
{'eval_loss': 1.1462444067001343, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.6711364843335104, 'eval_runtime': 67.9111, 'eval_samples_per_second': 110.91, 'eval_steps_per_second': 6.936}
{'eval_loss': 1.1485309600830078, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.6704726500265533, 'eval_runtime': 74.4552, 'eval_samples_per_second': 101.162, 'eval_steps_per_second': 6.326}
{'eval_loss': 1.1599452495574951, 'eval_model_preparation_time': 0.0161, 'eval_acc': 0.6723313860860329, 'eval_runtime': 74.6645, 'eval_samples_per_second': 100.878, 'eval_steps_per_second': 6.308}
{'eval_loss': 1.1668128967285156, 'eval_model_preparation_time': 0.0086, 'eval_acc': 0.6644981412639405, 'eval_runtime': 73.708, 'eval_samples_per_second': 102.187, 'eval_steps_per_second': 6.39}
{'eval_loss': 1.1550763845443726, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.670339883165162, 'eval_runtime': 81.82, 'eval_samples_per_second': 92.056, 'eval_steps_per_second': 5.757}
{'eval_loss': 1.1530234813690186, 'eval_model_preparation_time': 0.0144, 'eval_acc': 0.6728624535315985, 'eval_runtime': 72.8396, 'eval_samples_per_second': 103.405, 'eval_steps_per_second': 6.466}
{'eval_loss': 1.1443527936935425, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.6771109930961232, 'eval_runtime': 96.0665, 'eval_samples_per_second': 78.404, 'eval_steps_per_second': 4.903}
{'eval_loss': 1.1383960247039795, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.6808284652150823, 'eval_runtime': 94.9571, 'eval_samples_per_second': 79.32, 'eval_steps_per_second': 4.96}
{'eval_loss': 1.1778632402420044, 'eval_model_preparation_time': 0.0133, 'eval_acc': 0.6679500796601169, 'eval_runtime': 99.6188, 'eval_samples_per_second': 75.608, 'eval_steps_per_second': 4.728}
{'eval_loss': 1.175747275352478, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.6721986192246415, 'eval_runtime': 100.2882, 'eval_samples_per_second': 75.104, 'eval_steps_per_second': 4.696}
{'eval_loss': 1.158467411994934, 'eval_model_preparation_time': 0.0111, 'eval_acc': 0.6735262878385555, 'eval_runtime': 91.7431, 'eval_samples_per_second': 82.099, 'eval_steps_per_second': 5.134}
{'eval_loss': 1.1425354480743408, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.6791024960169941, 'eval_runtime': 89.4038, 'eval_samples_per_second': 84.247, 'eval_steps_per_second': 5.268}
{'eval_loss': 1.1725469827651978, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.676048858204992, 'eval_runtime': 92.1975, 'eval_samples_per_second': 81.694, 'eval_steps_per_second': 5.109}
{'eval_loss': 1.1314204931259155, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.6879978757302178, 'eval_runtime': 86.2069, 'eval_samples_per_second': 87.371, 'eval_steps_per_second': 5.464}
{'eval_loss': 1.1708064079284668, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.674057355284121, 'eval_runtime': 62.0585, 'eval_samples_per_second': 121.369, 'eval_steps_per_second': 7.59}
{'eval_loss': 1.1526106595993042, 'eval_model_preparation_time': 0.0341, 'eval_acc': 0.6752522570366436, 'eval_runtime': 88.6277, 'eval_samples_per_second': 84.985, 'eval_steps_per_second': 5.314}
{'eval_loss': 1.1454261541366577, 'eval_model_preparation_time': 0.0147, 'eval_acc': 0.6785714285714286, 'eval_runtime': 90.3024, 'eval_samples_per_second': 83.409, 'eval_steps_per_second': 5.216}
{'eval_loss': 1.1213065385818481, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.6849442379182156, 'eval_runtime': 85.9487, 'eval_samples_per_second': 87.634, 'eval_steps_per_second': 5.48}
{'eval_loss': 1.1345773935317993, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.6798990971853426, 'eval_runtime': 76.3589, 'eval_samples_per_second': 98.639, 'eval_steps_per_second': 6.168}
