{'eval_loss': 3.0150301456451416, 'eval_model_preparation_time': 0.0086, 'eval_acc': 0.09599044078597982, 'eval_runtime': 89.5559, 'eval_samples_per_second': 84.104, 'eval_steps_per_second': 5.259}
{'eval_loss': 2.998081684112549, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.10674455655868295, 'eval_runtime': 89.4037, 'eval_samples_per_second': 84.247, 'eval_steps_per_second': 5.268}
{'eval_loss': 2.9666268825531006, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.12519915029208709, 'eval_runtime': 86.2309, 'eval_samples_per_second': 87.347, 'eval_steps_per_second': 5.462}
{'eval_loss': 2.920104503631592, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.14803505045140733, 'eval_runtime': 81.566, 'eval_samples_per_second': 92.342, 'eval_steps_per_second': 5.774}
{'eval_loss': 2.8500490188598633, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.1810939989378651, 'eval_runtime': 86.3145, 'eval_samples_per_second': 87.262, 'eval_steps_per_second': 5.457}
{'eval_loss': 2.753446340560913, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.22065852363250132, 'eval_runtime': 87.3515, 'eval_samples_per_second': 86.226, 'eval_steps_per_second': 5.392}
{'eval_loss': 2.6439311504364014, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.2421667551779076, 'eval_runtime': 86.893, 'eval_samples_per_second': 86.681, 'eval_steps_per_second': 5.42}
{'eval_loss': 2.554889678955078, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.28385554965480614, 'eval_runtime': 87.1406, 'eval_samples_per_second': 86.435, 'eval_steps_per_second': 5.405}
{'eval_loss': 2.495087146759033, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.3193043016463091, 'eval_runtime': 90.0183, 'eval_samples_per_second': 83.672, 'eval_steps_per_second': 5.232}
{'eval_loss': 2.4599146842956543, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.3413436006372809, 'eval_runtime': 87.7547, 'eval_samples_per_second': 85.83, 'eval_steps_per_second': 5.367}
{'eval_loss': 2.425441026687622, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.3700212426978226, 'eval_runtime': 123.1667, 'eval_samples_per_second': 61.153, 'eval_steps_per_second': 3.824}
{'eval_loss': 2.4045441150665283, 'eval_model_preparation_time': 0.0135, 'eval_acc': 0.3741370154009559, 'eval_runtime': 156.215, 'eval_samples_per_second': 48.216, 'eval_steps_per_second': 3.015}
{'eval_loss': 2.3806815147399902, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.39365374402549125, 'eval_runtime': 181.2687, 'eval_samples_per_second': 41.552, 'eval_steps_per_second': 2.598}
{'eval_loss': 2.366779327392578, 'eval_model_preparation_time': 0.0141, 'eval_acc': 0.4030801911842804, 'eval_runtime': 176.0866, 'eval_samples_per_second': 42.774, 'eval_steps_per_second': 2.675}
{'eval_loss': 2.348254680633545, 'eval_model_preparation_time': 0.027, 'eval_acc': 0.4148964418481147, 'eval_runtime': 179.0911, 'eval_samples_per_second': 42.057, 'eval_steps_per_second': 2.63}
{'eval_loss': 2.3465118408203125, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.40427509293680297, 'eval_runtime': 176.1607, 'eval_samples_per_second': 42.756, 'eval_steps_per_second': 2.674}
{'eval_loss': 2.3313467502593994, 'eval_model_preparation_time': 0.0147, 'eval_acc': 0.40918746680828466, 'eval_runtime': 175.118, 'eval_samples_per_second': 43.011, 'eval_steps_per_second': 2.69}
{'eval_loss': 2.319121837615967, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.4204726500265534, 'eval_runtime': 166.2582, 'eval_samples_per_second': 45.303, 'eval_steps_per_second': 2.833}
{'eval_loss': 2.3173787593841553, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.41317047265002654, 'eval_runtime': 132.7951, 'eval_samples_per_second': 56.719, 'eval_steps_per_second': 3.547}
{'eval_loss': 2.3108577728271484, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.4156930430164631, 'eval_runtime': 138.7084, 'eval_samples_per_second': 54.301, 'eval_steps_per_second': 3.396}
