{'eval_loss': 3.1876184940338135, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.07846521508231545, 'eval_runtime': 102.0663, 'eval_samples_per_second': 73.795, 'eval_steps_per_second': 4.615}
{'eval_loss': 3.1876156330108643, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.07846521508231545, 'eval_runtime': 127.1995, 'eval_samples_per_second': 59.214, 'eval_steps_per_second': 3.703}
{'eval_loss': 3.187331438064575, 'eval_model_preparation_time': 0.011, 'eval_acc': 0.07859798194370685, 'eval_runtime': 129.7895, 'eval_samples_per_second': 58.032, 'eval_steps_per_second': 3.629}
{'eval_loss': 3.186065435409546, 'eval_model_preparation_time': 0.011, 'eval_acc': 0.07899628252788105, 'eval_runtime': 131.9354, 'eval_samples_per_second': 57.089, 'eval_steps_per_second': 3.57}
{'eval_loss': 3.17818546295166, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.07979288369622942, 'eval_runtime': 131.41, 'eval_samples_per_second': 57.317, 'eval_steps_per_second': 3.584}
{'eval_loss': 3.1573708057403564, 'eval_model_preparation_time': 0.0118, 'eval_acc': 0.08271375464684015, 'eval_runtime': 129.6915, 'eval_samples_per_second': 58.076, 'eval_steps_per_second': 3.632}
{'eval_loss': 3.0570473670959473, 'eval_model_preparation_time': 0.0152, 'eval_acc': 0.09957514604354753, 'eval_runtime': 151.2143, 'eval_samples_per_second': 49.81, 'eval_steps_per_second': 3.115}
{'eval_loss': 2.8037710189819336, 'eval_model_preparation_time': 0.0181, 'eval_acc': 0.17963356346255974, 'eval_runtime': 161.3841, 'eval_samples_per_second': 46.671, 'eval_steps_per_second': 2.919}
{'eval_loss': 2.461750030517578, 'eval_model_preparation_time': 0.0294, 'eval_acc': 0.31638343069569835, 'eval_runtime': 209.5757, 'eval_samples_per_second': 35.939, 'eval_steps_per_second': 2.247}
{'eval_loss': 2.0245962142944336, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.44158258098778547, 'eval_runtime': 216.2152, 'eval_samples_per_second': 34.836, 'eval_steps_per_second': 2.178}
{'eval_loss': 1.8127318620681763, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.4901752522570366, 'eval_runtime': 213.6484, 'eval_samples_per_second': 35.254, 'eval_steps_per_second': 2.205}
{'eval_loss': 1.6456122398376465, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.5223048327137546, 'eval_runtime': 227.7525, 'eval_samples_per_second': 33.071, 'eval_steps_per_second': 2.068}
{'eval_loss': 1.509436845779419, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.5505841741901222, 'eval_runtime': 220.3519, 'eval_samples_per_second': 34.182, 'eval_steps_per_second': 2.137}
{'eval_loss': 1.4274470806121826, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.561603823685608, 'eval_runtime': 228.6266, 'eval_samples_per_second': 32.945, 'eval_steps_per_second': 2.06}
{'eval_loss': 1.3842757940292358, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.573287307488051, 'eval_runtime': 179.5184, 'eval_samples_per_second': 41.957, 'eval_steps_per_second': 2.624}
{'eval_loss': 1.3625802993774414, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.5820499203398831, 'eval_runtime': 181.5195, 'eval_samples_per_second': 41.494, 'eval_steps_per_second': 2.595}
{'eval_loss': 1.346261978149414, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.5936006372809347, 'eval_runtime': 245.6443, 'eval_samples_per_second': 30.662, 'eval_steps_per_second': 1.917}
{'eval_loss': 1.3281335830688477, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.6001062134891131, 'eval_runtime': 241.2873, 'eval_samples_per_second': 31.216, 'eval_steps_per_second': 1.952}
{'eval_loss': 1.3169927597045898, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.6079394583112055, 'eval_runtime': 246.9967, 'eval_samples_per_second': 30.494, 'eval_steps_per_second': 1.907}
{'eval_loss': 1.3024486303329468, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.615108868826341, 'eval_runtime': 247.8455, 'eval_samples_per_second': 30.39, 'eval_steps_per_second': 1.9}
{'eval_loss': 1.293876051902771, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.6214816781731279, 'eval_runtime': 245.6811, 'eval_samples_per_second': 30.658, 'eval_steps_per_second': 1.917}
{'eval_loss': 1.2762209177017212, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.6301115241635687, 'eval_runtime': 242.7378, 'eval_samples_per_second': 31.029, 'eval_steps_per_second': 1.94}
{'eval_loss': 1.2611747980117798, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.63688263409453, 'eval_runtime': 242.6559, 'eval_samples_per_second': 31.04, 'eval_steps_per_second': 1.941}
