{'eval_loss': 1.4803588390350342, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.555894848645778, 'eval_runtime': 92.0979, 'eval_samples_per_second': 81.783, 'eval_steps_per_second': 5.114}
{'eval_loss': 1.3869484663009644, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.5754115772703133, 'eval_runtime': 62.2119, 'eval_samples_per_second': 121.07, 'eval_steps_per_second': 7.571}
{'eval_loss': 1.3255192041397095, 'eval_model_preparation_time': 0.0339, 'eval_acc': 0.5966542750929368, 'eval_runtime': 58.4534, 'eval_samples_per_second': 128.855, 'eval_steps_per_second': 8.058}
{'eval_loss': 1.306074857711792, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.6119224641529474, 'eval_runtime': 58.9231, 'eval_samples_per_second': 127.828, 'eval_steps_per_second': 7.993}
{'eval_loss': 1.2580220699310303, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.633563462559745, 'eval_runtime': 60.3785, 'eval_samples_per_second': 124.746, 'eval_steps_per_second': 7.801}
{'eval_loss': 1.2547789812088013, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.6328996282527881, 'eval_runtime': 64.1423, 'eval_samples_per_second': 117.426, 'eval_steps_per_second': 7.343}
{'eval_loss': 1.240710735321045, 'eval_model_preparation_time': 0.0127, 'eval_acc': 0.6339617631439193, 'eval_runtime': 79.4394, 'eval_samples_per_second': 94.814, 'eval_steps_per_second': 5.929}
{'eval_loss': 1.2483017444610596, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.6327668613913967, 'eval_runtime': 84.5687, 'eval_samples_per_second': 89.064, 'eval_steps_per_second': 5.569}
{'eval_loss': 1.2395342588424683, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.6343600637280935, 'eval_runtime': 78.2378, 'eval_samples_per_second': 96.271, 'eval_steps_per_second': 6.02}
{'eval_loss': 1.2058324813842773, 'eval_model_preparation_time': 0.0176, 'eval_acc': 0.6481678173127987, 'eval_runtime': 80.0542, 'eval_samples_per_second': 94.086, 'eval_steps_per_second': 5.884}
{'eval_loss': 1.1977084875106812, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.6569304301646309, 'eval_runtime': 83.0641, 'eval_samples_per_second': 90.677, 'eval_steps_per_second': 5.67}
{'eval_loss': 1.1904115676879883, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.6618428040361126, 'eval_runtime': 83.8424, 'eval_samples_per_second': 89.835, 'eval_steps_per_second': 5.618}
{'eval_loss': 1.1781617403030396, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.6598513011152416, 'eval_runtime': 74.9191, 'eval_samples_per_second': 100.535, 'eval_steps_per_second': 6.287}
{'eval_loss': 1.1655899286270142, 'eval_model_preparation_time': 0.0158, 'eval_acc': 0.6621083377588953, 'eval_runtime': 76.1266, 'eval_samples_per_second': 98.94, 'eval_steps_per_second': 6.187}
{'eval_loss': 1.1550623178482056, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.670339883165162, 'eval_runtime': 73.6751, 'eval_samples_per_second': 102.233, 'eval_steps_per_second': 6.393}
{'eval_loss': 1.1703364849090576, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.6618428040361126, 'eval_runtime': 66.2703, 'eval_samples_per_second': 113.656, 'eval_steps_per_second': 7.107}
{'eval_loss': 1.1661301851272583, 'eval_model_preparation_time': 0.0128, 'eval_acc': 0.6663568773234201, 'eval_runtime': 67.0499, 'eval_samples_per_second': 112.334, 'eval_steps_per_second': 7.025}
{'eval_loss': 1.1681859493255615, 'eval_model_preparation_time': 0.0293, 'eval_acc': 0.6671534784917684, 'eval_runtime': 61.5867, 'eval_samples_per_second': 122.299, 'eval_steps_per_second': 7.648}
{'eval_loss': 1.1604113578796387, 'eval_model_preparation_time': 0.0135, 'eval_acc': 0.6741901221455124, 'eval_runtime': 69.2111, 'eval_samples_per_second': 108.826, 'eval_steps_per_second': 6.805}
{'eval_loss': 1.1851496696472168, 'eval_model_preparation_time': 0.0126, 'eval_acc': 0.6711364843335104, 'eval_runtime': 82.9033, 'eval_samples_per_second': 90.853, 'eval_steps_per_second': 5.681}
{'eval_loss': 1.1696877479553223, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.6718003186404673, 'eval_runtime': 68.1236, 'eval_samples_per_second': 110.564, 'eval_steps_per_second': 6.914}
{'eval_loss': 1.159648060798645, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.6721986192246415, 'eval_runtime': 63.968, 'eval_samples_per_second': 117.746, 'eval_steps_per_second': 7.363}
{'eval_loss': 1.1327182054519653, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.6764471587891662, 'eval_runtime': 81.6532, 'eval_samples_per_second': 92.244, 'eval_steps_per_second': 5.768}
{'eval_loss': 1.1415315866470337, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.675385023898035, 'eval_runtime': 74.7071, 'eval_samples_per_second': 100.82, 'eval_steps_per_second': 6.305}
{'eval_loss': 1.1536166667938232, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.6718003186404673, 'eval_runtime': 84.5929, 'eval_samples_per_second': 89.038, 'eval_steps_per_second': 5.568}
{'eval_loss': 1.1524138450622559, 'eval_model_preparation_time': 0.0127, 'eval_acc': 0.6720658523632501, 'eval_runtime': 71.9072, 'eval_samples_per_second': 104.746, 'eval_steps_per_second': 6.55}
{'eval_loss': 1.161256194114685, 'eval_model_preparation_time': 0.0135, 'eval_acc': 0.6720658523632501, 'eval_runtime': 70.8444, 'eval_samples_per_second': 106.318, 'eval_steps_per_second': 6.648}
{'eval_loss': 1.150327444076538, 'eval_model_preparation_time': 0.0143, 'eval_acc': 0.6739245884227297, 'eval_runtime': 68.4846, 'eval_samples_per_second': 109.981, 'eval_steps_per_second': 6.877}
{'eval_loss': 1.1628146171569824, 'eval_model_preparation_time': 0.0679, 'eval_acc': 0.6715347849176846, 'eval_runtime': 67.202, 'eval_samples_per_second': 112.08, 'eval_steps_per_second': 7.009}
{'eval_loss': 1.1444337368011475, 'eval_model_preparation_time': 0.0235, 'eval_acc': 0.6776420605416887, 'eval_runtime': 70.1693, 'eval_samples_per_second': 107.34, 'eval_steps_per_second': 6.712}
{'eval_loss': 1.1541756391525269, 'eval_model_preparation_time': 0.0131, 'eval_acc': 0.6739245884227297, 'eval_runtime': 78.3261, 'eval_samples_per_second': 96.162, 'eval_steps_per_second': 6.013}
{'eval_loss': 1.1510902643203735, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.6735262878385555, 'eval_runtime': 68.7265, 'eval_samples_per_second': 109.594, 'eval_steps_per_second': 6.853}
{'eval_loss': 1.1470824480056763, 'eval_model_preparation_time': 0.0169, 'eval_acc': 0.6808284652150823, 'eval_runtime': 82.7387, 'eval_samples_per_second': 91.034, 'eval_steps_per_second': 5.693}
{'eval_loss': 1.1494972705841064, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.6808284652150823, 'eval_runtime': 83.3595, 'eval_samples_per_second': 90.356, 'eval_steps_per_second': 5.65}
{'eval_loss': 1.1459709405899048, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.6822889006903877, 'eval_runtime': 84.047, 'eval_samples_per_second': 89.617, 'eval_steps_per_second': 5.604}
