{'eval_loss': 3.4560418128967285, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.10807222517259692, 'eval_runtime': 50.572, 'eval_samples_per_second': 148.936, 'eval_steps_per_second': 9.313}
{'eval_loss': 2.838228702545166, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.2588953797132236, 'eval_runtime': 56.7183, 'eval_samples_per_second': 132.797, 'eval_steps_per_second': 8.304}
{'eval_loss': 2.239361047744751, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.3960435475305364, 'eval_runtime': 86.8765, 'eval_samples_per_second': 86.698, 'eval_steps_per_second': 5.421}
{'eval_loss': 2.011033773422241, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.4291024960169942, 'eval_runtime': 70.8529, 'eval_samples_per_second': 106.305, 'eval_steps_per_second': 6.648}
{'eval_loss': 1.8134791851043701, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.45724907063197023, 'eval_runtime': 81.2386, 'eval_samples_per_second': 92.715, 'eval_steps_per_second': 5.798}
{'eval_loss': 1.7143278121948242, 'eval_model_preparation_time': 0.0409, 'eval_acc': 0.4727827934147637, 'eval_runtime': 78.3068, 'eval_samples_per_second': 96.186, 'eval_steps_per_second': 6.015}
{'eval_loss': 1.613802194595337, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.49960169941582583, 'eval_runtime': 87.4523, 'eval_samples_per_second': 86.127, 'eval_steps_per_second': 5.386}
{'eval_loss': 1.5843650102615356, 'eval_model_preparation_time': 0.0127, 'eval_acc': 0.5116834838024429, 'eval_runtime': 88.2899, 'eval_samples_per_second': 85.31, 'eval_steps_per_second': 5.335}
{'eval_loss': 1.555269479751587, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.5277482740308019, 'eval_runtime': 88.3684, 'eval_samples_per_second': 85.234, 'eval_steps_per_second': 5.33}
{'eval_loss': 1.5107964277267456, 'eval_model_preparation_time': 0.0179, 'eval_acc': 0.5472650026553372, 'eval_runtime': 80.7774, 'eval_samples_per_second': 93.244, 'eval_steps_per_second': 5.831}
{'eval_loss': 1.4905859231948853, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.5504514073287308, 'eval_runtime': 75.3974, 'eval_samples_per_second': 99.897, 'eval_steps_per_second': 6.247}
{'eval_loss': 1.4648035764694214, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.5602761550716941, 'eval_runtime': 64.8747, 'eval_samples_per_second': 116.101, 'eval_steps_per_second': 7.26}
