{'eval_loss': 3.5884668827056885, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.08218268720127456, 'eval_runtime': 105.9443, 'eval_samples_per_second': 71.094, 'eval_steps_per_second': 4.446}
{'eval_loss': 3.5881826877593994, 'eval_model_preparation_time': 0.0135, 'eval_acc': 0.08231545406266595, 'eval_runtime': 105.1591, 'eval_samples_per_second': 71.625, 'eval_steps_per_second': 4.479}
{'eval_loss': 3.586244583129883, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.08337758895379713, 'eval_runtime': 106.969, 'eval_samples_per_second': 70.413, 'eval_steps_per_second': 4.403}
{'eval_loss': 3.574890613555908, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.08682952734997344, 'eval_runtime': 106.168, 'eval_samples_per_second': 70.944, 'eval_steps_per_second': 4.436}
{'eval_loss': 3.534918785095215, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.0932023366967605, 'eval_runtime': 105.7047, 'eval_samples_per_second': 71.255, 'eval_steps_per_second': 4.456}
{'eval_loss': 3.4303197860717773, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.11550716941051513, 'eval_runtime': 104.2131, 'eval_samples_per_second': 72.275, 'eval_steps_per_second': 4.52}
{'eval_loss': 3.1642494201660156, 'eval_model_preparation_time': 0.02, 'eval_acc': 0.16781731279872544, 'eval_runtime': 105.5962, 'eval_samples_per_second': 71.328, 'eval_steps_per_second': 4.46}
{'eval_loss': 2.8118677139282227, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.28266064790228357, 'eval_runtime': 102.6013, 'eval_samples_per_second': 73.41, 'eval_steps_per_second': 4.591}
{'eval_loss': 2.5935611724853516, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.3503717472118959, 'eval_runtime': 98.4518, 'eval_samples_per_second': 76.504, 'eval_steps_per_second': 4.784}
{'eval_loss': 2.341463327407837, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.39856611789697294, 'eval_runtime': 97.2035, 'eval_samples_per_second': 77.487, 'eval_steps_per_second': 4.846}
{'eval_loss': 2.085660219192505, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.4248539564524695, 'eval_runtime': 99.5197, 'eval_samples_per_second': 75.684, 'eval_steps_per_second': 4.733}
{'eval_loss': 1.8342570066452026, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.4480881571959639, 'eval_runtime': 98.2308, 'eval_samples_per_second': 76.677, 'eval_steps_per_second': 4.795}
{'eval_loss': 1.7287365198135376, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.46083377588953794, 'eval_runtime': 99.7994, 'eval_samples_per_second': 75.471, 'eval_steps_per_second': 4.719}
{'eval_loss': 1.6716610193252563, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.47357939458311205, 'eval_runtime': 101.3479, 'eval_samples_per_second': 74.318, 'eval_steps_per_second': 4.647}
{'eval_loss': 1.6325753927230835, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.48154540626659587, 'eval_runtime': 101.0287, 'eval_samples_per_second': 74.553, 'eval_steps_per_second': 4.662}
{'eval_loss': 1.6069167852401733, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.49840679766330326, 'eval_runtime': 102.8766, 'eval_samples_per_second': 73.214, 'eval_steps_per_second': 4.578}
