{'eval_loss': 1.8504517078399658, 'eval_model_preparation_time': 0.0138, 'eval_acc': 0.443441317047265, 'eval_runtime': 102.2638, 'eval_samples_per_second': 73.653, 'eval_steps_per_second': 4.606}
{'eval_loss': 1.7048553228378296, 'eval_model_preparation_time': 0.0121, 'eval_acc': 0.45353159851301117, 'eval_runtime': 96.3165, 'eval_samples_per_second': 78.201, 'eval_steps_per_second': 4.89}
{'eval_loss': 1.6519646644592285, 'eval_model_preparation_time': 0.0126, 'eval_acc': 0.5173924588422729, 'eval_runtime': 92.1191, 'eval_samples_per_second': 81.764, 'eval_steps_per_second': 5.113}
{'eval_loss': 1.5889761447906494, 'eval_model_preparation_time': 0.032, 'eval_acc': 0.5205788635156665, 'eval_runtime': 91.8452, 'eval_samples_per_second': 82.008, 'eval_steps_per_second': 5.128}
{'eval_loss': 1.5270142555236816, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.5369091874668083, 'eval_runtime': 98.2752, 'eval_samples_per_second': 76.642, 'eval_steps_per_second': 4.793}
{'eval_loss': 1.4986412525177002, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.5533722782793414, 'eval_runtime': 90.5916, 'eval_samples_per_second': 83.142, 'eval_steps_per_second': 5.199}
{'eval_loss': 1.5220539569854736, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.5590812533191716, 'eval_runtime': 100.898, 'eval_samples_per_second': 74.65, 'eval_steps_per_second': 4.668}
{'eval_loss': 1.4649282693862915, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.56558682952735, 'eval_runtime': 101.8301, 'eval_samples_per_second': 73.966, 'eval_steps_per_second': 4.625}
{'eval_loss': 1.561035394668579, 'eval_model_preparation_time': 0.0734, 'eval_acc': 0.5513807753584705, 'eval_runtime': 87.5648, 'eval_samples_per_second': 86.016, 'eval_steps_per_second': 5.379}
{'eval_loss': 1.4632149934768677, 'eval_model_preparation_time': 0.0151, 'eval_acc': 0.5710302708443973, 'eval_runtime': 85.7241, 'eval_samples_per_second': 87.863, 'eval_steps_per_second': 5.494}
{'eval_loss': 1.4368175268173218, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.5799256505576208, 'eval_runtime': 87.4376, 'eval_samples_per_second': 86.141, 'eval_steps_per_second': 5.387}
{'eval_loss': 1.4443541765213013, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.5804567180031864, 'eval_runtime': 92.9979, 'eval_samples_per_second': 80.991, 'eval_steps_per_second': 5.065}
{'eval_loss': 1.4249120950698853, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.5774030801911842, 'eval_runtime': 70.9127, 'eval_samples_per_second': 106.215, 'eval_steps_per_second': 6.642}
{'eval_loss': 1.4011411666870117, 'eval_model_preparation_time': 0.0166, 'eval_acc': 0.5885554965480616, 'eval_runtime': 66.8213, 'eval_samples_per_second': 112.719, 'eval_steps_per_second': 7.049}
