{'eval_loss': 3.7095930576324463, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.08218268720127456, 'eval_runtime': 88.1859, 'eval_samples_per_second': 85.41, 'eval_steps_per_second': 5.341}
{'eval_loss': 3.6511754989624023, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.10674455655868295, 'eval_runtime': 88.7221, 'eval_samples_per_second': 84.894, 'eval_steps_per_second': 5.309}
{'eval_loss': 3.5598196983337402, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.1456452469463622, 'eval_runtime': 85.3863, 'eval_samples_per_second': 88.211, 'eval_steps_per_second': 5.516}
{'eval_loss': 3.2778825759887695, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.14670738183749335, 'eval_runtime': 84.368, 'eval_samples_per_second': 89.276, 'eval_steps_per_second': 5.583}
{'eval_loss': 2.9218833446502686, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.1370154009559214, 'eval_runtime': 87.3852, 'eval_samples_per_second': 86.193, 'eval_steps_per_second': 5.39}
{'eval_loss': 2.7629940509796143, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.2132235793945831, 'eval_runtime': 88.9601, 'eval_samples_per_second': 84.667, 'eval_steps_per_second': 5.295}
{'eval_loss': 2.7009737491607666, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.19078597981943707, 'eval_runtime': 81.481, 'eval_samples_per_second': 92.439, 'eval_steps_per_second': 5.78}
{'eval_loss': 2.640228033065796, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.22251725969198088, 'eval_runtime': 87.2686, 'eval_samples_per_second': 86.308, 'eval_steps_per_second': 5.397}
{'eval_loss': 2.5620172023773193, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.27283590015932024, 'eval_runtime': 89.3266, 'eval_samples_per_second': 84.32, 'eval_steps_per_second': 5.273}
{'eval_loss': 2.5109543800354004, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.29646840148698883, 'eval_runtime': 83.1955, 'eval_samples_per_second': 90.534, 'eval_steps_per_second': 5.661}
{'eval_loss': 2.4903101921081543, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.3025756771109931, 'eval_runtime': 117.0905, 'eval_samples_per_second': 64.326, 'eval_steps_per_second': 4.023}
{'eval_loss': 2.4557392597198486, 'eval_model_preparation_time': 0.0117, 'eval_acc': 0.3230217737652682, 'eval_runtime': 157.6364, 'eval_samples_per_second': 47.781, 'eval_steps_per_second': 2.988}
{'eval_loss': 2.4324870109558105, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.32846521508231546, 'eval_runtime': 181.9901, 'eval_samples_per_second': 41.387, 'eval_steps_per_second': 2.588}
{'eval_loss': 2.41634202003479, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.3256771109930961, 'eval_runtime': 175.5666, 'eval_samples_per_second': 42.901, 'eval_steps_per_second': 2.683}
{'eval_loss': 2.412963628768921, 'eval_model_preparation_time': 0.0321, 'eval_acc': 0.31784386617100374, 'eval_runtime': 168.8336, 'eval_samples_per_second': 44.612, 'eval_steps_per_second': 2.79}
{'eval_loss': 2.39959979057312, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.31996813595326606, 'eval_runtime': 170.1711, 'eval_samples_per_second': 44.261, 'eval_steps_per_second': 2.768}
{'eval_loss': 2.4086294174194336, 'eval_model_preparation_time': 0.0234, 'eval_acc': 0.31718003186404675, 'eval_runtime': 171.945, 'eval_samples_per_second': 43.805, 'eval_steps_per_second': 2.739}
{'eval_loss': 2.384077310562134, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.33244822092405735, 'eval_runtime': 176.2717, 'eval_samples_per_second': 42.729, 'eval_steps_per_second': 2.672}
{'eval_loss': 2.3732547760009766, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.34506107275624004, 'eval_runtime': 136.2363, 'eval_samples_per_second': 55.286, 'eval_steps_per_second': 3.457}
{'eval_loss': 2.370513916015625, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.35156664896441847, 'eval_runtime': 137.6111, 'eval_samples_per_second': 54.734, 'eval_steps_per_second': 3.423}
{'eval_loss': 2.3648033142089844, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.3471853425385024, 'eval_runtime': 138.4956, 'eval_samples_per_second': 54.384, 'eval_steps_per_second': 3.401}
{'eval_loss': 2.365757942199707, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.34014869888475835, 'eval_runtime': 140.4212, 'eval_samples_per_second': 53.639, 'eval_steps_per_second': 3.354}
{'eval_loss': 2.3662497997283936, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.34174190122145515, 'eval_runtime': 138.7889, 'eval_samples_per_second': 54.269, 'eval_steps_per_second': 3.394}
{'eval_loss': 2.3543121814727783, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.347052575677111, 'eval_runtime': 140.4135, 'eval_samples_per_second': 53.642, 'eval_steps_per_second': 3.354}
{'eval_loss': 2.3558168411254883, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.33961763143919277, 'eval_runtime': 139.5258, 'eval_samples_per_second': 53.983, 'eval_steps_per_second': 3.376}
{'eval_loss': 2.347001791000366, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.3244822092405735, 'eval_runtime': 141.197, 'eval_samples_per_second': 53.344, 'eval_steps_per_second': 3.336}
{'eval_loss': 2.3365566730499268, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.3455921402018056, 'eval_runtime': 145.4216, 'eval_samples_per_second': 51.794, 'eval_steps_per_second': 3.239}
{'eval_loss': 2.3301804065704346, 'eval_model_preparation_time': 0.0103, 'eval_acc': 0.3441317047265003, 'eval_runtime': 142.6255, 'eval_samples_per_second': 52.81, 'eval_steps_per_second': 3.302}
{'eval_loss': 2.3412773609161377, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.3328465215082315, 'eval_runtime': 140.7244, 'eval_samples_per_second': 53.523, 'eval_steps_per_second': 3.347}
{'eval_loss': 2.3278448581695557, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.3469198088157196, 'eval_runtime': 144.3747, 'eval_samples_per_second': 52.17, 'eval_steps_per_second': 3.262}
{'eval_loss': 2.325164794921875, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.34373340414232606, 'eval_runtime': 142.1282, 'eval_samples_per_second': 52.994, 'eval_steps_per_second': 3.314}
{'eval_loss': 2.325606346130371, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.3376261285183218, 'eval_runtime': 141.7487, 'eval_samples_per_second': 53.136, 'eval_steps_per_second': 3.323}
{'eval_loss': 2.3233890533447266, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.34028146574614976, 'eval_runtime': 142.8121, 'eval_samples_per_second': 52.741, 'eval_steps_per_second': 3.298}
{'eval_loss': 2.3172247409820557, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.3347052575677111, 'eval_runtime': 140.9448, 'eval_samples_per_second': 53.439, 'eval_steps_per_second': 3.342}
{'eval_loss': 2.3195862770080566, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.3482474774296336, 'eval_runtime': 139.5088, 'eval_samples_per_second': 53.989, 'eval_steps_per_second': 3.376}
{'eval_loss': 2.321995258331299, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.3455921402018056, 'eval_runtime': 141.7376, 'eval_samples_per_second': 53.14, 'eval_steps_per_second': 3.323}
{'eval_loss': 2.3107597827911377, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.3348380244291025, 'eval_runtime': 145.3847, 'eval_samples_per_second': 51.807, 'eval_steps_per_second': 3.24}
{'eval_loss': 2.3092191219329834, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.34784917684545935, 'eval_runtime': 139.5681, 'eval_samples_per_second': 53.966, 'eval_steps_per_second': 3.375}
{'eval_loss': 2.300569534301758, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.346388741370154, 'eval_runtime': 142.0039, 'eval_samples_per_second': 53.041, 'eval_steps_per_second': 3.317}
{'eval_loss': 2.300825834274292, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.347716409984068, 'eval_runtime': 144.7547, 'eval_samples_per_second': 52.033, 'eval_steps_per_second': 3.254}
{'eval_loss': 2.3020269870758057, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.34997344662772173, 'eval_runtime': 142.0964, 'eval_samples_per_second': 53.006, 'eval_steps_per_second': 3.315}
{'eval_loss': 2.292987108230591, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.3548858204992034, 'eval_runtime': 142.3263, 'eval_samples_per_second': 52.921, 'eval_steps_per_second': 3.309}
{'eval_loss': 2.2995505332946777, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.34798194370685076, 'eval_runtime': 136.537, 'eval_samples_per_second': 55.165, 'eval_steps_per_second': 3.45}
{'eval_loss': 2.290822744369507, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.35276155071694104, 'eval_runtime': 141.6553, 'eval_samples_per_second': 53.171, 'eval_steps_per_second': 3.325}
