{'eval_loss': 3.5739946365356445, 'eval_model_preparation_time': 0.0153, 'eval_acc': 0.07833244822092406, 'eval_runtime': 108.5458, 'eval_samples_per_second': 69.39, 'eval_steps_per_second': 4.339}
{'eval_loss': 3.573988914489746, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.07833244822092406, 'eval_runtime': 49.5805, 'eval_samples_per_second': 151.914, 'eval_steps_per_second': 9.5}
{'eval_loss': 3.573593854904175, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.07846521508231545, 'eval_runtime': 49.3029, 'eval_samples_per_second': 152.77, 'eval_steps_per_second': 9.553}
{'eval_loss': 3.572036027908325, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.07939458311205523, 'eval_runtime': 49.283, 'eval_samples_per_second': 152.832, 'eval_steps_per_second': 9.557}
{'eval_loss': 3.563232898712158, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.08351035581518852, 'eval_runtime': 49.1994, 'eval_samples_per_second': 153.091, 'eval_steps_per_second': 9.573}
{'eval_loss': 3.5459375381469727, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.09121083377588954, 'eval_runtime': 49.5508, 'eval_samples_per_second': 152.006, 'eval_steps_per_second': 9.505}
{'eval_loss': 3.460932731628418, 'eval_model_preparation_time': 0.0101, 'eval_acc': 0.12068507700477961, 'eval_runtime': 49.3176, 'eval_samples_per_second': 152.724, 'eval_steps_per_second': 9.55}
{'eval_loss': 3.2583868503570557, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.16370154009559215, 'eval_runtime': 49.6643, 'eval_samples_per_second': 151.658, 'eval_steps_per_second': 9.484}
{'eval_loss': 2.9364895820617676, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.23366967604885822, 'eval_runtime': 49.4282, 'eval_samples_per_second': 152.383, 'eval_steps_per_second': 9.529}
{'eval_loss': 2.536595344543457, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.3586032926181625, 'eval_runtime': 49.3848, 'eval_samples_per_second': 152.516, 'eval_steps_per_second': 9.537}
{'eval_loss': 2.2747466564178467, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.4001593202336697, 'eval_runtime': 49.2532, 'eval_samples_per_second': 152.924, 'eval_steps_per_second': 9.563}
{'eval_loss': 2.0227530002593994, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.4310939989378651, 'eval_runtime': 49.5274, 'eval_samples_per_second': 152.078, 'eval_steps_per_second': 9.51}
{'eval_loss': 1.8408695459365845, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.451805629314923, 'eval_runtime': 49.4113, 'eval_samples_per_second': 152.435, 'eval_steps_per_second': 9.532}
{'eval_loss': 1.7045037746429443, 'eval_model_preparation_time': 0.0086, 'eval_acc': 0.4721189591078067, 'eval_runtime': 49.605, 'eval_samples_per_second': 151.839, 'eval_steps_per_second': 9.495}
{'eval_loss': 1.6221843957901, 'eval_model_preparation_time': 0.0085, 'eval_acc': 0.48499734466277217, 'eval_runtime': 49.5005, 'eval_samples_per_second': 152.16, 'eval_steps_per_second': 9.515}
{'eval_loss': 1.5782599449157715, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.5062400424853957, 'eval_runtime': 61.5904, 'eval_samples_per_second': 122.292, 'eval_steps_per_second': 7.647}
{'eval_loss': 1.5429997444152832, 'eval_model_preparation_time': 0.0126, 'eval_acc': 0.521109930961232, 'eval_runtime': 59.2863, 'eval_samples_per_second': 127.044, 'eval_steps_per_second': 7.944}
{'eval_loss': 1.5100314617156982, 'eval_model_preparation_time': 0.0126, 'eval_acc': 0.5435475305363782, 'eval_runtime': 114.5004, 'eval_samples_per_second': 65.781, 'eval_steps_per_second': 4.114}
{'eval_loss': 1.4891585111618042, 'eval_model_preparation_time': 0.0278, 'eval_acc': 0.5553637812002125, 'eval_runtime': 119.6139, 'eval_samples_per_second': 62.969, 'eval_steps_per_second': 3.938}
{'eval_loss': 1.4876333475112915, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.5493892724375996, 'eval_runtime': 123.7406, 'eval_samples_per_second': 60.869, 'eval_steps_per_second': 3.806}
{'eval_loss': 1.4868457317352295, 'eval_model_preparation_time': 0.0221, 'eval_acc': 0.5556293149229952, 'eval_runtime': 129.5176, 'eval_samples_per_second': 58.154, 'eval_steps_per_second': 3.637}
{'eval_loss': 1.4709585905075073, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.5620021242697822, 'eval_runtime': 124.5233, 'eval_samples_per_second': 60.487, 'eval_steps_per_second': 3.782}
{'eval_loss': 1.4550851583480835, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.5667817312798725, 'eval_runtime': 115.7, 'eval_samples_per_second': 65.099, 'eval_steps_per_second': 4.071}
{'eval_loss': 1.447247862815857, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.5788635156664896, 'eval_runtime': 125.795, 'eval_samples_per_second': 59.875, 'eval_steps_per_second': 3.744}
{'eval_loss': 1.4421638250350952, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.5764737121614445, 'eval_runtime': 112.1887, 'eval_samples_per_second': 67.137, 'eval_steps_per_second': 4.198}
{'eval_loss': 1.432963490486145, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.5824482209240573, 'eval_runtime': 92.1962, 'eval_samples_per_second': 81.695, 'eval_steps_per_second': 5.109}
{'eval_loss': 1.3955614566802979, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.5884227296866702, 'eval_runtime': 59.9031, 'eval_samples_per_second': 125.736, 'eval_steps_per_second': 7.863}
{'eval_loss': 1.3960225582122803, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.5825809877854488, 'eval_runtime': 91.4415, 'eval_samples_per_second': 82.37, 'eval_steps_per_second': 5.151}
{'eval_loss': 1.4041898250579834, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.578996282527881, 'eval_runtime': 91.0097, 'eval_samples_per_second': 82.76, 'eval_steps_per_second': 5.175}
{'eval_loss': 1.4216276407241821, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.5772703133297928, 'eval_runtime': 96.2273, 'eval_samples_per_second': 78.273, 'eval_steps_per_second': 4.895}
