{'eval_loss': 1.9157614707946777, 'eval_model_preparation_time': 0.0163, 'eval_acc': 0.4467604885820499, 'eval_runtime': 95.6704, 'eval_samples_per_second': 78.729, 'eval_steps_per_second': 4.923}
{'eval_loss': 1.7572098970413208, 'eval_model_preparation_time': 0.0549, 'eval_acc': 0.4559214020180563, 'eval_runtime': 65.2104, 'eval_samples_per_second': 115.503, 'eval_steps_per_second': 7.223}
{'eval_loss': 1.68817937374115, 'eval_model_preparation_time': 0.0265, 'eval_acc': 0.4796866702071163, 'eval_runtime': 63.9732, 'eval_samples_per_second': 117.737, 'eval_steps_per_second': 7.362}
{'eval_loss': 1.640537142753601, 'eval_model_preparation_time': 0.0128, 'eval_acc': 0.5002655337227828, 'eval_runtime': 64.1509, 'eval_samples_per_second': 117.411, 'eval_steps_per_second': 7.342}
{'eval_loss': 1.579532265663147, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.5232342007434945, 'eval_runtime': 73.7097, 'eval_samples_per_second': 102.185, 'eval_steps_per_second': 6.39}
{'eval_loss': 1.5356992483139038, 'eval_model_preparation_time': 0.0124, 'eval_acc': 0.5319968135953266, 'eval_runtime': 65.9616, 'eval_samples_per_second': 114.188, 'eval_steps_per_second': 7.141}
{'eval_loss': 1.5364924669265747, 'eval_model_preparation_time': 0.012, 'eval_acc': 0.5477960701009028, 'eval_runtime': 73.064, 'eval_samples_per_second': 103.088, 'eval_steps_per_second': 6.446}
{'eval_loss': 1.5227277278900146, 'eval_model_preparation_time': 0.0122, 'eval_acc': 0.5500531067445565, 'eval_runtime': 66.2017, 'eval_samples_per_second': 113.774, 'eval_steps_per_second': 7.115}
{'eval_loss': 1.5268276929855347, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.5562931492299522, 'eval_runtime': 76.3451, 'eval_samples_per_second': 98.657, 'eval_steps_per_second': 6.169}
{'eval_loss': 1.483428955078125, 'eval_model_preparation_time': 0.013, 'eval_acc': 0.5699681359532661, 'eval_runtime': 76.12, 'eval_samples_per_second': 98.949, 'eval_steps_per_second': 6.188}
{'eval_loss': 1.45791757106781, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.5728890069038768, 'eval_runtime': 73.0806, 'eval_samples_per_second': 103.064, 'eval_steps_per_second': 6.445}
{'eval_loss': 1.450429916381836, 'eval_model_preparation_time': 0.0104, 'eval_acc': 0.5774030801911842, 'eval_runtime': 87.7327, 'eval_samples_per_second': 85.852, 'eval_steps_per_second': 5.369}
{'eval_loss': 1.435060739517212, 'eval_model_preparation_time': 0.0126, 'eval_acc': 0.5795273499734467, 'eval_runtime': 80.1129, 'eval_samples_per_second': 94.017, 'eval_steps_per_second': 5.879}
{'eval_loss': 1.4175755977630615, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.5884227296866702, 'eval_runtime': 86.533, 'eval_samples_per_second': 87.042, 'eval_steps_per_second': 5.443}
{'eval_loss': 1.417297601699829, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.5889537971322358, 'eval_runtime': 84.0441, 'eval_samples_per_second': 89.62, 'eval_steps_per_second': 5.604}
{'eval_loss': 1.4487594366073608, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.5841741901221456, 'eval_runtime': 73.1265, 'eval_samples_per_second': 103.0, 'eval_steps_per_second': 6.441}
{'eval_loss': 1.414599061012268, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.5869622942113648, 'eval_runtime': 83.0456, 'eval_samples_per_second': 90.697, 'eval_steps_per_second': 5.672}
{'eval_loss': 1.3767435550689697, 'eval_model_preparation_time': 0.015, 'eval_acc': 0.5998406797663304, 'eval_runtime': 81.55, 'eval_samples_per_second': 92.36, 'eval_steps_per_second': 5.776}
{'eval_loss': 1.3897358179092407, 'eval_model_preparation_time': 0.0129, 'eval_acc': 0.5990440785979819, 'eval_runtime': 75.3274, 'eval_samples_per_second': 99.99, 'eval_steps_per_second': 6.253}
{'eval_loss': 1.3793177604675293, 'eval_model_preparation_time': 0.0127, 'eval_acc': 0.6091343600637281, 'eval_runtime': 66.0948, 'eval_samples_per_second': 113.958, 'eval_steps_per_second': 7.126}
{'eval_loss': 1.3713781833648682, 'eval_model_preparation_time': 0.0126, 'eval_acc': 0.6038236856080722, 'eval_runtime': 65.366, 'eval_samples_per_second': 115.228, 'eval_steps_per_second': 7.206}
{'eval_loss': 1.3593353033065796, 'eval_model_preparation_time': 0.0477, 'eval_acc': 0.6034253850238981, 'eval_runtime': 70.1146, 'eval_samples_per_second': 107.424, 'eval_steps_per_second': 6.718}
{'eval_loss': 1.3600059747695923, 'eval_model_preparation_time': 0.0191, 'eval_acc': 0.6101964949548593, 'eval_runtime': 71.016, 'eval_samples_per_second': 106.061, 'eval_steps_per_second': 6.632}
